GEO_ID,B08513_001E,B08513_001M,B08513_002E,B08513_002M,B08513_003E,B08513_003M,B08513_004E,B08513_004M,B08513_005E,B08513_005M,B08513_006E,B08513_006M,B08513_007E,B08513_007M,B08513_008E,B08513_008M,B08513_009E,B08513_009M,B08513_010E,B08513_010M,B08513_011E,B08513_011M,B08513_012E,B08513_012M,B08513_013E,B08513_013M,B08513_014E,B08513_014M,B08513_015E,B08513_015M,B08513_016E,B08513_016M,B08513_017E,B08513_017M,B08513_018E,B08513_018M,B08513_019E,B08513_019M,B08513_020E,B08513_020M,B08513_021E,B08513_021M,B08513_022E,B08513_022M,B08513_023E,B08513_023M,B08513_024E,B08513_024M,B08513_025E,B08513_025M,B08513_026E,B08513_026M,B08513_027E,B08513_027M,B08513_028E,B08513_028M,B08513_029E,B08513_029M,B08513_030E,B08513_030M,B08513_031E,B08513_031M,B08513_032E,B08513_032M,B08513_033E,B08513_033M,B08513_034E,B08513_034M,B08513_035E,B08513_035M,B08513_036E,B08513_036M,B08513_037E,B08513_037M,B08513_038E,B08513_038M,B08513_039E,B08513_039M,B08513_040E,B08513_040M,B08513_041E,B08513_041M,B08513_042E,B08513_042M,B08513_043E,B08513_043M,B08513_044E,B08513_044M,B08513_045E,B08513_045M,B08513_046E,B08513_046M,B08513_047E,B08513_047M,B08513_048E,B08513_048M,B08513_049E,B08513_049M,B08513_050E,B08513_050M,B08513_051E,B08513_051M,B08513_052E,B08513_052M,B08513_053E,B08513_053M,B08513_054E,B08513_054M,B08513_055E,B08513_055M,B08513_056E,B08513_056M,NAME,B08513_001EA,B08513_001MA,B08513_002EA,B08513_002MA,B08513_003MA,B08513_003EA,B08513_004MA,B08513_004EA,B08513_005EA,B08513_005MA,B08513_006EA,B08513_006MA,B08513_007EA,B08513_007MA,B08513_008EA,B08513_008MA,B08513_009MA,B08513_009EA,B08513_010MA,B08513_010EA,B08513_011EA,B08513_011MA,B08513_012EA,B08513_012MA,B08513_013EA,B08513_013MA,B08513_014MA,B08513_014EA,B08513_015MA,B08513_015EA,B08513_016EA,B08513_016MA,B08513_017MA,B08513_017EA,B08513_018EA,B08513_018MA,B08513_019EA,B08513_019MA,B08513_020MA,B08513_020EA,B08513_021EA,B08513_021MA,B08513_022MA,B08513_022EA,B08513_023EA,B08513_023MA,B08513_024EA,B08513_024MA,B08513_025MA,B08513_025EA,B08513_026MA,B08513_026EA,B08513_027EA,B08513_027MA,B08513_028MA,B08513_028EA,B08513_029MA,B08513_029EA,B08513_030EA,B08513_030MA,B08513_031MA,B08513_031EA,B08513_032EA,B08513_032MA,B08513_033MA,B08513_033EA,B08513_034MA,B08513_034EA,B08513_035EA,B08513_035MA,B08513_036MA,B08513_036EA,B08513_037EA,B08513_037MA,B08513_038EA,B08513_038MA,B08513_039MA,B08513_039EA,B08513_040MA,B08513_040EA,B08513_041EA,B08513_041MA,B08513_042EA,B08513_042MA,B08513_043EA,B08513_043MA,B08513_044MA,B08513_044EA,B08513_045MA,B08513_045EA,B08513_046EA,B08513_046MA,B08513_047MA,B08513_047EA,B08513_048EA,B08513_048MA,B08513_049EA,B08513_049MA,B08513_050MA,B08513_050EA,B08513_051MA,B08513_051EA,B08513_052EA,B08513_052MA,B08513_053EA,B08513_053MA,B08513_054EA,B08513_054MA,B08513_055MA,B08513_055EA,B08513_056MA,B08513_056EA,state
0400000US01,1960728,14412,1854398,14742,65963,4000,35440,3099,30523,2620,40367,3686,23997,2656,16370,2681,1681753,15904,1597338,15990,52759,3936,29926,3131,22833,2238,31656,2686,20036,2275,11620,2011,170458,8413,155206,7571,9400,1850,3643,1021,5757,1524,5852,1840,2159,707,3693,1635,7454,1743,6506,1623,545,335,198,166,347,289,403,299,300,265,103,143,22253,2718,20577,2615,256,246,27,41,229,242,1420,812,659,521,761,513,21577,2458,19668,2272,1502,931,409,454,1093,833,407,229,314,207,93,111,57233,3661,55103,3559,1501,688,1237,594,264,364,629,480,529,411,100,163,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,366124,5570,309818,5442,13018,1803,8810,1591,4208,1261,43288,2656,29412,2537,13876,1642,250684,6214,219570,5742,7411,1523,4871,1096,2540,1007,23703,2103,16334,2047,7369,1184,43650,3232,33942,2505,2442,813,1832,688,610,436,7266,1377,5062,1151,2204,759,5178,1224,4861,1175,146,264,0,187,146,264,171,165,43,48,128,146,29491,2206,20739,2106,1526,565,814,414,712,418,7226,930,4127,520,3099,752,23206,2226,18934,2117,826,489,690,434,136,218,3446,615,2722,407,724,466,13915,1891,11772,1691,667,519,603,509,64,80,1476,571,1124,539,352,228,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2803956,19199,2041164,20363,588748,11926,362322,12905,226426,9253,174044,8749,126560,7307,47484,4017,2158777,17865,1592935,16535,437161,10872,281725,10704,155436,7338,128681,7460,94773,6477,33908,3452,293325,9205,183013,6689,88836,6758,47800,4730,41036,3914,21476,2042,14020,1698,7456,1204,56512,4964,37446,3766,14184,2704,6954,1428,7230,2135,4882,1447,3094,1127,1788,867,55428,4255,36834,2975,11810,2091,6280,1372,5530,1366,6784,1368,5239,1110,1545,661,78261,5498,56977,4430,17012,3820,9018,1851,7994,3148,4272,1160,2925,1011,1347,616,161653,6371,133959,6180,19745,3143,10545,2048,9200,2345,7949,1432,6509,1346,1440,490,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1244956,13403,1154388,13507,66179,3995,25706,2846,40473,3927,24389,2646,15710,2092,8679,1640,1028051,13906,963301,13583,45012,3674,19276,2591,25736,2959,19738,2435,12444,1894,7294,1555,134288,6948,114298,5759,16856,2549,5029,1486,11827,2225,3134,977,1969,806,1165,468,4138,1186,3882,1191,72,90,72,90,0,187,184,212,129,188,55,94,21931,2424,19479,2077,1997,1038,276,298,1721,995,455,277,360,255,95,108,15173,2221,14089,2203,679,329,620,342,59,102,405,287,405,287,0,187,41375,3177,39339,3068,1563,733,433,270,1130,690,473,366,403,348,70,129,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17255848,41675,9556144,39501,4967456,28290,2683855,26600,2283601,24513,2732248,25709,1702153,23053,1030095,15198,12684561,45443,7217174,37744,3500318,27919,2030486,23629,1469832,20417,1967069,22759,1247456,19878,719613,13221,1811654,28148,760909,18160,729097,15780,316725,9902,412372,11249,321648,12002,180239,8850,141409,6775,913139,15806,425673,11502,313184,10525,130223,6722,182961,8280,174282,6788,106760,5806,67522,4539,466979,12148,261563,8808,137582,7551,62994,4963,74588,5654,67834,4483,39504,3068,28330,2865,448540,12892,254002,8575,137642,7307,58120,4802,79522,5549,56896,4227,37432,3126,19464,2341,930975,16361,636823,14098,149633,7277,85307,5669,64326,3797,144519,5949,90762,4743,53757,3544,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2669008,13651,2234399,14764,294392,7951,169036,6691,125356,6639,140217,5633,97975,4935,42242,3410,2019345,15439,1713576,15394,206343,7557,126129,6574,80214,5335,99426,4934,72644,4332,26782,2733,256486,9969,183205,8178,55706,4427,24967,2950,30739,3469,17575,2692,9231,1659,8344,2144,88323,4484,67353,3799,12673,1839,5178,1246,7495,1575,8297,1732,4881,1377,3416,1014,70858,4677,59828,4212,6082,1579,3994,1189,2088,816,4948,1235,3323,1021,1625,801,59643,4423,52783,4346,4241,1203,2407,891,1834,842,2619,756,1915,616,704,399,174353,6876,157654,6152,9347,2023,6361,1367,2986,1465,7352,1339,5981,1292,1371,593,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1751075,13180,1363463,12548,196699,6506,114317,6116,82382,4924,190913,8570,124098,7263,66815,4938,1387627,14015,1116591,12095,131915,6551,86279,5574,45636,3491,139121,7513,93619,6641,45502,4027,143947,7901,89003,5372,30552,3680,13187,1913,17365,3281,24392,3043,12764,1707,11628,2038,61369,3884,37041,3043,15962,2627,5423,1426,10539,1930,8366,2109,5008,1450,3358,1274,55140,3918,36967,3415,11097,2690,5621,1522,5476,1747,7076,1151,4394,768,2682,853,21398,2533,14528,2187,3331,1042,1575,759,1756,871,3539,1190,1790,878,1749,806,81594,4474,69333,4362,3842,999,2232,763,1610,709,8419,1538,6523,1216,1896,841,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,437466,8194,381807,7328,29221,2673,16873,2177,12348,2112,26438,2387,18757,2322,7681,1509,359027,8816,316910,7878,22031,2192,12842,2074,9189,1659,20086,2385,15233,2255,4853,1216,35048,3682,27597,3354,4313,1484,2112,781,2201,1243,3138,866,1857,548,1281,552,10085,1800,8581,1673,617,334,363,243,254,241,887,412,494,318,393,283,9247,1842,7496,1593,1352,766,909,680,443,290,399,272,270,188,129,205,4772,1295,3639,1123,541,329,280,229,261,253,592,440,105,112,487,470,19287,2306,17584,2250,367,243,367,243,0,187,1336,744,798,426,538,562,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,821495,12642,629300,10542,78312,5452,44527,3996,33785,3729,113883,5677,85301,4611,28582,3460,348856,9573,269878,7512,29107,3153,17681,2547,11426,1830,49871,3710,36470,3015,13401,2258,71576,4636,50110,3360,11776,2342,4268,1017,7508,2068,9690,1487,6298,1107,3392,902,311082,9176,237606,6859,29892,3355,17454,2554,12438,2151,43584,3840,33524,3289,10060,1880,46271,3258,37437,3007,4054,1386,2950,1219,1104,648,4780,1111,4241,971,539,382,26698,2518,20068,2066,2387,933,1604,780,783,493,4243,1089,3220,820,1023,630,17012,2053,14201,1843,1096,571,570,379,526,445,1715,687,1548,671,167,202,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8585487,32920,5914671,29693,1999281,20709,1136857,19135,862424,18168,671535,17501,440561,13435,230974,11141,6852662,34711,4810655,28186,1532713,19571,918620,16914,614093,15211,509294,14481,345301,11958,163993,8522,780601,18054,454946,12756,243930,10376,112261,7277,131669,7530,81725,6509,47402,4380,34323,4237,177546,7809,90460,4874,60007,5653,24315,3591,35692,4309,27079,3753,11080,2048,15999,3243,123018,5694,81367,4994,31174,3654,15450,2296,15724,2612,10477,1668,6757,1387,3720,1046,185799,9202,123089,7463,49968,5216,18008,2808,31960,4178,12742,2604,8056,1871,4686,1609,465861,12632,354154,10117,81489,6102,48203,4565,33286,3754,30218,2893,21965,2194,8253,1950,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
