GEO_ID,C18103_001E,C18103_001M,C18103_002E,C18103_002M,C18103_003E,C18103_003M,C18103_004E,C18103_004M,C18103_005E,C18103_005M,C18103_006E,C18103_006M,C18103_007E,C18103_007M,C18103_008E,C18103_008M,C18103_009E,C18103_009M,C18103_010E,C18103_010M,C18103_011E,C18103_011M,C18103_012E,C18103_012M,C18103_013E,C18103_013M,C18103_014E,C18103_014M,C18103_015E,C18103_015M,C18103_016E,C18103_016M,C18103_017E,C18103_017M,C18103_018E,C18103_018M,C18103_019E,C18103_019M,C18103_020E,C18103_020M,C18103_021E,C18103_021M,NAME,C18103_001EA,C18103_001MA,C18103_002EA,C18103_002MA,C18103_003EA,C18103_003MA,C18103_004MA,C18103_004EA,C18103_005MA,C18103_005EA,C18103_006EA,C18103_006MA,C18103_007EA,C18103_007MA,C18103_008EA,C18103_008MA,C18103_009MA,C18103_009EA,C18103_010MA,C18103_010EA,C18103_011MA,C18103_011EA,C18103_012EA,C18103_012MA,C18103_013EA,C18103_013MA,C18103_014EA,C18103_014MA,C18103_015MA,C18103_015EA,C18103_016MA,C18103_016EA,C18103_017EA,C18103_017MA,C18103_018EA,C18103_018MA,C18103_019EA,C18103_019MA,C18103_020MA,C18103_020EA,C18103_021MA,C18103_021EA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,3734,983,561185,4971,1407781,3396,34990,3307,1372791,4658,317080,1997,23909,2172,293171,2728,2477603,5606,541928,4642,3675,888,538253,4733,1527586,3213,39231,3099,1488355,4161,408089,2062,34217,2708,373872,3315,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,875,488,93781,1786,235033,2140,3216,765,231817,2238,33900,1002,2957,833,30943,1296,347952,2104,91589,1669,544,375,91045,1794,221245,1198,3225,793,218020,1389,35118,972,3123,670,31995,978,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,7559,1446,818799,2725,1937999,2770,35528,2853,1902471,3754,486940,1367,31713,3225,455227,3629,3371777,2888,794218,2258,5225,1091,788993,2377,2006493,2365,38982,2875,1967511,3476,571066,1364,43534,2624,527532,2967,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,4664,1363,355727,3816,861325,3214,23706,2350,837619,4178,201696,1438,16991,1616,184705,2079,1490964,4568,343420,3861,3136,1008,340284,4063,900910,3016,26964,2616,873946,4101,246634,1843,20727,1824,225907,2459,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,31745,2996,4626246,4908,12038061,7340,193727,7552,11844334,9794,2169442,2989,133830,4789,2035612,5870,19431963,5973,4477142,4008,29478,2849,4447664,4406,12226448,3884,185501,5855,12040947,7077,2728373,3145,194321,6228,2534052,6919,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,5388,1481,634912,3096,1678778,3434,28544,2961,1650234,4499,303333,1624,17192,1666,286141,2395,2643611,4048,605132,2527,3136,901,601996,2753,1677532,2424,25515,2577,1652017,3849,360947,1439,22190,1823,338757,2271,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,2595,820,392408,1616,1091478,1984,11977,1591,1079501,2792,232944,1423,9580,1490,223364,1989,1821857,2336,379018,1430,2370,864,376648,1558,1142258,1885,17741,2337,1124517,2917,300581,1319,16705,1934,283876,2261,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,1220,621,102811,1061,272159,1135,4689,1179,267470,1688,67433,733,2744,656,64689,960,477307,1167,99383,901,1292,641,98091,1249,295631,700,5358,1448,290273,1647,82293,658,4635,1085,77658,1169,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,462,373,57678,546,216572,977,6163,1291,210409,1585,29079,646,1948,649,27131,872,344175,1099,56694,456,90,105,56604,466,244580,597,5251,1185,239329,1310,42901,869,4273,918,38628,1118,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,14439,2159,2051565,6061,5747594,5911,103150,5498,5644444,7999,1677261,3397,92983,5361,1584278,5178,10092498,7609,1980146,6054,14319,2122,1965827,6301,6066114,4654,114557,6200,5951557,7993,2046238,3447,130693,5942,1915545,6844,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
