GEO_ID,B25055_001E,B25055_001M,B25055_002E,B25055_002M,B25055_003E,B25055_003M,B25055_004E,B25055_004M,B25055_005E,B25055_005M,B25055_006E,B25055_006M,B25055_007E,B25055_007M,B25055_008E,B25055_008M,B25055_009E,B25055_009M,B25055_010E,B25055_010M,B25055_011E,B25055_011M,B25055_012E,B25055_012M,B25055_013E,B25055_013M,NAME,B25055_001MA,B25055_001EA,B25055_002MA,B25055_002EA,B25055_003MA,B25055_003EA,B25055_004MA,B25055_004EA,B25055_005EA,B25055_005MA,B25055_006MA,B25055_006EA,B25055_007MA,B25055_007EA,B25055_008MA,B25055_008EA,B25055_009MA,B25055_009EA,B25055_010EA,B25055_010MA,B25055_011EA,B25055_011MA,B25055_012MA,B25055_012EA,B25055_013MA,B25055_013EA,state
0400000US01,530308,11404,398181,10312,1235,693,396946,10308,68340,4308,414,331,67926,4286,37592,2929,713,471,36879,2781,26195,2531,6218,1114,19977,2217,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,86129,3986,68294,3766,509,368,67785,3865,11705,1605,7,12,11698,1606,3515,885,0,145,3515,885,2615,633,316,220,2299,607,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,895086,13169,675454,12296,2475,1070,672979,12243,109010,5310,763,497,108247,5343,61277,3468,1308,622,59969,3463,49345,2578,16925,1394,32420,2397,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,347792,9114,266997,7561,1457,645,265540,7668,40792,2812,562,451,40230,2823,22101,2170,670,476,21431,2124,17902,2101,2992,845,14910,1928,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5712348,27687,4256316,27107,19614,2940,4236702,26992,741142,13052,6743,1339,734399,12700,399189,8936,7608,1264,391581,8860,315701,7294,66275,4109,249426,6279,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,711281,11345,554035,10755,2247,1048,551788,11011,78937,3906,857,528,78080,3970,40332,2869,1656,545,38676,2752,37977,2682,13771,1868,24206,2339,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,433692,8097,298829,7609,1197,549,297632,7554,61575,3385,829,564,60746,3441,33664,3061,719,411,32945,2969,39624,2662,8910,1266,30714,2424,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,99114,4182,74084,3700,27,45,74057,3700,12052,1647,72,84,11980,1653,7483,1178,131,124,7352,1137,5495,1008,1383,529,4112,840,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,158505,4953,120413,4428,253,248,120160,4390,20840,1966,501,368,20339,1955,10212,1210,422,416,9790,1276,7040,1168,1279,663,5761,953,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2511244,21750,1825541,19399,8777,2002,1816764,18990,323597,8045,1877,739,321720,8013,204065,6805,4686,1168,199379,6759,158041,5898,43863,2848,114178,4799,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
