GEO_ID,C15002_001E,C15002_001M,C15002_002E,C15002_002M,C15002_003E,C15002_003M,C15002_004E,C15002_004M,C15002_005E,C15002_005M,C15002_006E,C15002_006M,C15002_007E,C15002_007M,C15002_008E,C15002_008M,C15002_009E,C15002_009M,C15002_010E,C15002_010M,C15002_011E,C15002_011M,C15002_012E,C15002_012M,C15002_013E,C15002_013M,C15002_014E,C15002_014M,C15002_015E,C15002_015M,C15002_016E,C15002_016M,C15002_017E,C15002_017M,NAME,C15002_001MA,C15002_001EA,C15002_002MA,C15002_002EA,C15002_003MA,C15002_003EA,C15002_004EA,C15002_004MA,C15002_005EA,C15002_005MA,C15002_006MA,C15002_006EA,C15002_007MA,C15002_007EA,C15002_008MA,C15002_008EA,C15002_009MA,C15002_009EA,C15002_010EA,C15002_010MA,C15002_011EA,C15002_011MA,C15002_012EA,C15002_012MA,C15002_013MA,C15002_013EA,C15002_014MA,C15002_014EA,C15002_015EA,C15002_015MA,C15002_016EA,C15002_016MA,C15002_017EA,C15002_017MA,state
0400000US01,3256766,4841,1536770,3518,80558,4783,168893,6483,500588,9170,325976,8068,105109,5866,222959,6522,132687,6138,1719996,3389,84190,3467,164118,6542,528077,10046,383182,8286,151668,7310,255099,9196,153662,5557,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465149,2124,242227,1823,5603,899,11774,1261,75131,3280,69771,3380,19426,2090,39715,2585,20807,2177,222922,1412,7022,1025,8854,1470,56856,3166,61788,3603,18660,1791,45919,2539,23823,2348,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4436226,2926,2168954,2253,141335,6309,172364,7393,536699,12603,544962,10126,166293,6054,375253,8475,232048,6384,2267272,2025,144672,5535,160415,6830,543113,11317,593725,12278,210356,8020,390531,9776,224460,5658,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1968414,4284,946419,3264,58516,4142,88282,4914,345870,7754,205711,5491,49908,3371,129048,5258,69084,3744,1021995,2692,52298,3224,89641,4228,340916,7406,242351,7218,73963,4751,143363,6036,79463,4276,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25654292,5461,12529368,4098,1214829,14995,1071598,15695,2692125,24896,2666455,23482,878440,14696,2455695,21025,1550226,17545,13124924,4002,1340598,13779,966500,13877,2668728,19840,2894105,22760,1124244,15402,2664467,21895,1466282,15809,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3584463,3721,1776214,2938,82094,4564,100502,5238,393396,10937,393269,9021,138491,5983,420199,9374,248263,6476,1808249,2721,66068,3372,90218,5311,390420,8493,399655,7717,156138,5820,441959,8119,263791,6086,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2471818,1977,1177865,2111,49689,4272,71445,4302,339595,8551,196561,7267,73591,4375,255024,5972,191960,6081,1293953,1436,52921,3722,71112,3903,340679,7608,225113,5921,110998,4614,272448,7378,220682,6199,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,640343,870,302774,756,11378,1723,26215,2702,96557,4071,57378,3214,21218,2197,53496,2743,36532,2553,337569,684,10250,1729,22824,2405,103190,3764,65883,3530,29569,2603,63435,3706,42418,2702,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,463211,347,217026,365,9668,1657,13242,1940,41162,3227,27181,2576,6723,1442,54229,3062,64821,2739,246185,490,9401,1788,13143,1667,43051,2819,35755,2916,9213,1346,58477,3068,77145,3566,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14041196,6948,6726869,6046,365599,12030,549453,14674,2004125,20642,1348999,17484,574433,13409,1190522,18054,693738,13344,7314327,5053,369614,10257,511027,10202,2147175,20496,1556455,19408,783812,14706,1258141,18050,688103,12974,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,6576408,7928,3120522,5944,179606,7369,312200,9501,924297,16188,624836,12418,186093,6527,573387,12218,320103,8587,3455886,5302,173378,6649,278704,8681,945670,15124,764574,15318,276450,8095,626346,12883,390764,9898,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,974586,1323,482832,1192,15906,1656,20383,2494,142376,4596,109066,4558,50228,3543,94539,4312,50334,3155,491754,938,23530,2103,21070,2083,135291,4776,102476,4094,51921,3320,105776,4285,51690,2839,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
