GEO_ID,B16005I_001E,B16005I_001M,B16005I_002E,B16005I_002M,B16005I_003E,B16005I_003M,B16005I_004E,B16005I_004M,B16005I_005E,B16005I_005M,B16005I_006E,B16005I_006M,B16005I_007E,B16005I_007M,B16005I_008E,B16005I_008M,B16005I_009E,B16005I_009M,B16005I_010E,B16005I_010M,B16005I_011E,B16005I_011M,NAME,B16005I_001EA,B16005I_001MA,B16005I_002EA,B16005I_002MA,B16005I_003EA,B16005I_003MA,B16005I_004EA,B16005I_004MA,B16005I_005MA,B16005I_005EA,B16005I_006EA,B16005I_006MA,B16005I_007EA,B16005I_007MA,B16005I_008EA,B16005I_008MA,B16005I_009EA,B16005I_009MA,B16005I_010MA,B16005I_010EA,B16005I_011MA,B16005I_011EA,state
0400000US01,169629,2653,97141,4147,44678,4857,52463,4278,38506,3786,13957,2305,72488,4082,6957,1676,65531,4079,21467,2736,44064,3873,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,43865,529,35320,1599,24616,2244,10704,1827,8393,1637,2311,1193,8545,1527,757,448,7788,1502,3798,1167,3990,1132,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1869623,744,1298697,12637,612309,14503,686388,13998,590740,13742,95648,5838,570926,12605,24148,2963,546778,12829,189105,8364,357673,10654,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,182512,2050,95681,4521,46170,4136,49511,4030,37226,3742,12285,2328,86831,4270,12390,3163,74441,4397,20231,2912,54210,4120,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13662319,922,8286568,36153,3326447,39449,4960121,33743,4292273,31650,667848,15458,5375751,36100,212248,8410,5163503,35690,1504747,20692,3658756,33860,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1031513,1282,757693,9676,469863,11185,287830,7146,242568,8077,45262,4912,273820,9823,10526,2175,263294,9884,92242,5561,171052,8666,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,493745,342,357851,7481,121274,6196,236577,8675,173143,7970,63434,4859,135894,7445,7459,1862,128435,7858,43531,4021,84904,5437,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,74660,-555555555,51430,2602,19311,2401,32119,2759,26404,2476,5715,1278,23230,2601,1731,847,21499,2744,6529,1396,14970,2161,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,61056,-555555555,26350,2605,10060,1963,16290,2044,13913,1856,2377,1253,34706,2605,4632,2009,30074,2695,11513,1674,18561,2743,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4460893,1090,2205445,22844,659472,19596,1545973,24941,1254507,22987,291466,11668,2255448,22928,103632,7396,2151816,23412,782206,15091,1369610,23595,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,821641,3244,417498,9893,146801,9853,270697,9434,224769,9327,45928,4832,404143,9787,17514,2641,386629,10141,125660,7407,260969,8550,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,123509,-555555555,111116,2003,91955,3443,19161,2869,15820,2730,3341,1026,12393,2003,2348,860,10045,2022,5611,1435,4434,1433,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,175607,1085,116740,4647,65782,6284,50958,4238,42718,4212,8240,1716,58867,4464,2205,795,56662,4346,17060,2545,39602,4286,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1955171,2056,1173916,12883,405725,13703,768191,15461,646753,15768,121438,7502,781255,12572,28123,2792,753132,12512,233896,9484,519236,10354,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,380456,2409,246401,7084,132505,7640,113896,5199,93078,5356,20818,2719,134055,6698,8769,1889,125286,6860,40436,3471,84850,6189,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,153498,1648,98973,3753,54599,4510,44374,3363,37266,3326,7108,1467,54525,3076,3260,1057,51265,3146,15337,2131,35928,3039,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,292140,1645,184720,5407,94348,6002,90372,4533,74020,4033,16352,2281,107420,5250,7433,1546,99987,5134,37939,3355,62048,4141,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,127664,2283,69475,3455,41523,3738,27952,3048,22349,2663,5603,1901,58189,3425,4886,1359,53303,3327,14091,2170,39212,3216,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,199078,2760,105870,4729,61741,5430,44129,3854,35945,3713,8184,1492,93208,4690,7015,1672,86193,4903,26550,2624,59643,5003,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18937,790,13746,1331,10868,1469,2878,937,2370,872,508,347,5191,1275,853,454,4338,1225,2701,1036,1637,569,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,497277,748,222594,6524,101029,6798,121565,5827,105914,5338,15651,2771,274683,6500,44786,5377,229897,9362,83631,5410,146266,8549,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,659682,1154,430442,7663,133818,6593,296624,7981,215174,8366,81450,5680,229240,7502,12052,2089,217188,7268,77094,5425,140094,6986,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,426518,1448,317177,5325,202867,6681,114310,5463,95089,5216,19221,2416,109341,5233,7072,1188,102269,5312,38773,4096,63496,4487,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,245132,1375,145084,4327,80281,5587,64803,4441,52737,4044,12066,2139,100048,4811,11111,2341,88937,4576,25949,2718,62988,4236,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,72125,2586,41722,3571,19980,2747,21742,2721,17074,2284,4668,1133,30403,2596,2771,1031,27632,2341,10609,1616,17023,1961,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,207925,2602,145806,4453,98763,5745,47043,4196,39640,4039,7403,1894,62119,3749,5985,1435,56134,3798,22017,2697,34117,3659,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,31735,884,26616,1361,22950,1380,3666,1008,3308,915,358,295,5119,1129,1146,554,3973,1083,2361,713,1612,780,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,167645,993,99105,3407,50417,4119,48688,2599,40373,2679,8315,1335,68540,3331,1495,502,67045,3355,16879,1830,50166,2700,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,718366,633,410354,7342,162947,8157,247407,7893,217942,7607,29465,3285,308012,7409,12179,2106,295833,8150,91144,5343,204689,6946,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,37897,900,25848,1957,17365,2550,8483,1764,6024,1599,2459,832,12049,1755,1764,667,10285,1943,3384,867,6901,1803,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,1574890,681,843305,13763,277850,11093,565455,12773,463516,12117,101939,5698,731585,13748,32958,3137,698627,13207,217183,7848,481444,12319,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,912233,711,755984,8512,366455,10891,389529,8849,342295,8455,47234,3574,156249,8367,4536,1066,151713,8283,56760,4485,94953,6827,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3360385,1798,1934714,18994,632814,16290,1301900,19736,1031192,18168,270708,9140,1425671,18754,69228,5365,1356443,19116,378105,12013,978338,19619,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,786888,2652,399494,7762,142126,8038,257368,8894,199004,8113,58364,6182,387394,7222,17708,2264,369686,7244,114355,6793,255331,7833,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,18481,1233,15672,1459,10322,1571,5350,1405,4964,1311,386,295,2809,832,307,226,2502,879,933,599,1569,795,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,355407,1968,273460,4800,168365,6640,105095,5694,79073,4950,26022,3402,81947,4406,8627,1616,73320,4324,26531,2691,46789,3677,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,335694,1144,207015,4525,108287,5025,98728,4268,82285,4285,16443,2026,128679,4428,5658,1045,123021,4609,34381,2903,88640,4162,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,445569,1072,269244,6116,121885,7929,147359,6752,122537,6295,24822,3126,176325,5949,8841,1459,167484,5784,51439,3938,116045,5294,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,749162,1405,557259,10142,237240,8949,320019,9039,225465,8323,94554,6798,191903,10004,12903,1821,179000,9480,56808,4469,122192,8473,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,133611,450,75783,3747,24105,2635,51678,3670,41848,3034,9830,1889,57828,3665,2941,1080,54887,3616,17148,2360,37739,3068,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,230559,1469,124486,4965,51695,4720,72791,4408,59078,4241,13713,2249,106073,4932,7320,1962,98753,5041,23781,2980,74972,5000,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,24963,1265,20627,1330,15898,1645,4729,1153,4146,1129,583,317,4336,1173,334,209,4002,1141,1668,926,2334,847,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,281816,2391,146274,5897,67094,5749,79180,5337,65805,4718,13375,2314,135542,5294,7965,1608,127577,5503,39549,3756,88028,4920,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,9426211,2990,6356169,31502,2163162,35495,4193007,34888,3308590,35373,884417,21837,3070042,31192,101454,6283,2968588,31719,807470,16716,2161118,26302,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,351984,1060,210703,5454,112496,7721,98207,5145,87366,4890,10841,1755,141281,5496,6835,1388,134446,5379,54150,4073,80296,4548,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,9796,636,8302,801,5738,928,2564,673,2234,612,330,188,1494,599,333,269,1161,524,702,290,459,384,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,658291,3023,328854,9208,151830,7699,177024,7541,149706,7234,27318,3471,329437,9047,35898,5697,293539,9395,115488,7180,178051,8472,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,761350,813,488035,9326,240575,10848,247460,8912,200068,8103,47392,4839,273315,9332,14211,2465,259104,9516,83095,5401,176009,8635,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,22564,1692,17760,2188,13568,2292,4192,1006,3191,1008,1001,603,4804,1563,1082,525,3722,1320,2472,1042,1250,665,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,329821,1306,221014,4908,115460,5696,105554,5610,84148,5089,21406,2795,108807,4778,8148,1518,100659,4886,32346,2653,68313,4877,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,51294,1046,40091,2158,30169,2471,9922,2023,8648,1968,1274,593,11203,2005,1175,732,10028,1965,5107,1348,4921,1157,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,3330601,3743,3245165,7581,173551,10303,3071614,13380,519761,14446,2551853,18035,85436,5791,4524,1046,80912,5549,10866,1688,70046,4852,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
