GEO_ID,B25098_001E,B25098_001M,B25098_002E,B25098_002M,B25098_003E,B25098_003M,B25098_004E,B25098_004M,B25098_005E,B25098_005M,B25098_006E,B25098_006M,B25098_007E,B25098_007M,B25098_008E,B25098_008M,B25098_009E,B25098_009M,B25098_010E,B25098_010M,B25098_011E,B25098_011M,B25098_012E,B25098_012M,B25098_013E,B25098_013M,B25098_014E,B25098_014M,B25098_015E,B25098_015M,B25098_016E,B25098_016M,B25098_017E,B25098_017M,B25098_018E,B25098_018M,B25098_019E,B25098_019M,NAME,B25098_001EA,B25098_001MA,B25098_002EA,B25098_002MA,B25098_003MA,B25098_003EA,B25098_004EA,B25098_004MA,B25098_005EA,B25098_005MA,B25098_006EA,B25098_006MA,B25098_007EA,B25098_007MA,B25098_008MA,B25098_008EA,B25098_009MA,B25098_009EA,B25098_010MA,B25098_010EA,B25098_011EA,B25098_011MA,B25098_012EA,B25098_012MA,B25098_013EA,B25098_013MA,B25098_014MA,B25098_014EA,B25098_015MA,B25098_015EA,B25098_016EA,B25098_016MA,B25098_017EA,B25098_017MA,B25098_018EA,B25098_018MA,B25098_019MA,B25098_019EA,state
0400000US01,1246080,12085,714687,9945,22538,2208,70399,4041,58664,3380,99781,4825,149692,6442,109511,5198,128964,5486,75138,3584,531393,8917,48708,3051,120978,4971,72360,3767,82995,3986,89771,4443,47862,3025,41498,2975,27221,2008,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,103179,3869,1505,456,3083,672,2737,620,7555,1234,18628,2084,16020,1880,29511,2197,24140,1724,52827,2371,2961,653,6983,1019,5342,972,5802,754,9666,1115,6481,1026,9002,1128,6590,1127,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,956507,11704,27316,2842,73130,4434,72362,4442,121628,4525,198370,5703,146546,5595,177654,5647,139501,5634,528350,8875,43192,3066,105673,5061,68533,3585,83611,4141,90950,3812,55460,3883,45289,2931,35642,2507,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,413767,9667,10402,1380,40317,2944,37865,3175,64976,3898,89263,4847,64370,4362,68329,4150,38245,2947,330551,7086,27431,2370,81736,4195,44163,2867,54279,3674,56307,3171,29395,2067,22503,1955,14737,1425,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,4929106,26058,104316,5569,267874,7858,247810,7100,417401,10749,788356,13307,727508,13178,1074301,15880,1301540,16943,1926582,16196,110615,4562,314751,6822,203373,6179,263505,6459,325060,7941,213636,5562,246493,6275,249149,6454,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,948014,10751,18923,1839,51520,3387,52048,3479,91998,4890,182593,5749,156727,5184,210014,5620,184191,5270,354519,6438,18623,1921,53369,3069,38416,2665,52569,3156,63949,3212,44327,3168,44233,2761,39033,2283,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,628902,8526,8777,1398,22262,2322,25334,2683,48764,3324,95631,4607,102171,4830,150665,6089,175298,6093,271137,5712,11314,1571,36649,2505,25763,1819,36327,2656,45521,2527,31525,2164,38580,2495,45458,2712,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,170546,3729,4705,1235,10198,1476,10165,1465,20490,1995,31968,2523,27770,2429,36182,2678,29068,2459,75262,3429,4587,885,12988,1381,10417,1234,11213,1392,13540,1474,8352,1049,7835,1000,6330,1089,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,85550,3521,2223,600,2803,780,2386,810,4062,872,10221,1349,10397,1287,17073,2176,36385,2460,26942,2120,2441,673,3649,1002,1334,436,3111,649,4556,971,3343,842,3747,850,4761,806,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,2728967,21466,89946,5031,249305,7107,225811,7699,356944,10391,573074,12224,415591,10282,468828,10390,349468,8505,1964854,18332,156112,6222,401304,9823,249306,8407,300606,7893,338795,8029,186480,6152,179229,6678,153022,5527,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
