GEO_ID,B15002B_001E,B15002B_001M,B15002B_002E,B15002B_002M,B15002B_003E,B15002B_003M,B15002B_004E,B15002B_004M,B15002B_005E,B15002B_005M,B15002B_006E,B15002B_006M,B15002B_007E,B15002B_007M,B15002B_008E,B15002B_008M,B15002B_009E,B15002B_009M,B15002B_010E,B15002B_010M,B15002B_011E,B15002B_011M,B15002B_012E,B15002B_012M,B15002B_013E,B15002B_013M,B15002B_014E,B15002B_014M,B15002B_015E,B15002B_015M,B15002B_016E,B15002B_016M,B15002B_017E,B15002B_017M,B15002B_018E,B15002B_018M,B15002B_019E,B15002B_019M,NAME,B15002B_001MA,B15002B_001EA,B15002B_002EA,B15002B_002MA,B15002B_003EA,B15002B_003MA,B15002B_004MA,B15002B_004EA,B15002B_005MA,B15002B_005EA,B15002B_006EA,B15002B_006MA,B15002B_007EA,B15002B_007MA,B15002B_008EA,B15002B_008MA,B15002B_009MA,B15002B_009EA,B15002B_010MA,B15002B_010EA,B15002B_011MA,B15002B_011EA,B15002B_012MA,B15002B_012EA,B15002B_013EA,B15002B_013MA,B15002B_014EA,B15002B_014MA,B15002B_015MA,B15002B_015EA,B15002B_016MA,B15002B_016EA,B15002B_017EA,B15002B_017MA,B15002B_018EA,B15002B_018MA,B15002B_019EA,B15002B_019MA,state
0400000US01,803651,4121,357056,3092,20048,2178,57465,3924,114722,5029,20703,2053,76914,4153,23102,2579,29163,3006,14939,1963,446595,2779,21948,2164,56633,3207,124214,5067,14499,1769,104205,4227,43636,3879,51140,4078,30320,3057,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15075,1349,8714,1356,114,188,508,318,2666,1033,952,531,2287,815,1113,512,821,432,253,407,6361,864,457,452,479,443,1978,715,250,372,1276,547,468,286,970,495,483,320,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172012,2586,89607,1968,2354,1102,7648,1380,19925,2633,4527,1076,26482,2422,8032,1515,13257,1984,7382,1497,82405,1687,3122,1040,5114,1105,15052,2213,2100,702,27158,2400,8329,1796,13476,1795,8054,1424,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,276933,3357,126456,2326,6142,1098,15086,2015,49012,2813,5628,1016,29816,2939,5187,1217,12102,1876,3483,794,150477,1979,7445,1409,18258,1860,42811,2940,4032,884,40740,2912,10870,1920,16781,2340,9540,1602,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1484683,8788,718174,5776,20001,2205,68092,3922,163144,6980,26259,3293,224697,7857,63107,3770,99406,4957,53468,3719,766509,5548,20719,2481,51973,3476,153831,6145,15119,2035,253847,8129,86492,4354,114025,5190,70503,3538,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133513,2480,71721,2024,1636,626,5006,1235,15998,2041,5300,1165,21787,2184,7689,1526,8528,1404,5777,1096,61792,1856,2361,672,3980,1156,11645,1563,2884,969,17904,1835,6400,1222,10374,1873,6244,1247,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,231444,3932,105681,2439,4806,1340,11838,1659,32273,2499,6210,1153,23417,2275,6572,1388,13203,1857,7362,1475,125763,2466,6014,1217,10454,1367,35136,2636,3621,901,30451,2659,11351,1739,17466,2353,11270,1767,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,128116,1427,57971,795,1807,716,6608,1126,18152,1850,2690,869,14340,1864,3753,1052,6703,1211,3918,1038,70145,1026,1403,649,7137,1491,16387,1784,3472,966,16986,2112,6150,1455,10633,1845,7977,1612,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,216029,1989,94039,1098,3586,917,10113,1500,28281,2629,6598,1331,19863,2112,4544,1197,12175,1860,8879,1487,121990,1305,4205,1097,11035,1519,33802,2108,3664,838,29615,2446,6529,1212,16685,1958,16455,2065,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1972278,9195,912066,5568,60845,4595,120934,6020,286090,9123,45297,3984,184816,8455,76129,5231,93984,5278,43971,3821,1060212,6027,71692,4707,115787,5549,290525,8909,36331,3182,236835,8277,110474,5329,127083,6065,71485,4288,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,1942277,8970,866297,6275,42659,3736,112505,5987,260999,7077,50137,4095,191952,8741,54954,4473,106060,6643,47031,3968,1075980,5018,48294,4240,105671,6137,264117,9156,30418,3018,275376,9236,97201,5391,156108,8500,98795,5568,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,18940,1400,11967,1067,0,181,248,173,1851,687,436,436,4575,1057,1961,738,2379,805,517,285,6973,898,0,181,151,162,673,399,0,181,3138,893,1219,532,845,393,947,448,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,4155,1071,2339,828,348,324,85,128,352,250,111,146,706,481,125,177,232,224,380,233,1816,497,735,327,0,190,308,282,172,164,225,221,194,228,145,118,37,69,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1147196,4165,512941,3253,20850,2128,65419,3724,131670,5974,29957,2574,137103,5099,37778,2966,58108,3549,32056,3304,634255,3366,20545,1958,67758,4531,142027,5023,21874,2262,179413,5610,53836,3120,82709,4322,66093,3889,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,364389,3548,166352,2644,4713,962,22564,2442,49006,3491,11867,1369,43279,3464,11342,1864,15695,1863,7886,1369,198037,2500,5632,1447,20793,2100,51046,3541,8984,1484,57171,3242,18541,2583,20907,2503,14963,2026,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,52965,2432,27867,1954,1969,710,3662,1045,5482,1292,2016,676,7853,1293,1696,669,2976,911,2213,857,25098,1417,1025,483,1942,638,5851,1204,1520,589,6170,1020,3641,1087,3423,1001,1526,621,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,101975,2766,52184,2276,1496,674,5583,1268,13667,1855,4072,1233,13607,1749,4264,911,6100,1367,3395,928,49791,1585,1740,503,5222,1093,11010,1550,1664,511,15418,1614,4288,1172,5468,1272,4981,949,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,217377,4336,103898,3652,3175,770,12674,1654,31156,2372,10912,2542,26564,2518,5887,1291,8418,1232,5112,1115,113479,2159,4320,1150,10825,1822,29154,2617,4927,1276,32344,2713,10105,1449,12219,1869,9585,1772,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,902889,5280,409208,3771,32940,2875,73374,4003,138753,5551,19207,2109,82412,4480,17228,2167,32227,3238,13067,1984,493681,2917,24400,2361,72235,4742,149758,4724,17061,2049,119263,5237,29068,3087,52750,3822,29146,2501,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,7552,865,4324,666,53,51,393,330,1194,434,103,158,1092,445,322,205,794,481,373,262,3228,729,584,424,298,231,688,531,66,107,739,519,285,346,384,246,184,219,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
