GEO_ID,B28004_001E,B28004_001M,B28004_002E,B28004_002M,B28004_003E,B28004_003M,B28004_004E,B28004_004M,B28004_005E,B28004_005M,B28004_006E,B28004_006M,B28004_007E,B28004_007M,B28004_008E,B28004_008M,B28004_009E,B28004_009M,B28004_010E,B28004_010M,B28004_011E,B28004_011M,B28004_012E,B28004_012M,B28004_013E,B28004_013M,B28004_014E,B28004_014M,B28004_015E,B28004_015M,B28004_016E,B28004_016M,B28004_017E,B28004_017M,B28004_018E,B28004_018M,B28004_019E,B28004_019M,B28004_020E,B28004_020M,B28004_021E,B28004_021M,B28004_022E,B28004_022M,B28004_023E,B28004_023M,B28004_024E,B28004_024M,B28004_025E,B28004_025M,NAME,B28004_001EA,B28004_001MA,B28004_002EA,B28004_002MA,B28004_003EA,B28004_003MA,B28004_004MA,B28004_004EA,B28004_005EA,B28004_005MA,B28004_006EA,B28004_006MA,B28004_007EA,B28004_007MA,B28004_008EA,B28004_008MA,B28004_009MA,B28004_009EA,B28004_010MA,B28004_010EA,B28004_011EA,B28004_011MA,B28004_012EA,B28004_012MA,B28004_013EA,B28004_013MA,B28004_014MA,B28004_014EA,B28004_015MA,B28004_015EA,B28004_016EA,B28004_016MA,B28004_017EA,B28004_017MA,B28004_018EA,B28004_018MA,B28004_019MA,B28004_019EA,B28004_020MA,B28004_020EA,B28004_021MA,B28004_021EA,B28004_022EA,B28004_022MA,B28004_023MA,B28004_023EA,B28004_024EA,B28004_024MA,B28004_025EA,B28004_025MA,state
0400000US01,1841217,10615,186709,6006,1351,608,67617,3673,117741,5111,249553,7806,1369,477,102410,5387,145774,5578,335363,7564,2075,601,175571,6241,157717,5453,265409,7847,3018,780,180862,7206,81529,4504,312181,8395,2691,748,245656,7755,63834,3866,492002,9819,2218,554,438762,9159,51022,3226,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,9813,1333,66,90,5401,1070,4346,889,16711,1763,50,69,7713,1094,8948,1491,29115,2422,89,112,19699,1977,9327,1308,28810,2279,184,136,22597,2072,6029,1038,46463,3134,308,229,38564,2909,7591,1355,118747,3871,688,351,109261,3909,8798,1299,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,188643,7539,1083,388,88704,5924,98856,4587,263473,6875,1268,368,136129,4964,126076,5382,403348,8845,3610,734,257312,7851,142426,5792,357036,8166,2951,661,269517,7564,84568,4135,450159,8815,2821,692,378066,8345,69272,3798,766084,10543,2303,645,704797,10537,58984,3916,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,98239,4798,555,352,34163,2854,63521,3984,162553,6077,1928,827,62029,3699,98596,5192,218352,7818,1777,543,115973,6057,100602,5382,180197,5819,1424,570,118081,4694,60692,3755,199048,6250,2378,652,153217,5974,43453,3155,272899,7797,1662,449,234924,7323,36313,2945,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,756518,13073,7260,1461,428778,10872,320480,7512,1233783,15102,12245,1633,649972,11681,571566,11483,1746054,19908,17071,2133,1162448,15231,566535,13078,1527424,20907,13394,1694,1162378,18697,351652,9335,2110671,23277,14824,1897,1773269,21188,322578,9559,5384198,28541,20998,2250,5032188,26726,331012,8645,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,122704,5760,1368,615,67796,4634,53540,3877,159950,6354,1304,390,87621,4654,71025,4029,281571,8352,4122,964,193269,6481,84180,4377,270668,8024,3420,783,208744,6835,58504,3706,375561,8013,4539,899,325080,7460,45942,3279,829138,10392,5608,1294,773306,10441,50224,3918,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,81318,5209,861,458,38075,3154,42382,3344,109037,5121,791,404,54439,3752,53807,3586,161290,6389,969,417,103931,4630,56390,3805,149267,5951,692,275,112282,5178,36293,3275,216762,6940,1623,567,181407,6690,33732,3232,638143,9322,2630,729,601112,9038,34401,2629,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,23305,2373,34,54,10739,1682,12532,1715,27084,2327,127,130,13940,1832,13017,1508,48202,3327,573,310,26682,2621,20947,2217,49311,3402,521,358,35601,2726,13189,2062,64840,3539,428,238,53319,3305,11093,1665,137001,4405,752,353,123688,4139,12561,1890,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,31498,3276,46,80,11755,1931,19697,2409,20750,2350,179,151,7729,1448,12842,1620,29614,2939,109,110,15184,2171,14321,1856,24799,2100,347,453,17247,1763,7205,1300,36870,2603,215,139,27861,2290,8794,1495,133847,4075,313,209,123942,3772,9592,1636,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,576996,12973,2670,949,292053,7983,282273,9420,835945,16600,6301,1464,438850,12249,390794,10199,1304552,16192,13840,2157,859400,14287,431312,9435,1103528,14514,9288,1563,852186,12666,242054,8130,1342938,17658,7713,1415,1130447,17080,204778,7073,2164087,22065,9548,1446,1983620,21497,170919,7107,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3587521,13961,304159,9085,1917,840,138560,6604,163682,6918,407685,10895,3152,860,185699,7190,218834,7639,582328,11979,4045,1163,357836,11229,220447,7836,518310,11314,2856,921,379602,10405,135852,5977,640425,13048,4546,1031,528319,12210,107560,5572,1134614,13101,3817,849,1044355,12824,86442,5045,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,450769,4870,25911,2647,88,123,12622,1531,13201,1895,31787,2759,632,466,17883,1914,13272,1759,48475,3068,325,267,31386,2048,16764,2110,52095,3501,348,249,39365,2732,12382,1793,84919,4157,562,290,70059,3777,14298,1795,207582,4924,1050,354,191880,4866,14652,1600,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
