GEO_ID,B15003_001E,B15003_001M,B15003_002E,B15003_002M,B15003_003E,B15003_003M,B15003_004E,B15003_004M,B15003_005E,B15003_005M,B15003_006E,B15003_006M,B15003_007E,B15003_007M,B15003_008E,B15003_008M,B15003_009E,B15003_009M,B15003_010E,B15003_010M,B15003_011E,B15003_011M,B15003_012E,B15003_012M,B15003_013E,B15003_013M,B15003_014E,B15003_014M,B15003_015E,B15003_015M,B15003_016E,B15003_016M,B15003_017E,B15003_017M,B15003_018E,B15003_018M,B15003_019E,B15003_019M,B15003_020E,B15003_020M,B15003_021E,B15003_021M,B15003_022E,B15003_022M,B15003_023E,B15003_023M,B15003_024E,B15003_024M,B15003_025E,B15003_025M,NAME,B15003_001MA,B15003_001EA,B15003_002EA,B15003_002MA,B15003_003EA,B15003_003MA,B15003_004MA,B15003_004EA,B15003_005MA,B15003_005EA,B15003_006EA,B15003_006MA,B15003_007EA,B15003_007MA,B15003_008MA,B15003_008EA,B15003_009EA,B15003_009MA,B15003_010MA,B15003_010EA,B15003_011MA,B15003_011EA,B15003_012EA,B15003_012MA,B15003_013EA,B15003_013MA,B15003_014EA,B15003_014MA,B15003_015MA,B15003_015EA,B15003_016EA,B15003_016MA,B15003_017EA,B15003_017MA,B15003_018EA,B15003_018MA,B15003_019MA,B15003_019EA,B15003_020EA,B15003_020MA,B15003_021EA,B15003_021MA,B15003_022MA,B15003_022EA,B15003_023EA,B15003_023MA,B15003_024EA,B15003_024MA,B15003_025EA,B15003_025MA,state
0400000US01,3256766,4841,43565,3258,491,323,533,337,1230,494,3054,1194,6312,1237,5709,1407,7922,1484,24893,2338,21130,2531,49909,3675,71459,4656,96638,4637,101387,5962,63527,4458,847523,13509,181142,6003,198029,6728,511129,11244,256777,9532,478058,11918,201391,6586,51876,3858,33082,2843,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,465149,2124,3281,775,128,136,145,122,13,22,577,362,930,498,822,396,1193,538,1399,535,1079,457,3058,652,3623,848,6027,899,6447,1195,4531,1113,108523,4395,23464,1851,35472,2893,96087,5016,38086,2849,85634,3613,33103,2734,7223,1319,4304,910,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,4436226,2926,65513,4739,497,331,731,411,4324,1193,5977,1409,15227,1780,9273,2206,14407,2251,73766,4386,17631,2147,78661,6040,72844,5236,78592,5022,94896,5233,86447,4695,899108,16993,180704,6127,344474,8827,794213,13744,376649,9975,765784,13185,328400,7118,74530,4316,53578,3414,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1968414,4284,22638,2430,336,322,501,534,846,538,1493,717,6063,1474,4128,1227,6017,1443,18592,2417,14333,2011,35867,2958,39834,3583,49231,3258,57989,3538,30869,3057,568437,10448,118349,5455,131244,4680,316818,8140,123871,6506,272411,8594,104636,5481,24531,2496,19380,2166,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,25654292,5461,673107,13603,6054,1214,8739,1382,37410,3283,89646,4552,183002,7380,114253,5873,149850,7278,820129,15841,132699,6936,340538,9052,506433,13156,373912,10998,506110,11599,651643,12841,4768478,35664,592375,12604,1463370,19464,4097190,32528,2002684,22060,5120162,33972,2035257,20105,586986,13390,394265,10356,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3584463,3721,34350,2748,84,101,363,254,2402,998,4205,1320,7697,1538,5342,1503,7141,1477,40929,4128,12230,1958,33419,3150,40983,3946,46117,3747,52346,3338,51274,3976,640470,13688,143346,6366,228712,6867,564212,9898,294629,8870,862158,12422,373532,8052,75829,3656,62693,3467,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2471818,1977,23934,2757,224,202,407,256,826,461,1988,1066,5469,1599,4745,1399,7732,1571,20103,2864,8160,1580,29022,3133,29981,3316,37282,3335,41533,3407,33761,3113,599611,12888,80663,5063,133471,5345,288203,8048,184589,6024,527472,10861,298684,7552,71642,4244,42316,3173,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,640343,870,7183,1504,0,185,119,117,17,23,897,607,1483,753,804,463,1105,531,3420,1277,2344,861,4256,958,9557,1604,14070,2206,15396,2432,10016,1520,178275,5523,21472,2239,37791,2976,85470,4202,50787,3877,116931,5148,57035,3586,10712,1442,11203,1874,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,463211,347,5103,1325,83,138,0,198,154,253,600,643,1459,637,1174,735,1224,678,3843,1257,1653,803,3776,1057,5698,1193,6992,1295,8907,1559,4788,827,71358,4381,12855,1867,16560,2313,46376,3665,15936,2092,112706,3634,86777,3902,36729,3003,18460,2088,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14041196,6948,202674,8416,2850,1011,3278,1344,8401,2081,17764,3002,43886,4211,31070,3882,48383,5039,157100,8871,74365,5749,145442,6383,218890,8535,248895,8742,283213,9177,309482,11172,3557737,30505,593563,14160,900683,14782,2004771,26615,1358245,20607,2448663,26006,964916,14634,261794,9631,155131,6825,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
