GEO_ID,B18101G_001E,B18101G_001M,B18101G_002E,B18101G_002M,B18101G_003E,B18101G_003M,B18101G_004E,B18101G_004M,B18101G_005E,B18101G_005M,B18101G_006E,B18101G_006M,B18101G_007E,B18101G_007M,B18101G_008E,B18101G_008M,B18101G_009E,B18101G_009M,B18101G_010E,B18101G_010M,NAME,B18101G_001MA,B18101G_001EA,B18101G_002MA,B18101G_002EA,B18101G_003EA,B18101G_003MA,B18101G_004EA,B18101G_004MA,B18101G_005EA,B18101G_005MA,B18101G_006MA,B18101G_006EA,B18101G_007MA,B18101G_007EA,B18101G_008EA,B18101G_008MA,B18101G_009EA,B18101G_009MA,B18101G_010EA,B18101G_010MA,state
0400000US01,84080,6372,41971,4570,2505,966,39466,4401,36031,3625,6723,1340,29308,3549,6078,1144,3142,706,2936,850,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,61134,4314,30723,3014,1170,633,29553,3027,28787,2561,2762,752,26025,2347,1624,463,663,294,961,390,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,221323,10877,109661,7315,6219,1871,103442,6727,101782,7351,14635,2433,87147,6271,9880,1378,4532,847,5348,1095,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63950,5704,28345,3347,1580,460,26765,3343,30770,3598,6448,1192,24322,3326,4835,1033,2526,797,2309,689,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1753669,27832,768759,19266,28038,3004,740721,18902,896631,14542,98314,5951,798317,13539,88279,4655,37864,2905,50415,3398,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,179753,9554,79636,5520,3238,966,76398,5656,92639,4950,13029,1731,79610,4551,7478,1229,2839,842,4639,1013,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,101149,7773,50728,5134,2163,738,48565,5145,46313,4177,4186,1032,42127,4245,4108,1026,1368,517,2740,941,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23631,3259,14377,2531,835,504,13542,2462,8362,1587,961,457,7401,1495,892,438,242,230,650,377,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16566,2517,5912,1458,168,175,5744,1442,10116,1445,324,199,9792,1444,538,311,232,202,306,195,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,467802,19733,220226,12303,10763,2030,209463,12492,222238,10978,26891,2929,195347,10339,25338,2443,10971,1543,14367,1891,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,199612,11121,102135,7671,5261,1501,96874,7602,89190,5681,12928,2360,76262,5327,8287,1679,3715,952,4572,1354,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,325477,10620,124418,5364,4211,1201,120207,5209,176487,6947,16998,2295,159489,6419,24572,2889,11178,2096,13394,1774,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,40104,4157,20062,2804,1605,825,18457,2568,17192,2344,3168,1007,14024,2099,2850,747,1501,547,1349,496,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,288411,11421,148217,7678,6225,1508,141992,7547,127835,6211,15255,1722,112580,5683,12359,1673,5323,893,7036,1277,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,144101,6720,80403,5092,4349,1260,76054,4874,58300,3766,9512,1391,48788,3674,5398,1069,3293,854,2105,559,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,59655,4465,34147,3295,1774,731,32373,3218,24173,2595,3870,875,20303,2592,1335,381,674,251,661,343,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,97377,5703,48966,3673,2821,926,46145,3648,43386,3415,7644,1363,35742,3288,5025,1095,1960,621,3065,972,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,92364,5943,53597,4638,2652,980,50945,4522,34463,2972,7550,1363,26913,2881,4304,868,2184,599,2120,681,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,76381,5878,36148,4095,3025,1185,33123,3988,35676,3762,5023,1141,30653,3469,4557,1018,2359,698,2198,719,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,27189,2113,12089,1583,1393,347,10696,1491,13415,1206,3961,933,9454,1309,1685,552,618,279,1067,508,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,170514,8267,81145,5950,3401,1027,77744,5833,79247,4879,10768,1653,68479,4840,10122,1493,3953,896,6169,1254,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
