GEO_ID,B19019_001E,B19019_001M,B19019_002E,B19019_002M,B19019_003E,B19019_003M,B19019_004E,B19019_004M,B19019_005E,B19019_005M,B19019_006E,B19019_006M,B19019_007E,B19019_007M,B19019_008E,B19019_008M,NAME,B19019_001EA,B19019_001MA,B19019_002MA,B19019_002EA,B19019_003MA,B19019_003EA,B19019_004EA,B19019_004MA,B19019_005EA,B19019_005MA,B19019_006MA,B19019_006EA,B19019_007MA,B19019_007EA,B19019_008MA,B19019_008EA,state
0400000US01,42830,598,22274,530,49491,892,54913,1695,66858,3117,62105,3079,58717,6928,50456,5591,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,71583,1784,39195,2252,80671,3437,81136,6497,104446,6971,102942,6515,90816,12102,75978,9378,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,50068,483,27708,774,57498,967,63451,1655,70899,2858,61019,2510,57338,3945,61360,4437,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41262,653,21760,688,48891,1277,51419,2064,60415,1865,58197,3779,50097,4137,54464,4742,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,61933,238,33651,602,69730,718,73578,1054,82007,909,70929,1061,70107,1990,76093,1619,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,61303,487,32786,973,70164,1169,76536,1519,88375,2169,79665,4804,74971,7594,83343,4618,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,70048,828,33808,1274,78646,2014,93273,2760,106966,3849,101694,6963,100631,11073,94626,11329,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,59716,1674,33123,1914,64733,3352,73680,4609,90159,7829,86450,6150,83706,12520,122671,37120,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,71648,1996,46753,4223,99115,5787,88224,10974,93800,13187,94516,24358,86941,40216,55346,38744,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,47463,329,26507,272,54596,512,58925,1106,66701,1086,64409,2164,61391,2287,63076,3769,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,49321,543,27750,868,55128,868,58880,1510,70044,2281,64932,2361,56094,5476,65683,6744,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,69592,1456,34426,2784,71351,2364,81138,3081,91212,3130,92869,7127,88717,11214,131714,10505,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,47861,1275,23575,1316,52668,1367,58599,4528,67963,4369,63478,2868,70107,7990,69396,7494,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,57444,429,30661,359,65198,723,74381,1442,85868,1339,80247,2202,72183,2588,74195,3115,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,49446,487,26372,522,55120,747,62678,1553,72364,1567,67203,2480,68772,4187,66166,3892,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,53712,761,26847,727,60773,980,72245,1775,79681,1976,79784,3777,67217,5280,73717,6057,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,52504,706,27437,687,60816,1045,67338,1737,77359,3086,75246,4503,70320,5651,77447,6671,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,42958,697,21663,470,49075,1021,58168,1292,67387,2213,61275,1764,59799,5756,59158,5179,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,44555,738,23240,660,51680,1121,57118,2344,73295,2766,64489,4064,63827,6747,59714,9725,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,49462,1112,23465,1239,56896,1783,68023,3410,77241,3464,71372,11561,69159,10180,82159,17713,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,73971,867,40968,693,80275,1068,93730,2316,105007,2877,103098,3462,104704,4687,96532,7716,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,69160,957,31629,576,76240,1193,91455,1885,107850,2463,109847,4353,102784,6098,106146,11311,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,49847,385,26535,324,55844,573,65225,1039,76656,1026,74493,2071,64322,3920,60536,4583,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,61481,471,30738,448,69572,839,81664,1473,96432,1698,88861,3387,82253,4147,70756,4323,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,39680,773,20607,783,45731,1147,50392,1729,62001,2698,54547,3434,48181,6180,52100,8274,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,48363,567,25261,472,55217,701,63427,1983,73606,2284,70963,3346,68519,3742,69301,4805,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,46328,1217,24291,1271,54002,1436,64602,3427,69895,4060,69965,8002,60915,11941,54232,10565,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,52686,688,26712,702,60328,993,67458,2640,80460,2566,74144,3277,70327,6625,62397,8755,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,51450,683,29905,1067,57710,1487,66390,2740,69744,2686,65582,4624,62582,4624,74709,12532,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,66532,1297,31000,1097,71572,2007,81585,2666,100071,3104,100057,11865,121311,10235,123300,20308,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,71919,438,34477,971,76260,1030,91200,1618,110553,1489,104857,5087,107984,5373,91991,4872,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,44803,849,24135,1335,54566,1650,53353,3940,60953,3871,55011,5349,60805,9088,57689,9501,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,58878,393,31011,348,66073,605,74736,1046,87786,1412,84560,2117,78228,3412,75330,5480,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,46556,381,25695,373,53894,663,59220,1581,68631,2381,62129,2066,53705,2679,57594,3089,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,59029,1681,29487,1592,69764,2347,75828,5318,81176,5973,95165,6895,83570,16091,101311,26431,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,49308,363,25557,339,56808,408,65175,1453,77735,1481,74413,2174,63635,2928,64220,4082,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,47529,454,25173,534,55626,834,60195,1291,65912,1712,65209,2503,63571,4048,62432,4822,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,51075,490,26424,629,59000,1052,67053,2081,74758,2240,60516,3523,57334,4618,73343,7124,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,53234,420,26766,326,60018,587,73909,1231,84060,1540,82350,1758,76172,3949,77666,4166,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,54891,1488,26133,1976,64322,2953,73524,4202,86468,5162,85350,7440,77764,26208,113780,26335,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,45238,507,24479,644,53166,1026,57929,2116,65935,1853,58474,3721,64862,9222,51814,6572,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,50979,1027,26852,1143,60343,1560,69432,2462,77857,3288,80319,5865,65179,11293,49546,8349,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,44361,561,23692,685,51167,653,57211,1545,66953,1475,65523,2378,54768,3738,51901,4611,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,53035,377,29817,479,60522,462,64905,1004,72928,1385,64436,1365,61270,1322,66810,2298,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,60922,658,30297,891,59860,1277,68826,2401,74551,3203,76197,2064,79992,2934,91094,2636,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,54166,1724,27099,1377,60131,1581,75955,4535,80104,5187,85787,6754,85141,11606,97197,9758,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,64902,624,35242,703,70888,858,81115,1809,91641,1847,91018,2980,88500,4628,91988,9021,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,61366,485,32417,676,69032,1137,79048,2021,85693,2133,75335,2133,78430,4990,76909,8635,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
