GEO_ID,B19082_001E,B19082_001M,B19082_002E,B19082_002M,B19082_003E,B19082_003M,B19082_004E,B19082_004M,B19082_005E,B19082_005M,B19082_006E,B19082_006M,NAME,B19082_001MA,B19082_001EA,B19082_002MA,B19082_002EA,B19082_003EA,B19082_003MA,B19082_004MA,B19082_004EA,B19082_005EA,B19082_005MA,B19082_006EA,B19082_006MA,state
0400000US01,3.08,0.07,8.30,0.12,14.47,0.13,23.47,0.23,50.68,0.40,21.52,0.58,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,4.03,0.19,10.06,0.32,16.12,0.38,24.19,0.48,45.60,1.04,18.31,1.12,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3.26,0.08,8.83,0.09,14.66,0.13,23.00,0.14,50.24,0.34,21.88,0.36,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,3.46,0.11,8.64,0.19,14.41,0.26,22.72,0.36,50.77,0.81,22.69,1.08,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2.98,0.03,8.08,0.05,14.09,0.06,22.76,0.06,52.09,0.15,23.25,0.18,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3.50,0.07,9.07,0.11,14.94,0.14,23.01,0.20,49.48,0.41,21.65,0.54,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2.87,0.09,7.97,0.15,13.88,0.16,22.05,0.22,53.24,0.48,25.34,0.54,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,3.50,0.19,9.29,0.26,15.17,0.34,23.50,0.39,48.55,0.92,20.18,0.94,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,1.80,0.18,6.93,0.31,13.85,0.37,23.17,0.45,54.25,0.88,23.53,0.95,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3.27,0.04,8.49,0.06,14.09,0.08,22.20,0.10,51.95,0.23,23.99,0.27,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,3.07,0.06,8.44,0.09,14.32,0.12,22.85,0.18,51.32,0.34,22.63,0.45,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3.54,0.16,9.91,0.25,15.98,0.26,23.75,0.35,46.82,0.73,19.40,0.97,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,3.71,0.19,9.25,0.26,14.96,0.34,22.77,0.48,49.30,1.06,22.03,1.28,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,3.09,0.04,8.52,0.08,14.56,0.10,22.96,0.14,50.88,0.30,22.61,0.37,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,3.69,0.08,9.42,0.10,15.32,0.11,23.28,0.15,48.30,0.33,20.75,0.41,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,3.75,0.08,9.44,0.14,15.45,0.17,23.32,0.21,48.04,0.49,20.89,0.66,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,3.57,0.09,9.05,0.13,14.90,0.17,22.81,0.25,49.67,0.53,22.22,0.68,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3.17,0.07,8.46,0.09,14.70,0.12,23.47,0.16,50.20,0.31,21.40,0.43,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2.84,0.08,7.90,0.14,14.02,0.18,23.36,0.25,51.88,0.53,22.47,0.61,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,3.47,0.13,8.90,0.25,14.96,0.31,23.35,0.44,49.32,0.96,21.64,1.19,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3.45,0.07,9.27,0.10,15.34,0.11,23.55,0.15,48.39,0.31,20.46,0.37,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,2.77,0.05,8.09,0.09,14.52,0.12,23.26,0.16,51.37,0.31,22.88,0.38,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,3.40,0.05,8.91,0.08,14.91,0.08,23.31,0.10,49.47,0.23,21.10,0.25,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,3.61,0.05,9.19,0.09,15.10,0.13,22.99,0.14,49.11,0.34,21.70,0.41,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
