GEO_ID,B08008_001E,B08008_001M,B08008_002E,B08008_002M,B08008_003E,B08008_003M,B08008_004E,B08008_004M,B08008_005E,B08008_005M,B08008_006E,B08008_006M,B08008_007E,B08008_007M,B08008_008E,B08008_008M,B08008_009E,B08008_009M,B08008_010E,B08008_010M,B08008_011E,B08008_011M,B08008_012E,B08008_012M,B08008_013E,B08008_013M,B08008_014E,B08008_014M,B08008_015E,B08008_015M,NAME,B08008_001MA,B08008_001EA,B08008_002MA,B08008_002EA,B08008_003EA,B08008_003MA,B08008_004EA,B08008_004MA,B08008_005EA,B08008_005MA,B08008_006MA,B08008_006EA,B08008_007MA,B08008_007EA,B08008_008MA,B08008_008EA,B08008_009EA,B08008_009MA,B08008_010EA,B08008_010MA,B08008_011EA,B08008_011MA,B08008_012MA,B08008_012EA,B08008_013MA,B08008_013EA,B08008_014EA,B08008_014MA,B08008_015EA,B08008_015MA,state
0400000US01,2007426,13350,1326321,15273,583104,11169,743217,13228,681105,12899,1059453,9644,685907,10174,281263,7068,404644,9384,373546,8852,947973,9784,640414,10202,301841,7616,338573,8658,307559,6811,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359211,5456,348920,5490,253378,4644,95542,3675,10291,1425,202972,3602,197153,3766,137755,3446,59398,2740,5819,1234,156239,3948,151767,3867,115623,3593,36144,2111,4472,566,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2831592,19395,2658479,19427,1232928,15044,1425551,19211,173113,7603,1527939,12401,1433870,12844,643609,11142,790261,12763,94069,4662,1303653,13310,1224609,12630,589319,10949,635290,10923,79044,4422,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249674,12677,862332,14591,440423,11379,421909,11251,387342,9978,667551,8368,452085,9157,216184,7406,235901,8186,215466,6631,582123,9160,410247,8913,224239,7172,186008,5696,171876,5891,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17254926,40650,16410245,42171,6033193,37123,10377052,39261,844681,15317,9428905,26053,8945091,26979,3081019,23329,5864072,29472,483814,9330,7826021,29988,7465154,30117,2952174,26987,4512980,28457,360867,9233,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2681200,13178,2312924,15876,989509,13475,1323415,16335,368276,10827,1453889,9774,1251173,11032,496948,9618,754225,11319,202716,7101,1227311,8978,1061751,9647,492561,8427,569190,10720,165560,5322,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1765420,11499,1062959,11299,345295,10015,717664,10747,702461,11234,917611,7939,548052,8502,176619,7124,371433,8638,369559,7530,847809,7713,514907,6914,168676,5759,346231,6984,332902,6653,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434766,5852,185672,5917,44416,3150,141256,5520,249094,6359,220610,3955,91519,3693,20750,2229,70769,3912,129091,4495,214156,4298,94153,3878,23666,2277,70487,3348,120003,4199,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,343062,5802,343062,5802,259894,5296,83168,4289,0,198,165714,3554,165714,3554,122448,3745,43266,3256,0,198,177348,4230,177348,4230,137446,3982,39902,2745,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8636223,32707,6750885,33377,2183466,24425,4567419,30437,1885338,26612,4541802,23123,3528196,22574,1103497,18513,2424699,23865,1013606,18529,4094421,20834,3222689,21028,1079969,16706,2142720,20025,871732,16018,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
