GEO_ID,B11003_001E,B11003_001M,B11003_002E,B11003_002M,B11003_003E,B11003_003M,B11003_004E,B11003_004M,B11003_005E,B11003_005M,B11003_006E,B11003_006M,B11003_007E,B11003_007M,B11003_008E,B11003_008M,B11003_009E,B11003_009M,B11003_010E,B11003_010M,B11003_011E,B11003_011M,B11003_012E,B11003_012M,B11003_013E,B11003_013M,B11003_014E,B11003_014M,B11003_015E,B11003_015M,B11003_016E,B11003_016M,B11003_017E,B11003_017M,B11003_018E,B11003_018M,B11003_019E,B11003_019M,B11003_020E,B11003_020M,NAME,B11003_001EA,B11003_001MA,B11003_002EA,B11003_002MA,B11003_003MA,B11003_003EA,B11003_004MA,B11003_004EA,B11003_005EA,B11003_005MA,B11003_006EA,B11003_006MA,B11003_007EA,B11003_007MA,B11003_008MA,B11003_008EA,B11003_009EA,B11003_009MA,B11003_010EA,B11003_010MA,B11003_011EA,B11003_011MA,B11003_012EA,B11003_012MA,B11003_013EA,B11003_013MA,B11003_014EA,B11003_014MA,B11003_015EA,B11003_015MA,B11003_016EA,B11003_016MA,B11003_017EA,B11003_017MA,B11003_018EA,B11003_018MA,B11003_019MA,B11003_019EA,B11003_020MA,B11003_020EA,state
0400000US01,1232515,11755,870026,12061,306139,6930,64327,3918,59080,3136,182732,5426,563887,9567,362489,7696,77605,4478,31141,3065,7035,1728,4820,1167,19286,2499,46464,3159,284884,6553,148968,5330,31268,2996,27019,2426,90681,4864,135916,4954,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,124028,3565,56370,3033,13482,1697,13475,1581,29413,2125,67658,2626,40987,3201,14666,1760,8619,1296,2748,879,1440,609,4431,994,6047,1002,26321,2332,16473,1830,4479,1117,2691,699,9303,1274,9848,1279,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,1141295,13485,429582,10389,84596,4312,101118,5584,243868,6937,711713,10105,438186,9863,134120,5652,64558,4339,16825,2218,10892,1789,36841,3812,69562,3938,304066,7963,164373,6653,29376,2645,33923,3313,101074,4912,139693,5600,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,546528,9376,197891,6124,42146,3704,42672,3307,113073,5306,348637,8733,205684,7012,53552,4358,27574,2899,7164,1398,3713,1058,16697,2380,25978,2719,152132,5472,85354,4595,19432,2396,16661,2219,49261,3487,66778,3396,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,6239143,26454,2764763,19546,581896,11149,610197,13695,1572670,15289,3474380,19879,2522916,23148,772276,14460,342929,10262,82136,4616,59194,4197,201599,7974,429347,10112,1750640,18960,878527,16532,145211,6846,173161,7337,560155,13283,872113,12703,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,1005726,10270,422618,7404,105685,4231,88990,4292,227943,5910,583108,8328,309557,7641,99135,5173,54983,3602,10052,1701,6870,1629,38061,3143,44152,3386,210422,6507,123004,5623,24896,2741,19256,2379,78852,4396,87418,4739,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,650673,9276,257352,6736,54066,3805,42532,2509,160754,5235,393321,6865,236590,6825,64771,4207,28577,2840,7625,1560,3880,1105,17072,2203,36194,3105,171819,6120,93092,4441,14111,2044,18494,2248,60487,3467,78727,4031,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,165362,4195,56405,3103,12548,1468,12268,1580,31589,2615,108957,3381,67638,3162,18157,2184,7487,1284,1573,555,1512,674,4402,1095,10670,1747,49481,2861,25846,2580,4316,1005,5141,1180,16389,2139,23635,1736,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,66244,3097,24546,1745,10597,1412,3751,774,10198,1356,41698,2744,51620,3103,9496,1621,3608,960,1158,603,477,357,1973,876,5888,1127,42124,2614,20932,2409,4592,1198,3495,932,12845,1944,21192,1932,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,3380103,24537,1097577,14815,230078,8603,214781,8594,652718,13447,2282526,19170,1313308,18799,353537,9783,155425,7677,43693,4710,24450,3355,87282,5594,198112,6585,959771,14173,494344,11156,89628,5728,86738,6148,317978,10518,465427,8979,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
