GEO_ID,C15002G_001E,C15002G_001M,C15002G_002E,C15002G_002M,C15002G_003E,C15002G_003M,C15002G_004E,C15002G_004M,C15002G_005E,C15002G_005M,C15002G_006E,C15002G_006M,C15002G_007E,C15002G_007M,C15002G_008E,C15002G_008M,C15002G_009E,C15002G_009M,C15002G_010E,C15002G_010M,C15002G_011E,C15002G_011M,NAME,C15002G_001EA,C15002G_001MA,C15002G_002MA,C15002G_002EA,C15002G_003EA,C15002G_003MA,C15002G_004EA,C15002G_004MA,C15002G_005EA,C15002G_005MA,C15002G_006EA,C15002G_006MA,C15002G_007MA,C15002G_007EA,C15002G_008MA,C15002G_008EA,C15002G_009MA,C15002G_009EA,C15002G_010EA,C15002G_010MA,C15002G_011EA,C15002G_011MA,state
0400000US01,33229,3137,15871,1753,2540,814,4216,959,5645,1240,3470,1110,17358,1954,2684,862,3711,866,6186,1259,4777,1117,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23265,2017,10919,1165,941,450,4128,826,3948,803,1902,637,12346,1630,498,270,3158,903,5706,1207,2984,810,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,86162,6116,43713,3611,5489,1138,9765,1758,17869,2517,10590,1507,42449,3390,6136,1298,7794,1440,16313,1907,12206,1920,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,26633,2698,12555,1694,2135,758,4176,1075,3435,852,2809,885,14078,1704,1539,590,4349,1012,4877,1101,3313,804,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,779802,13689,377254,9246,52310,3534,75167,4672,136701,5744,113076,5452,402548,9039,51171,4001,70598,3971,150586,6092,130193,4705,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,80197,4816,38623,3118,3930,993,9086,1646,13244,1697,12363,1469,41574,3148,4127,1024,8847,1352,15806,1870,12794,1956,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,39775,3474,19462,2226,1737,683,6282,1500,5081,1139,6362,1400,20313,2270,2803,936,4667,1002,6400,1185,6443,1278,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,6198,1289,2616,921,511,412,888,483,847,477,370,257,3582,890,321,198,823,576,1466,483,972,493,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,8217,1425,3436,771,145,162,154,135,641,412,2496,583,4781,1078,301,248,166,142,599,361,3715,909,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,197454,9983,94634,6045,14318,2163,23063,2739,32218,3158,25035,3021,102820,6441,12554,2099,22883,2633,38470,3943,28913,2926,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
