GEO_ID,B28009G_001E,B28009G_001M,B28009G_002E,B28009G_002M,B28009G_003E,B28009G_003M,B28009G_004E,B28009G_004M,B28009G_005E,B28009G_005M,B28009G_006E,B28009G_006M,NAME,B28009G_001MA,B28009G_001EA,B28009G_002MA,B28009G_002EA,B28009G_003MA,B28009G_003EA,B28009G_004EA,B28009G_004MA,B28009G_005EA,B28009G_005MA,B28009G_006EA,B28009G_006MA,state
0400000US01,83443,6385,76205,6305,154,179,62805,6195,13246,2777,7238,1740,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60647,4300,58749,4333,47,69,54320,4335,4382,1343,1898,933,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,219039,11028,205345,9990,635,624,177792,8580,26918,4827,13694,2964,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,63613,5716,57789,5489,390,350,45797,4296,11602,3277,5824,1466,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1729381,28295,1670162,28995,6581,1543,1549768,28266,113813,8726,59219,6758,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,178458,9569,170703,8993,1579,1044,155957,9063,13167,2826,7755,2245,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,98276,7569,93255,7200,242,210,81553,6727,11460,3258,5021,2120,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,23409,3228,22049,3028,82,141,18551,2979,3416,1179,1360,1041,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15298,2525,14562,2572,0,198,13849,2459,713,417,736,519,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,463606,19850,433161,18936,1789,798,389368,17780,42004,6298,30445,5295,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,198200,11234,187353,11007,204,177,161771,9924,25378,4507,10847,2372,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,323226,10692,304175,10553,1180,517,277818,10621,25177,4801,19051,3010,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,39571,4151,37647,3996,160,194,31782,3874,5705,2072,1924,750,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,284206,11395,266707,11227,1584,886,237393,10920,27730,4449,17499,2995,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,141654,6743,131351,7089,624,621,112236,6820,18491,3352,10303,1881,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,58206,4519,54456,4647,501,362,47261,4554,6694,2031,3750,1153,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
