GEO_ID,B17026_001E,B17026_001M,B17026_002E,B17026_002M,B17026_003E,B17026_003M,B17026_004E,B17026_004M,B17026_005E,B17026_005M,B17026_006E,B17026_006M,B17026_007E,B17026_007M,B17026_008E,B17026_008M,B17026_009E,B17026_009M,B17026_010E,B17026_010M,B17026_011E,B17026_011M,B17026_012E,B17026_012M,B17026_013E,B17026_013M,NAME,B17026_001EA,B17026_001MA,B17026_002MA,B17026_002EA,B17026_003EA,B17026_003MA,B17026_004EA,B17026_004MA,B17026_005MA,B17026_005EA,B17026_006EA,B17026_006MA,B17026_007EA,B17026_007MA,B17026_008MA,B17026_008EA,B17026_009MA,B17026_009EA,B17026_010EA,B17026_010MA,B17026_011EA,B17026_011MA,B17026_012EA,B17026_012MA,B17026_013MA,B17026_013EA,state
0400000US01,1232515,11755,76823,5149,52316,3394,55702,3739,59605,4748,57440,3756,56976,4001,22100,2432,35350,2838,215042,7629,171862,6327,128477,4918,300822,6742,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,5286,1053,3771,956,3942,917,4495,971,5662,913,5226,832,1661,526,3086,724,22105,1961,22042,2259,19167,1790,68572,2864,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,90473,4549,58965,3710,59563,4034,69988,4407,62022,4350,70843,4286,29991,2521,43989,3129,267268,7641,221428,7780,165900,5963,439051,8930,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,39931,3120,31266,2685,32941,2985,38895,3504,40425,2596,40541,2774,15495,2060,24812,2637,139867,4900,112243,5170,73252,3862,162544,5996,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,407803,9627,307366,7535,352250,9271,378217,8941,403985,11441,379824,8873,141382,6090,212972,8638,1279638,17677,1043875,15659,827805,12352,3026942,21543,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,42818,3371,28834,2794,33908,2958,44537,3829,45913,3881,48522,3468,18463,2129,30340,2320,199586,6249,176605,5796,154255,5238,491502,9110,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,27604,2994,18213,2516,21132,2487,22089,2504,21973,2472,27056,2843,10991,1907,17302,1917,98453,4411,106662,5227,102275,3795,413513,7333,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,8327,1466,5673,1403,5733,1034,6745,1539,7409,1291,8994,1516,3161,901,5148,1167,34872,2589,35657,2325,27866,2249,83415,3838,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,7571,1423,5027,1108,4109,1164,3265,857,5528,1274,3060,756,1011,527,3061,933,11059,1301,10470,1514,8896,1414,54807,2749,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,223028,8523,160859,7335,179874,8405,205377,8857,229144,8307,226900,7483,81381,5231,132944,5540,825419,14576,668596,13942,486928,11192,1272961,15570,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
