GEO_ID,C25093_001E,C25093_001M,C25093_002E,C25093_002M,C25093_003E,C25093_003M,C25093_004E,C25093_004M,C25093_005E,C25093_005M,C25093_006E,C25093_006M,C25093_007E,C25093_007M,C25093_008E,C25093_008M,C25093_009E,C25093_009M,C25093_010E,C25093_010M,C25093_011E,C25093_011M,C25093_012E,C25093_012M,C25093_013E,C25093_013M,C25093_014E,C25093_014M,C25093_015E,C25093_015M,C25093_016E,C25093_016M,C25093_017E,C25093_017M,NAME,C25093_001MA,C25093_001EA,C25093_002MA,C25093_002EA,C25093_003EA,C25093_003MA,C25093_004EA,C25093_004MA,C25093_005EA,C25093_005MA,C25093_006MA,C25093_006EA,C25093_007MA,C25093_007EA,C25093_008EA,C25093_008MA,C25093_009EA,C25093_009MA,C25093_010EA,C25093_010MA,C25093_011EA,C25093_011MA,C25093_012MA,C25093_012EA,C25093_013EA,C25093_013MA,C25093_014EA,C25093_014MA,C25093_015EA,C25093_015MA,C25093_016EA,C25093_016MA,C25093_017MA,C25093_017EA,state
0400000US01,1246080,12085,12754,1851,9035,1531,3619,951,100,106,110975,4848,87476,4179,22044,2605,1455,523,728646,9263,566550,9844,153249,5421,8847,1272,393705,4417,300836,4565,89275,3656,3594,887,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,156006,4250,1458,699,462,247,996,675,0,145,18018,1759,12603,1611,5291,860,124,173,102705,3140,80329,2998,22134,1977,242,159,33825,1603,27644,1444,6081,983,100,72,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1484857,11801,12031,1686,7933,1384,3660,882,438,302,131338,5385,100288,5181,29302,2625,1748,684,818062,9450,625999,8722,180807,6443,11256,1520,523426,5760,391922,5638,125952,4370,5552,964,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,744318,10448,8566,1434,6088,1113,2355,929,123,145,73393,3812,60022,3577,13066,1765,305,380,423406,6799,342153,7090,77243,3685,4010,1028,238953,4846,190288,4537,46970,2599,1695,585,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,6855688,27608,33982,2528,16499,1646,15804,1870,1679,512,512702,10434,332343,8446,176563,7387,3796,1018,4246294,23382,2794880,21561,1417490,16915,33924,3197,2062710,11805,1384523,12039,665869,9056,12318,1524,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1302533,10820,11018,1671,6634,1369,4244,983,140,126,135612,4705,104597,4422,29991,2151,1024,500,822174,8262,625533,8829,191887,5796,4754,1215,333729,4360,244733,4496,87123,3013,1873,697,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,900039,8072,2501,713,1409,530,1092,501,0,197,59825,3515,42503,2770,16819,2275,503,367,579127,6354,416346,6448,159739,4621,3042,834,258586,4661,157300,3633,99351,3249,1935,550,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,245808,4425,2210,761,993,558,1217,542,0,185,20698,1797,15337,1689,5318,1064,43,70,144501,3639,105765,4069,36703,2817,2033,794,78399,2121,58598,1996,19416,1928,385,286,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,112492,3641,476,289,188,142,224,209,64,106,13635,1427,10550,1235,2962,774,123,198,65957,3105,50039,2762,15210,1650,708,516,32424,1805,23534,1547,8633,1114,257,176,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693821,26616,26240,2293,14852,1740,10552,1834,836,372,290504,8188,212954,7235,73985,4960,3565,1184,2552017,23818,1793254,22009,718368,14105,40395,4134,1825060,12485,1286559,12601,514773,9979,23728,2653,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
