GEO_ID,B24082_001E,B24082_001M,B24082_002E,B24082_002M,B24082_003E,B24082_003M,B24082_004E,B24082_004M,B24082_005E,B24082_005M,B24082_006E,B24082_006M,B24082_007E,B24082_007M,B24082_008E,B24082_008M,B24082_009E,B24082_009M,B24082_010E,B24082_010M,B24082_011E,B24082_011M,B24082_012E,B24082_012M,B24082_013E,B24082_013M,B24082_014E,B24082_014M,B24082_015E,B24082_015M,B24082_016E,B24082_016M,B24082_017E,B24082_017M,B24082_018E,B24082_018M,NAME,B24082_001EA,B24082_001MA,B24082_002MA,B24082_002EA,B24082_003MA,B24082_003EA,B24082_004EA,B24082_004MA,B24082_005EA,B24082_005MA,B24082_006EA,B24082_006MA,B24082_007EA,B24082_007MA,B24082_008MA,B24082_008EA,B24082_009EA,B24082_009MA,B24082_010EA,B24082_010MA,B24082_011EA,B24082_011MA,B24082_012EA,B24082_012MA,B24082_013MA,B24082_013EA,B24082_014MA,B24082_014EA,B24082_015EA,B24082_015MA,B24082_016EA,B24082_016MA,B24082_017EA,B24082_017MA,B24082_018EA,B24082_018MA,state
0400000US01,36287,486,35512,599,34684,1155,54844,6870,37810,4114,40010,1957,44202,3174,67180,4078,23052,2926,24379,460,22298,301,22179,296,30566,2500,25465,1648,31119,1315,38693,2839,51193,2974,12244,891,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,50591,1291,48141,3139,46363,2945,70672,17998,50334,8506,58885,7147,61654,3649,61003,4111,33326,6609,35300,1113,30420,1179,30286,1330,35839,20336,41564,2073,41329,5523,49572,4607,47368,4629,21318,1548,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,36071,401,35332,457,34069,1098,56136,5065,37354,2609,43134,2204,42699,2300,61037,1488,22442,1634,28083,665,26252,465,26031,472,36655,6437,32765,2031,35096,1187,35734,745,49025,3911,15875,1197,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,33225,1296,32804,1339,32309,728,42165,5205,38612,3522,34731,3140,37074,2218,54569,3917,25276,2386,23797,620,21626,447,21536,471,26468,5998,29301,1755,28835,2590,33812,2097,45575,6204,15241,2960,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,39806,398,37072,207,36231,214,66009,1990,42448,1329,61196,615,60684,828,59230,1773,30719,359,30033,194,26941,200,26659,192,41250,922,39232,1121,40935,622,41228,768,53160,1426,18202,758,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,41664,284,41033,373,40434,388,52239,2775,46557,2098,48083,1817,47133,2183,64978,4020,30600,876,31097,276,30015,635,29544,887,35461,3665,36474,1052,37175,1496,40680,1142,53843,3930,16119,991,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,50240,462,48191,1747,46754,912,67147,8235,47643,4526,61678,1617,61758,1875,58956,3911,41696,2371,35535,603,32276,502,32103,468,41922,2950,40565,1156,45785,1974,51606,1295,54633,7346,22189,2030,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,41885,968,40719,985,40149,2098,57510,8478,49356,4155,53278,4367,50872,3313,61316,6669,31843,3571,32394,1292,30204,1526,30046,1790,39316,11923,36658,1950,37148,9578,41988,3239,46731,12110,18704,3168,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,57826,3513,46831,4679,45107,3948,65076,10481,57430,3804,60074,11802,51863,2890,92475,7178,43265,19856,48297,2620,38464,4073,38575,3929,36808,12339,49074,3571,42631,3944,46163,8839,82354,6105,27412,11085,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,32350,210,31555,207,30908,217,45095,2107,35807,930,45786,1042,41439,699,59824,2432,22110,521,26356,172,25075,226,24814,340,30638,866,31701,546,36707,645,35829,902,50025,1897,14672,741,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,36633,351,35944,376,35188,446,51167,1338,40301,1803,38895,1554,40831,1204,55540,1937,26116,1619,27263,286,25645,307,25481,316,31458,1560,33443,1880,35159,1357,35880,1334,50265,2001,15667,868,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,40193,645,36815,791,36165,850,61883,9266,38106,4238,51470,2175,46588,1760,61641,2040,25377,5572,31251,388,28417,1712,28103,1646,37997,11754,40216,1603,41126,4333,37247,1786,55066,3790,21303,1361,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
