B27009_042M,B27009_043E,B27009_043M,B27009_044E,B27009_044M,B27009_045E,B27009_045M,B27009_046E,B27009_046M,B27009_047E,B27009_047M,B27009_048E,B27009_048M,B27009_049E,B27009_049M,B27009_050E,B27009_050M,B27009_051E,B27009_051M,B27009_052E,B27009_052M,B27009_053E,B27009_053M,B27009_054E,B27009_054M,B27009_055E,B27009_055M,B27009_056E,B27009_056M,B27009_057E,B27009_057M,GEO_ID,B27009_001E,B27009_001M,B27009_002E,B27009_002M,B27009_003E,B27009_003M,B27009_004E,B27009_004M,B27009_005E,B27009_005M,B27009_006E,B27009_006M,B27009_007E,B27009_007M,B27009_008E,B27009_008M,B27009_009E,B27009_009M,B27009_010E,B27009_010M,B27009_011E,B27009_011M,B27009_012E,B27009_012M,B27009_013E,B27009_013M,B27009_014E,B27009_014M,B27009_015E,B27009_015M,B27009_016E,B27009_016M,B27009_017E,B27009_017M,B27009_018E,B27009_018M,B27009_019E,B27009_019M,B27009_020E,B27009_020M,B27009_021E,B27009_021M,B27009_022E,B27009_022M,B27009_023E,B27009_023M,B27009_024E,B27009_024M,B27009_025E,B27009_025M,B27009_026E,B27009_026M,B27009_027E,B27009_027M,B27009_028E,B27009_028M,B27009_029E,B27009_029M,B27009_030E,B27009_030M,B27009_031E,B27009_031M,B27009_032E,B27009_032M,B27009_033E,B27009_033M,B27009_034E,B27009_034M,B27009_035E,B27009_035M,B27009_036E,B27009_036M,B27009_037E,B27009_037M,B27009_038E,B27009_038M,B27009_039E,B27009_039M,B27009_040E,B27009_040M,B27009_041E,B27009_041M,B27009_042E,B27009_042MA,B27009_043MA,B27009_043EA,B27009_044EA,B27009_044MA,B27009_045EA,B27009_045MA,B27009_046EA,B27009_046MA,B27009_047EA,B27009_047MA,B27009_048MA,B27009_048EA,B27009_049EA,B27009_049MA,B27009_050EA,B27009_050MA,B27009_051EA,B27009_051MA,B27009_052EA,B27009_052MA,B27009_053EA,B27009_053MA,B27009_054MA,B27009_054EA,B27009_055MA,B27009_055EA,B27009_056EA,B27009_056MA,B27009_057EA,B27009_057MA,NAME,B27009_001EA,B27009_001MA,B27009_002EA,B27009_002MA,B27009_003EA,B27009_003MA,B27009_004MA,B27009_004EA,B27009_005MA,B27009_005EA,B27009_006MA,B27009_006EA,B27009_007EA,B27009_007MA,B27009_008EA,B27009_008MA,B27009_009EA,B27009_009MA,B27009_010MA,B27009_010EA,B27009_011MA,B27009_011EA,B27009_012MA,B27009_012EA,B27009_013EA,B27009_013MA,B27009_014EA,B27009_014MA,B27009_015MA,B27009_015EA,B27009_016MA,B27009_016EA,B27009_017MA,B27009_017EA,B27009_018EA,B27009_018MA,B27009_019EA,B27009_019MA,B27009_020EA,B27009_020MA,B27009_021MA,B27009_021EA,B27009_022MA,B27009_022EA,B27009_023EA,B27009_023MA,B27009_024EA,B27009_024MA,B27009_025EA,B27009_025MA,B27009_026MA,B27009_026EA,B27009_027MA,B27009_027EA,B27009_028EA,B27009_028MA,B27009_029EA,B27009_029MA,B27009_030EA,B27009_030MA,B27009_031EA,B27009_031MA,B27009_032MA,B27009_032EA,B27009_033MA,B27009_033EA,B27009_034EA,B27009_034MA,B27009_035EA,B27009_035MA,B27009_036EA,B27009_036MA,B27009_037MA,B27009_037EA,B27009_038MA,B27009_038EA,B27009_039EA,B27009_039MA,B27009_040EA,B27009_040MA,B27009_041EA,B27009_041MA,B27009_042EA,state
3705,310113,3427,2174,751,307939,3582,335435,2972,2904,964,332531,2885,330587,2047,4495,914,326092,2201,231300,1755,3165,808,228135,1972,176789,2021,4060,705,172729,2090,0400000US01,4767383,1932,2289780,5872,180774,4077,0,189,180774,4077,384145,5137,797,656,383348,5206,236975,3747,759,425,236216,3806,283658,3829,5663,1236,277995,4333,286297,3968,6627,1226,279670,4296,306272,3089,13768,1644,292504,3229,294579,2244,23619,2172,270960,3118,198963,1759,32204,2234,166759,2417,118117,1636,22975,1973,95142,2387,2477603,5606,169526,3889,265,233,169261,3886,372402,3993,343,317,372059,4010,237408,2932,384,318,237024,2935,314043,3628,1495,574,312548,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1184,44358,1287,898,398,43460,1350,46606,1051,1332,532,45274,1091,43422,809,1468,731,41954,970,21957,744,448,293,21509,772,13161,879,393,342,12768,844,0400000US02,711541,1618,363589,2580,32423,1370,0,145,32423,1370,62233,1864,105,130,62128,1866,40465,1856,1149,1127,39316,2062,54358,1880,1914,700,52444,1950,44478,1417,2456,905,42022,1621,48114,1213,3262,762,44852,1363,47618,1024,5139,1068,42479,1077,24071,848,5633,922,18438,1191,9829,792,2636,722,7193,555,347952,2104,31460,1477,11,19,31449,1476,60129,1523,36,42,60093,1524,35525,1115,199,181,35326,1136,51334,1190,625,360,50709,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
2451,415511,1840,2408,785,413103,2105,419256,1809,3825,850,415431,2034,416438,1148,4332,996,412106,1420,327287,1219,4293,806,322994,1394,243779,1187,4719,1131,239060,1380,0400000US04,6623074,1740,3251297,3166,268507,3684,24,40,268483,3689,557851,3937,156,166,557695,3941,328324,2112,2072,938,326252,2232,433332,2735,10263,1562,423069,2985,402628,2617,7997,1433,394631,2757,402312,1842,15700,1689,386612,2595,371403,1105,29169,2709,342234,2732,290746,1306,56053,3117,234693,3244,196194,1182,44378,2372,151816,2705,3371777,2888,257277,4264,112,133,257165,4279,536941,4347,398,276,536543,4362,325057,1774,414,365,324643,1729,430231,2181,2738,896,427493,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
2789,189151,3125,646,311,188505,3102,191610,2559,2384,892,189226,2576,190384,1758,3000,717,187384,1978,140624,1388,3703,1002,136921,1713,106010,1618,2646,723,103364,1728,0400000US05,2914376,756,1423412,4652,117821,3217,0,190,117821,3217,242570,4154,1087,737,241483,4192,144070,2721,530,309,143540,2703,181138,3435,4879,1332,176259,3466,176985,3031,3853,936,173132,3310,183655,2986,7780,1571,175875,3466,175477,1529,17357,1812,158120,2270,123712,1295,27810,2139,95902,2038,77984,1147,21400,1589,56584,1707,1490964,4568,110503,3533,82,143,110421,3519,232917,3816,579,535,232338,3852,142429,2631,282,229,142147,2624,187336,2819,1384,594,185952,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
4484,2579992,3236,8401,1466,2571591,3807,2622661,2760,9406,1389,2613255,2955,2327493,2433,13747,1541,2313746,2846,1505240,2282,10272,1297,1494968,2541,1223133,3000,13679,1590,1209454,3265,0400000US06,38297457,5321,18865494,8096,1534723,7474,952,486,1533771,7428,3123268,8050,2893,1023,3120375,8118,1978296,5187,6848,1396,1971448,5257,2827196,5223,44209,3680,2782987,5857,2522938,4351,33408,2704,2489530,4617,2554490,4652,50179,3105,2504311,5514,2155141,3297,92028,4150,2063113,5283,1306922,2480,146697,5410,1160225,5112,862520,2250,126600,4134,735920,4537,19431963,5973,1467115,7973,846,620,1466269,8028,3010027,8190,1007,438,3009020,8315,1921375,3951,3301,1110,1918074,4108,2774927,4420,10718,1621,2764209,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
3065,351031,2779,2609,1220,348422,2830,354361,2075,2820,689,351541,2017,341816,1772,4186,977,337630,1815,211970,1323,2408,623,209562,1505,148977,1527,2436,670,146541,1734,0400000US08,5266022,2396,2622411,4609,210906,2966,372,418,210534,2996,429394,3727,591,628,428803,3684,259382,2647,1839,775,257543,2773,390134,3608,9223,1481,380911,3960,359282,3288,9137,1352,350145,3683,346712,2190,10299,1751,336413,2779,323268,1491,21035,1989,302233,2369,194508,1262,27956,1812,166552,2121,108825,1411,19386,1896,89439,2050,2643611,4048,194507,3246,441,465,194066,3244,410625,3639,643,587,409982,3706,247086,2691,696,467,246390,2650,383238,2893,2387,845,380851,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1667,224785,1589,463,303,224322,1624,282561,1633,954,473,281607,1681,249918,1064,1363,694,248555,1375,160164,1044,1445,501,158719,1182,140417,1349,1674,517,138743,1453,0400000US09,3541282,1220,1719425,2334,115676,2586,45,76,115631,2582,279327,2541,88,150,279239,2545,173367,1791,451,265,172916,1809,212101,1617,2891,808,209210,1749,210090,1825,2451,958,207639,2124,261921,1554,3646,840,258275,1913,233999,1137,7222,1307,226777,1774,139843,1204,15213,1442,124630,1677,93101,1077,18464,1718,74637,2027,1821857,2336,112679,2265,57,97,112622,2282,266339,2382,275,297,266064,2417,168282,1264,25,44,168257,1270,216712,1620,776,459,215936,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
679,57015,580,243,243,56772,591,67073,433,196,207,66877,500,65816,371,377,217,65439,437,48575,574,994,722,47581,876,33718,629,151,135,33567,625,0400000US10,920930,554,443623,1227,35151,1445,93,163,35058,1443,68880,1428,36,58,68844,1427,45311,920,147,151,45164,927,56241,1044,1483,871,54758,1289,53003,845,1027,494,51976,960,59890,764,1545,619,58345,1065,57714,703,3672,975,54042,1184,42168,722,4622,831,37546,1104,25265,592,3353,748,21912,870,477307,1167,33712,1742,0,185,33712,1742,65671,1687,33,55,65638,1683,44142,560,65,107,44077,581,61585,644,106,176,61479,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
614,46711,418,44,73,46667,425,38138,417,172,149,37966,442,36545,111,471,344,36074,350,23506,374,184,163,23322,429,19395,786,716,481,18679,900,0400000US11,647966,509,303791,1024,24896,1047,0,198,24896,1047,33244,929,0,198,33244,929,35239,626,36,85,35203,641,67685,799,570,382,67115,799,44704,597,814,497,43890,798,37427,574,1173,656,36254,847,31517,551,2459,765,29058,887,17491,595,1911,558,15580,824,11588,605,1757,514,9831,705,344175,1099,23199,931,0,198,23199,931,33495,790,0,198,33495,790,43151,234,290,323,42861,409,80035,574,124,146,79911,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
4379,1220794,4397,6969,1270,1213825,4875,1386343,4042,11604,1738,1374739,4510,1356354,3196,14107,1572,1342247,3559,1104083,2558,11928,1595,1092155,3167,942155,3022,15080,2037,927075,3103,0400000US12,19583357,3419,9490859,7749,658309,7707,458,311,657851,7730,1407695,8329,1188,474,1406507,8412,881522,5664,3384,1074,878138,5750,1204467,5776,27255,3193,1177212,6829,1157330,5436,24969,3033,1132361,5758,1307942,5082,51443,4091,1256499,6909,1196333,3719,88944,4381,1107389,5595,961376,3422,150040,5334,811336,6192,715885,3430,152659,5496,563226,6428,10092498,7609,636937,7877,863,542,636074,7810,1343209,7478,1569,735,1341640,7602,867094,3935,2276,859,864818,4145,1235529,4615,5988,1570,1229541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
