GEO_ID,C15002B_001E,C15002B_001M,C15002B_002E,C15002B_002M,C15002B_003E,C15002B_003M,C15002B_004E,C15002B_004M,C15002B_005E,C15002B_005M,C15002B_006E,C15002B_006M,C15002B_007E,C15002B_007M,C15002B_008E,C15002B_008M,C15002B_009E,C15002B_009M,C15002B_010E,C15002B_010M,C15002B_011E,C15002B_011M,NAME,C15002B_001MA,C15002B_001EA,C15002B_002EA,C15002B_002MA,C15002B_003MA,C15002B_003EA,C15002B_004EA,C15002B_004MA,C15002B_005EA,C15002B_005MA,C15002B_006MA,C15002B_006EA,C15002B_007EA,C15002B_007MA,C15002B_008MA,C15002B_008EA,C15002B_009MA,C15002B_009EA,C15002B_010EA,C15002B_010MA,C15002B_011EA,C15002B_011MA,state
0400000US01,803651,4121,357056,3092,77513,4243,135425,5242,100016,4624,44102,3619,446595,2779,78581,3593,138713,5315,147841,5353,81460,4998,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15075,1349,8714,1356,622,369,3618,1063,3400,832,1074,626,6361,864,936,586,2228,821,1744,663,1453,556,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,172012,2586,89607,1968,10002,1667,24452,2790,34514,2731,20639,2352,82405,1687,8236,1423,17152,2340,35487,2527,21530,2387,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,276933,3357,126456,2326,21228,1994,54640,3047,35003,3085,15585,1961,150477,1979,25703,2019,46843,3195,51610,3387,26321,2774,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1484683,8788,718174,5776,88093,3975,189403,6885,287804,7826,152874,6027,766509,5548,72692,3951,168950,6319,340339,8240,184528,5820,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,133513,2480,71721,2024,6642,1419,21298,2242,29476,2561,14305,1851,61792,1856,6341,1211,14529,1803,24304,1976,16618,2155,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,231444,3932,105681,2439,16644,1994,38483,2638,29989,2502,20565,2342,125763,2466,16468,1793,38757,2739,41802,2733,28736,2960,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,128116,1427,57971,795,8415,1392,20842,1920,18093,2060,10621,1595,70145,1026,8540,1450,19859,2046,23136,2444,18610,2236,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,216029,1989,94039,1098,13699,1573,34879,2882,24407,2270,21054,2221,121990,1305,15240,1757,37466,2242,36144,2627,33140,2443,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1972278,9195,912066,5568,181779,6814,331387,10303,260945,9297,137955,5924,1060212,6027,187479,7604,326856,8987,347309,7947,198568,6804,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
