GEO_ID,C17001I_001E,C17001I_001M,C17001I_002E,C17001I_002M,C17001I_003E,C17001I_003M,C17001I_004E,C17001I_004M,C17001I_005E,C17001I_005M,C17001I_006E,C17001I_006M,C17001I_007E,C17001I_007M,C17001I_008E,C17001I_008M,C17001I_009E,C17001I_009M,C17001I_010E,C17001I_010M,C17001I_011E,C17001I_011M,C17001I_012E,C17001I_012M,C17001I_013E,C17001I_013M,C17001I_014E,C17001I_014M,C17001I_015E,C17001I_015M,C17001I_016E,C17001I_016M,C17001I_017E,C17001I_017M,C17001I_018E,C17001I_018M,C17001I_019E,C17001I_019M,NAME,C17001I_001EA,C17001I_001MA,C17001I_002EA,C17001I_002MA,C17001I_003EA,C17001I_003MA,C17001I_004MA,C17001I_004EA,C17001I_005MA,C17001I_005EA,C17001I_006MA,C17001I_006EA,C17001I_007EA,C17001I_007MA,C17001I_008EA,C17001I_008MA,C17001I_009EA,C17001I_009MA,C17001I_010MA,C17001I_010EA,C17001I_011MA,C17001I_011EA,C17001I_012EA,C17001I_012MA,C17001I_013EA,C17001I_013MA,C17001I_014EA,C17001I_014MA,C17001I_015MA,C17001I_015EA,C17001I_016MA,C17001I_016EA,C17001I_017MA,C17001I_017EA,C17001I_018EA,C17001I_018MA,C17001I_019EA,C17001I_019MA,state
0400000US01,188508,2075,66963,7300,32568,3843,16966,2155,15227,2362,375,354,34395,4488,16808,2417,17152,2672,435,273,121545,7139,68583,3818,21296,2399,44536,2714,2751,915,52962,4759,16769,2786,32411,2819,3782,1148,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,47562,521,5423,2034,1486,683,699,422,787,421,0,145,3937,1738,1747,991,2186,924,4,9,42139,2001,22768,1188,7341,777,14438,735,989,527,19371,1848,6741,1185,11462,966,1168,376,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2002533,3932,552376,22454,254371,12544,123661,6863,120518,7927,10192,1357,298005,12210,118940,6024,163500,7945,15565,1634,1450157,22367,735206,12894,227109,6955,463076,8177,45021,1642,714951,12085,221226,5911,439714,7968,54011,1683,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,201798,1628,63229,6322,28762,3588,14771,2317,13432,2194,559,376,34467,3833,15832,2013,17599,2321,1036,510,138569,5972,76438,3628,25133,2401,48418,2303,2887,888,62131,3348,23197,1836,36696,2298,2238,651,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14732738,7252,3362954,48532,1550033,26084,730959,16257,759765,14462,59309,3665,1812921,27708,702523,13790,1017322,17803,93076,4896,11369784,49094,5817313,27066,1644292,16959,3833566,15060,339455,3893,5552471,27721,1597309,13775,3517839,18083,437323,5174,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1108127,2485,230598,13979,102051,6770,50179,4212,48146,3918,3726,757,128547,8867,52800,5180,69120,4626,6627,1157,877529,13878,456880,7307,145791,4647,284937,4337,26152,1072,420649,9051,134128,5364,256313,4684,30208,1186,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,526504,1851,139418,10931,63451,5260,30422,3326,29957,3028,3072,819,75967,6703,25981,3630,44744,3606,5242,847,387086,11179,199064,5664,55231,3455,134497,3159,9336,984,188022,6757,57444,3785,119789,3725,10789,1005,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,81402,770,17583,3317,8550,1875,4967,1223,3441,1087,142,175,9033,2179,4267,1537,4689,1001,77,83,63819,3251,33579,2006,10140,1375,21864,1126,1575,318,30240,2197,9617,1580,19274,1017,1349,221,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,65758,997,11124,3150,5010,1848,1686,944,2878,1085,446,523,6114,1778,1981,1186,3737,1028,396,233,54634,3219,29025,1829,6556,936,21578,1099,891,569,25609,1880,6335,1205,17511,1151,1763,233,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4720107,4007,1025159,28063,463107,16527,174002,7946,250457,11029,38648,2847,562052,16265,172353,7190,322641,11029,67058,3862,3694948,28654,1859793,17153,428722,8443,1251335,11324,179736,3270,1835155,16272,400705,7476,1195435,11022,239015,4014,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,898680,3125,264948,17895,125239,9879,70190,6177,54045,5025,1004,474,139709,9231,66133,4841,71259,5419,2317,693,633732,18083,339511,10810,101608,6179,228143,5946,9760,1224,294221,9664,97055,5661,184381,5519,12785,1426,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,137637,1485,18292,3029,9595,1874,3511,1039,5557,1258,527,301,8697,1759,3528,973,4953,1109,216,112,119345,3283,60668,2084,23065,1217,35183,1601,2420,384,58677,1991,21613,1183,33660,1222,3404,297,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,192570,1218,48720,5806,22383,3143,12754,2067,8861,1660,768,426,26337,3529,12055,2035,13461,1907,821,508,143850,6134,75544,3786,27004,2728,45160,1846,3380,779,68306,3595,25254,2191,39677,2217,3375,808,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2116667,3631,422138,18460,191319,9887,97302,6808,88395,5190,5622,1140,230819,10910,96607,6540,125388,6146,8824,1583,1694529,18595,889201,9992,266864,6323,579524,5683,42813,1540,805328,11455,254735,6826,500587,6472,50006,1743,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,414011,2168,118770,9883,55696,5310,30253,3377,24909,3071,534,381,63074,6104,27565,3263,33977,3601,1532,624,295241,9836,155200,5780,52409,3601,96295,3549,6496,580,140041,6452,50515,3835,81841,3780,7685,979,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,165937,1423,35352,4839,17017,2802,8686,1823,8204,1420,127,139,18335,2478,8507,1546,9533,1491,295,158,130585,4912,69909,3361,26761,2250,41010,1947,2138,499,60676,3007,23216,1971,34740,1633,2720,736,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,322293,1319,83151,6994,39211,4068,21035,2793,17254,2294,922,360,43940,4254,20698,2352,21688,2650,1554,700,239142,7307,124676,4395,44371,2998,75622,2667,4683,847,114466,4392,43066,2463,64798,2715,6602,908,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,139957,2336,43734,4698,21944,2785,12241,1803,9465,1657,238,211,21790,2482,10485,1709,10871,1447,434,305,96223,4837,53697,3335,16816,2164,35500,2028,1381,469,42526,2830,16356,1713,23836,1793,2334,744,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,215920,1846,49656,6043,24257,3392,10528,2202,13177,2251,552,326,25399,3530,10470,2429,13894,1730,1035,512,166264,6353,92152,4669,23538,2784,63171,2838,5443,742,74112,3268,20517,2262,47500,2367,6095,819,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,18809,768,3348,989,1435,690,455,258,962,590,18,38,1913,709,516,323,1272,553,125,133,15461,1204,7633,959,1954,439,5204,865,475,295,7828,1225,2708,724,4786,876,334,242,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,546126,2118,77651,8710,34415,4949,13141,2487,20408,3719,866,434,43236,4923,15282,2970,26307,2943,1647,595,468475,9417,249701,5321,78055,2878,162612,3903,9034,888,218774,5361,69844,3527,136404,2961,12526,962,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,705226,2297,215763,10910,95541,5223,41973,3460,48978,3267,4590,1033,120222,7056,44812,3292,66440,4438,8970,1167,489463,11211,251215,5882,74399,3930,166368,3685,10448,1100,238248,7269,66717,3331,158624,4697,12907,1243,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,463489,1516,115309,8588,55957,4637,28271,2986,25951,2483,1735,608,59352,5148,27354,2953,30947,2917,1051,363,348180,8425,177942,4568,59426,3134,109424,2467,9092,892,170238,5189,58114,2898,99875,3168,12249,823,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,268978,1319,62401,6596,27400,3325,14378,2047,12630,1946,392,247,35001,4058,16265,2462,17942,2277,794,348,206577,6934,112996,3876,42428,2420,67695,2368,2873,576,93581,4051,34007,2481,56058,2303,3516,650,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
