GEO_ID,B20001_001E,B20001_001M,B20001_002E,B20001_002M,B20001_003E,B20001_003M,B20001_004E,B20001_004M,B20001_005E,B20001_005M,B20001_006E,B20001_006M,B20001_007E,B20001_007M,B20001_008E,B20001_008M,B20001_009E,B20001_009M,B20001_010E,B20001_010M,B20001_011E,B20001_011M,B20001_012E,B20001_012M,B20001_013E,B20001_013M,B20001_014E,B20001_014M,B20001_015E,B20001_015M,B20001_016E,B20001_016M,B20001_017E,B20001_017M,B20001_018E,B20001_018M,B20001_019E,B20001_019M,B20001_020E,B20001_020M,B20001_021E,B20001_021M,B20001_022E,B20001_022M,B20001_023E,B20001_023M,B20001_024E,B20001_024M,B20001_025E,B20001_025M,B20001_026E,B20001_026M,B20001_027E,B20001_027M,B20001_028E,B20001_028M,B20001_029E,B20001_029M,B20001_030E,B20001_030M,B20001_031E,B20001_031M,B20001_032E,B20001_032M,B20001_033E,B20001_033M,B20001_034E,B20001_034M,B20001_035E,B20001_035M,B20001_036E,B20001_036M,B20001_037E,B20001_037M,B20001_038E,B20001_038M,B20001_039E,B20001_039M,B20001_040E,B20001_040M,B20001_041E,B20001_041M,B20001_042E,B20001_042M,B20001_043E,B20001_043M,NAME,B20001_001MA,B20001_001EA,B20001_002MA,B20001_002EA,B20001_003EA,B20001_003MA,B20001_004EA,B20001_004MA,B20001_005MA,B20001_005EA,B20001_006MA,B20001_006EA,B20001_007MA,B20001_007EA,B20001_008MA,B20001_008EA,B20001_009EA,B20001_009MA,B20001_010EA,B20001_010MA,B20001_011MA,B20001_011EA,B20001_012MA,B20001_012EA,B20001_013MA,B20001_013EA,B20001_014EA,B20001_014MA,B20001_015EA,B20001_015MA,B20001_016EA,B20001_016MA,B20001_017MA,B20001_017EA,B20001_018MA,B20001_018EA,B20001_019MA,B20001_019EA,B20001_020MA,B20001_020EA,B20001_021EA,B20001_021MA,B20001_022MA,B20001_022EA,B20001_023MA,B20001_023EA,B20001_024MA,B20001_024EA,B20001_025MA,B20001_025EA,B20001_026EA,B20001_026MA,B20001_027EA,B20001_027MA,B20001_028MA,B20001_028EA,B20001_029MA,B20001_029EA,B20001_030EA,B20001_030MA,B20001_031EA,B20001_031MA,B20001_032EA,B20001_032MA,B20001_033MA,B20001_033EA,B20001_034MA,B20001_034EA,B20001_035MA,B20001_035EA,B20001_036EA,B20001_036MA,B20001_037EA,B20001_037MA,B20001_038EA,B20001_038MA,B20001_039MA,B20001_039EA,B20001_040MA,B20001_040EA,B20001_041MA,B20001_041EA,B20001_042EA,B20001_042MA,B20001_043EA,B20001_043MA,state
0400000US01,2291699,13593,1199733,8878,72750,4411,45135,3661,43607,3550,34385,3178,57516,4688,31641,2550,45543,3798,31930,2965,63072,4511,30596,3071,79770,5523,87725,5286,63443,4640,64776,4065,51928,3744,61136,4137,78667,4467,51762,3636,91074,4823,113277,4694,1091966,9474,90397,4508,58069,3881,64435,3989,46118,3180,72876,4462,48232,3700,67600,4393,42996,3392,76271,5150,39059,3348,81819,4498,71518,4616,60519,3819,56770,3798,42470,3158,40057,3338,44200,4039,31475,2885,32771,2520,24314,2236,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,424923,4472,239575,3160,11855,1634,8573,1201,7062,989,4397,849,8679,1473,3193,975,8317,1695,5634,1076,9234,1539,6301,1096,11954,1815,14196,1657,10646,1682,11776,1588,8800,1280,11111,1392,20853,2222,19081,2252,25644,2366,32269,2168,185348,3550,11879,1571,9410,1402,8701,1311,7793,1632,8426,1462,4357,978,8198,1372,4360,865,9411,1277,3719,775,13076,1858,12657,1589,11173,1489,9412,1264,8724,1325,8062,1231,13632,1902,9850,1168,13596,1624,8912,1467,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3224513,17370,1727569,10803,98534,5334,65928,5065,70272,4694,48464,3907,84891,5296,43630,3370,78261,5327,48364,4558,95249,5747,41503,3200,106448,5425,118854,5809,101337,5501,93535,5590,69394,4244,82826,4996,107240,5591,74651,5102,123320,5371,174868,6164,1496944,13042,119084,5569,79845,4322,85462,4959,62465,4585,95936,5383,49309,3629,78797,4794,47855,3207,76421,4295,42234,3751,100684,5233,124204,5919,91924,5386,87611,4995,54541,4364,58422,4138,67267,4374,48700,3255,67562,4157,58621,3226,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1409231,11997,744586,6989,40381,3544,27758,2607,25542,2147,19455,2428,37708,3686,22478,2671,29690,3048,20458,2323,45068,3835,23155,2228,57251,4259,59193,3819,47890,3533,43007,3516,31301,2472,40899,3183,45624,3519,29585,2332,44034,3251,54109,3359,664645,9246,57058,3831,38684,3160,36157,3006,28987,3130,44443,3842,27595,2578,41895,3757,29249,3241,42212,3413,25273,2895,53349,3705,47096,3990,38187,2994,33413,2768,23479,2503,22728,2850,28898,2810,15845,1940,16767,1818,13330,1985,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,19566697,36359,10572398,25521,490313,10687,331858,9193,397087,9421,298666,9135,495903,10277,283761,7699,470430,11222,315682,10125,537937,12286,291685,8552,608993,14613,635128,11964,496296,13736,497679,11069,384392,12428,477116,10454,594991,11488,493723,10432,871503,13487,1599255,16628,8994299,29560,613564,11275,443443,11388,503956,10758,380953,10931,594221,10194,312800,10082,449792,10239,282129,8999,460609,11864,262505,7759,512429,10717,534570,10982,414468,10193,428788,11295,316010,9483,356479,10355,465193,8817,376038,8099,609135,11163,677217,11979,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3029062,10563,1628333,8229,89400,4713,55910,3410,56767,3764,38058,3355,66060,4156,30289,2848,52110,4345,33753,2862,75614,4622,43713,3307,95104,5558,108457,5608,85950,4652,90358,4666,72124,3378,83483,4162,110007,4785,85671,4476,141540,4519,213965,6172,1400729,8100,106567,5162,75600,4952,68751,4082,54501,3398,77308,4921,42597,3755,64890,3909,43949,3519,66725,3674,41360,3467,84069,4179,100569,4897,86648,4738,81512,3932,60994,3653,61025,3059,78136,4087,58684,4219,75089,4281,71755,4114,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2001046,10392,1033981,7215,55287,3603,35072,2691,36108,2954,27018,2485,34243,3024,15957,1806,34010,3147,19753,2696,37597,2424,16729,2191,48176,3696,52686,4097,44415,3697,57270,4129,37701,3010,55541,3352,72071,3894,59613,3561,103136,4967,191598,5902,967065,7399,75034,3654,46521,3351,48163,3064,29819,2610,47062,3330,23118,2631,40479,3018,24245,2235,44339,2555,20668,2259,54437,3564,59958,4070,47338,3403,52892,3890,41734,3004,45362,3348,57084,3617,52664,3034,79700,4119,76448,4003,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,494290,5530,249144,3694,13968,1734,9036,1328,10762,1719,7685,1154,11098,1761,4273,1101,6688,1212,6485,1315,8638,1460,5721,1347,15762,2243,14990,2325,12855,1788,12350,2101,10935,1566,15592,1956,16988,2019,14190,1948,21983,2372,29145,2482,245146,4045,17894,2255,13052,1642,9869,1572,8927,1468,14274,2260,7666,1459,8751,1852,6840,1222,11177,1833,6005,1187,18248,1963,16358,2139,17743,2581,13243,1701,12748,1770,9867,1635,13816,1777,9726,1417,15566,2079,13376,1700,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,393589,5064,190095,3319,11227,1304,6200,1277,5742,1278,3235,941,4756,1210,1888,686,4434,1131,2999,1135,7531,1438,2984,1024,6784,1619,9684,1679,8473,1468,12000,2205,5992,1384,7955,1353,13386,1789,8899,1566,20948,2107,44978,2549,203494,3857,17021,2233,7935,1488,5972,1227,4906,1330,7838,1598,2984,874,5846,1196,2929,945,6955,1255,3521,837,10929,2061,11746,1799,7415,1166,9484,1441,7837,1481,8649,1548,13703,1524,11297,1526,21172,2058,35355,2389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,9657857,33724,5037238,23017,226842,8159,180274,8946,206829,8773,157224,7803,281339,8422,123554,7126,250210,11297,168300,6869,305527,10055,150657,6678,358626,11718,353958,12050,285143,9676,289023,10669,192617,8745,241756,9242,285256,10529,192455,7485,307600,9657,480048,11009,4620619,21941,268529,9331,212143,9045,243388,8894,193006,7899,327993,10935,187647,7998,282637,11659,175850,7749,284203,9534,152267,7405,373273,9927,362946,9570,271010,9191,263563,10106,171569,7324,174710,7736,205716,8163,139820,6344,174815,6740,155534,6746,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
