GEO_ID,B22002_001E,B22002_001M,B22002_002E,B22002_002M,B22002_003E,B22002_003M,B22002_004E,B22002_004M,B22002_005E,B22002_005M,B22002_006E,B22002_006M,B22002_007E,B22002_007M,B22002_008E,B22002_008M,B22002_009E,B22002_009M,B22002_010E,B22002_010M,B22002_011E,B22002_011M,B22002_012E,B22002_012M,B22002_013E,B22002_013M,B22002_014E,B22002_014M,B22002_015E,B22002_015M,B22002_016E,B22002_016M,B22002_017E,B22002_017M,B22002_018E,B22002_018M,B22002_019E,B22002_019M,B22002_020E,B22002_020M,B22002_021E,B22002_021M,B22002_022E,B22002_022M,B22002_023E,B22002_023M,B22002_024E,B22002_024M,B22002_025E,B22002_025M,B22002_026E,B22002_026M,B22002_027E,B22002_027M,NAME,B22002_001MA,B22002_001EA,B22002_002EA,B22002_002MA,B22002_003EA,B22002_003MA,B22002_004MA,B22002_004EA,B22002_005MA,B22002_005EA,B22002_006MA,B22002_006EA,B22002_007EA,B22002_007MA,B22002_008EA,B22002_008MA,B22002_009EA,B22002_009MA,B22002_010MA,B22002_010EA,B22002_011MA,B22002_011EA,B22002_012MA,B22002_012EA,B22002_013EA,B22002_013MA,B22002_014EA,B22002_014MA,B22002_015EA,B22002_015MA,B22002_016MA,B22002_016EA,B22002_017EA,B22002_017MA,B22002_018MA,B22002_018EA,B22002_019EA,B22002_019MA,B22002_020EA,B22002_020MA,B22002_021EA,B22002_021MA,B22002_022EA,B22002_022MA,B22002_023MA,B22002_023EA,B22002_024EA,B22002_024MA,B22002_025EA,B22002_025MA,B22002_026EA,B22002_026MA,B22002_027MA,B22002_027EA,state
0400000US01,1841217,10615,291541,7605,156595,5933,47483,3246,108171,4896,11041,1628,97130,4791,941,516,134946,4804,19604,2052,35176,2823,6538,1207,28638,2761,80166,3812,1549676,11705,404047,9429,287831,7449,113623,5659,28814,3061,84809,4644,2593,919,1145629,10529,515108,8806,105519,4845,31212,2630,74307,3757,525002,10011,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,249659,2978,25706,2164,16030,1717,5827,1072,9883,1573,2859,755,7024,1270,320,256,9676,1275,1326,405,1868,620,737,424,1131,471,6482,1078,223953,2943,73434,2856,53858,2622,18711,2224,6525,1199,12186,1714,865,422,150519,3039,63017,2480,10525,1551,4545,1060,5980,1081,76977,3272,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2428743,11353,319186,8149,182898,6711,71117,5117,109634,4854,25420,2448,84214,4472,2147,728,136288,5120,25007,2092,29855,2597,9648,1596,20207,2013,81426,4010,2109557,11660,566309,10018,393425,9689,166472,6742,51879,3715,114593,5994,6412,1293,1543248,12008,651746,10009,132225,5586,47173,3271,85052,4433,759277,11732,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1131288,8373,162566,6284,86251,4686,27343,2389,57649,3714,8649,1366,49000,3628,1259,579,76315,3473,14072,1566,14951,1747,3324,845,11627,1478,47292,2467,968722,8834,269254,7344,189225,6341,77559,4300,23843,2718,53716,3548,2470,843,699468,9169,315888,8120,55525,3402,17736,2023,37789,2782,328055,9540,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,12758648,18835,1215985,15746,850993,13509,359122,9044,484630,11979,95425,5781,389205,9916,7241,1172,364992,8758,82340,4322,108136,5539,29182,2644,78954,4838,174516,6940,11542663,23070,3681688,23540,2640614,18695,1012808,17579,328566,10208,684242,14452,28266,2816,7860975,26568,3157067,21941,917342,13822,319103,9112,598239,9537,3786566,24891,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2039592,7530,180821,7528,99058,5577,42178,3764,55777,4029,10492,1855,45285,3545,1103,595,81763,4925,12318,1495,15167,1772,3802,885,11365,1601,54278,4026,1858771,10282,554641,7909,402406,6823,148023,6057,51952,3309,96071,5163,4212,948,1304130,10639,548824,8484,90590,4733,32889,2924,57701,3994,664716,7835,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1355817,6673,173126,6013,74171,4179,20006,2134,53246,3712,8426,1763,44820,3361,919,461,98955,4261,13105,1577,21297,2569,5493,1291,15804,2288,64553,3533,1182691,7961,340132,7410,252459,6938,85699,4812,24533,2502,61166,4014,1974,701,842559,8342,365103,6818,76348,4509,26319,2380,50029,3445,401108,8959,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,349743,3705,45168,3051,24388,2539,7210,1484,17057,2273,2576,784,14481,2153,121,136,20780,2133,3703,814,5041,920,1483,606,3558,830,12036,1629,304575,4290,80607,3902,55537,2977,24228,2218,6224,1258,18004,1942,842,566,223968,4404,98912,3442,21312,2308,7874,1610,13438,1450,103744,4280,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,277378,3304,39035,3220,15504,2038,1573,642,13843,1883,1045,493,12798,1793,88,105,23531,2570,2199,745,5681,1020,1274,594,4407,839,15651,2219,238343,3885,41050,2762,24409,1852,16480,2275,3317,983,13163,2060,161,164,197293,3845,38063,2517,15616,1969,3860,892,11756,1703,143614,3999,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,7328046,25793,1085932,16173,528147,13067,201853,8770,319636,8997,56989,4470,262647,7833,6658,1215,557785,10837,115547,6199,134230,4958,37523,2859,96707,4502,308008,8583,6242114,26433,1462991,17862,995076,14149,455164,12681,127079,6897,328085,10739,12751,1830,4779123,25343,2067627,18261,404278,11212,131946,6295,272332,8020,2307218,20020,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
