GEO_ID,C01001F_001E,C01001F_001M,C01001F_002E,C01001F_002M,C01001F_003E,C01001F_003M,C01001F_004E,C01001F_004M,C01001F_005E,C01001F_005M,C01001F_006E,C01001F_006M,C01001F_007E,C01001F_007M,C01001F_008E,C01001F_008M,C01001F_009E,C01001F_009M,NAME,C01001F_001EA,C01001F_001MA,C01001F_002MA,C01001F_002EA,C01001F_003MA,C01001F_003EA,C01001F_004EA,C01001F_004MA,C01001F_005EA,C01001F_005MA,C01001F_006EA,C01001F_006MA,C01001F_007EA,C01001F_007MA,C01001F_008MA,C01001F_008EA,C01001F_009MA,C01001F_009EA,state
0400000US01,69859,6642,37871,4271,16331,2736,20932,2337,608,438,31988,3862,13363,2448,18042,2035,583,365,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9967,2196,5277,1264,678,462,4588,1174,11,18,4690,1368,1244,793,3197,836,249,197,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,433934,21381,216348,12035,66291,5808,141303,8619,8754,1304,217586,11695,67775,5588,137939,7618,11872,1640,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,50385,5783,27821,3702,10520,2169,16753,2356,548,311,22564,2724,8229,1408,13783,1835,552,385,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5114193,54578,2607993,31172,775581,15560,1715903,21485,116509,5403,2506200,28938,744410,13463,1606087,18875,155703,5671,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,215290,14446,113581,8279,35698,4910,72506,4549,5377,962,101709,7600,29976,3342,65089,4797,6644,1183,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,197532,12084,103541,6871,30823,3002,69221,5385,3497,838,93991,6656,26855,3134,62036,4345,5100,975,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20966,3483,10753,2015,3070,1020,7368,1364,315,233,10213,2176,3394,1268,6474,1345,345,242,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28798,4648,15753,2837,3764,1129,11557,2080,432,503,13045,2384,3456,1160,9397,1638,192,151,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,489726,24853,249462,13589,68589,5997,168147,10710,12726,1733,240264,14467,59244,5947,162489,10488,18531,3106,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,282876,16095,148521,9378,55896,5461,90992,5876,1633,694,134355,8603,52454,5044,79473,5108,2428,783,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,13830,2449,8480,1515,1539,555,6737,1339,204,150,5350,1485,825,557,4093,1280,432,291,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36664,4390,19614,2810,8085,1581,11058,1743,471,340,17050,2365,5645,1261,10573,1516,832,564,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,763579,22418,392318,11365,122860,5876,255508,8219,13950,1401,371261,13495,124926,6696,229175,8030,17160,1898,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
