B25116_010M,B25116_011E,B25116_011M,B25116_012E,B25116_012M,B25116_013E,B25116_013M,B25116_014E,B25116_014M,B25116_015E,B25116_015M,B25116_016E,B25116_016M,B25116_017E,B25116_017M,B25116_018E,B25116_018M,B25116_019E,B25116_019M,B25116_020E,B25116_020M,B25116_021E,B25116_021M,B25116_022E,B25116_022M,B25116_023E,B25116_023M,GEO_ID,B25116_001E,B25116_001M,B25116_002E,B25116_002M,B25116_003E,B25116_003M,B25116_004E,B25116_004M,B25116_005E,B25116_005M,B25116_006E,B25116_006M,B25116_007E,B25116_007M,B25116_008E,B25116_008M,B25116_009E,B25116_009M,B25116_010E,B25116_010MA,B25116_011MA,B25116_011EA,B25116_012MA,B25116_012EA,B25116_013MA,B25116_013EA,B25116_014EA,B25116_014MA,B25116_015EA,B25116_015MA,B25116_016EA,B25116_016MA,B25116_017MA,B25116_017EA,B25116_018MA,B25116_018EA,B25116_019MA,B25116_019EA,B25116_020EA,B25116_020MA,B25116_021EA,B25116_021MA,B25116_022EA,B25116_022MA,B25116_023MA,B25116_023EA,NAME,B25116_001MA,B25116_001EA,B25116_002MA,B25116_002EA,B25116_003EA,B25116_003MA,B25116_004MA,B25116_004EA,B25116_005MA,B25116_005EA,B25116_006MA,B25116_006EA,B25116_007MA,B25116_007EA,B25116_008MA,B25116_008EA,B25116_009EA,B25116_009MA,B25116_010EA,state
5228,156261,3527,88308,2839,595137,11423,219661,7559,121644,5631,44027,3171,29349,2671,24641,2492,375476,9703,317254,8857,33249,3173,15927,1805,9046,1422,0400000US01,1841217,10615,1246080,12085,311255,6928,87865,4613,74254,3981,73368,3324,75768,3335,934825,11694,477144,9346,213112,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1797,16468,1200,6402,810,93653,4082,30603,2766,18540,2119,6804,1196,3044,939,2215,489,63050,3733,55252,3451,5886,1043,950,330,962,509,0400000US02,249659,2978,156006,4250,33370,2464,13418,1620,8997,1131,6620,1007,4335,795,122636,3521,69767,2869,29999,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
5578,216134,4251,126202,3648,943886,14175,316171,9114,181640,7096,57046,3659,39270,2775,38215,2775,627715,11609,521283,10311,59731,3707,27450,2221,19251,1946,0400000US04,2428743,11353,1484857,11801,353456,8059,91789,4868,80577,3995,90834,3636,90256,4023,1131401,11648,542983,8456,246082,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
3859,94150,3314,55822,2569,386970,9803,144177,6900,83819,5300,25933,2219,16661,2179,17764,2033,242793,7723,205919,7063,20450,2092,11080,1468,5344,1044,0400000US05,1131288,8373,744318,10448,179243,6803,48594,3552,41668,3327,41484,2835,47497,2489,565075,8981,291512,6908,123591,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
11507,846417,8551,525569,7966,5902960,28154,1685545,19199,927861,15903,310517,8719,221461,7336,225706,6734,4217415,25488,3433191,24731,463753,10205,201798,6742,118673,4778,0400000US06,12758648,18835,6855688,27608,1376955,14632,369377,8992,316854,7250,319736,7208,370988,7290,5478733,26844,2799081,21998,1307666,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
4969,142626,3424,74398,2476,737059,11315,269223,6754,162273,6254,47544,3140,26272,2423,33134,2304,467836,10000,406688,9769,35654,2645,16327,1764,9167,1204,0400000US08,2039592,7530,1302533,10820,290689,7025,98208,5022,75776,3714,62942,3345,53763,2685,1011844,10023,564455,8040,230365,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
3851,103874,3125,58987,2513,455778,8159,188180,5353,93613,4519,35258,2811,24270,2605,35039,2467,267598,7666,216227,6580,29608,2344,11597,1778,10166,1327,0400000US09,1355817,6673,900039,8072,204129,6651,59259,3697,49145,2797,44105,2873,51620,2923,695910,8084,365443,7441,167606,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
2309,33780,1490,17607,1261,103935,3908,38013,2753,22001,2700,6653,1304,4788,937,4571,946,65922,3676,54778,3379,6525,1298,3098,855,1521,489,0400000US10,349743,3705,245808,4425,58289,3530,17913,2424,13364,1656,13073,1573,13939,1513,187519,4112,92382,2923,43750,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
1176,9960,1096,7815,1064,164886,4965,79534,3807,52754,3115,13092,1658,7496,1275,6192,1203,85352,3875,72048,3682,8953,1245,2893,580,1458,489,0400000US11,277378,3304,112492,3641,44209,3081,20672,2226,8888,1348,7857,1079,6792,964,68283,2680,37541,2269,12967,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
10427,690084,8495,461339,8013,2634225,22450,890980,15468,497786,12762,155325,7107,116449,4978,121420,4946,1743245,18867,1396008,17974,186428,6248,104390,5466,56419,3210,0400000US12,7328046,25793,4693821,26616,1244375,16810,293071,8780,277667,7432,303862,7727,369775,8740,3449446,24791,1527600,19641,770423,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
