GEO_ID,C07008_001E,C07008_001M,C07008_002E,C07008_002M,C07008_003E,C07008_003M,C07008_004E,C07008_004M,C07008_005E,C07008_005M,C07008_006E,C07008_006M,C07008_007E,C07008_007M,C07008_008E,C07008_008M,C07008_009E,C07008_009M,C07008_010E,C07008_010M,C07008_011E,C07008_011M,C07008_012E,C07008_012M,C07008_013E,C07008_013M,C07008_014E,C07008_014M,C07008_015E,C07008_015M,C07008_016E,C07008_016M,C07008_017E,C07008_017M,C07008_018E,C07008_018M,C07008_019E,C07008_019M,C07008_020E,C07008_020M,C07008_021E,C07008_021M,C07008_022E,C07008_022M,C07008_023E,C07008_023M,C07008_024E,C07008_024M,C07008_025E,C07008_025M,C07008_026E,C07008_026M,C07008_027E,C07008_027M,C07008_028E,C07008_028M,C07008_029E,C07008_029M,C07008_030E,C07008_030M,NAME,C07008_001EA,C07008_001MA,C07008_002EA,C07008_002MA,C07008_003MA,C07008_003EA,C07008_004MA,C07008_004EA,C07008_005MA,C07008_005EA,C07008_006MA,C07008_006EA,C07008_007MA,C07008_007EA,C07008_008EA,C07008_008MA,C07008_009MA,C07008_009EA,C07008_010EA,C07008_010MA,C07008_011MA,C07008_011EA,C07008_012EA,C07008_012MA,C07008_013EA,C07008_013MA,C07008_014MA,C07008_014EA,C07008_015MA,C07008_015EA,C07008_016MA,C07008_016EA,C07008_017MA,C07008_017EA,C07008_018EA,C07008_018MA,C07008_019EA,C07008_019MA,C07008_020MA,C07008_020EA,C07008_021EA,C07008_021MA,C07008_022MA,C07008_022EA,C07008_023EA,C07008_023MA,C07008_024MA,C07008_024EA,C07008_025MA,C07008_025EA,C07008_026MA,C07008_026EA,C07008_027MA,C07008_027EA,C07008_028EA,C07008_028MA,C07008_029EA,C07008_029MA,C07008_030EA,C07008_030MA,state
0400000US01,3931966,3565,1188202,14844,1872428,22959,591972,12080,279364,7283,3371431,17208,933804,14532,1698241,21783,485278,10790,254108,7353,330058,12092,146765,8714,100641,7112,66415,4610,16237,1808,129052,8034,62105,5317,36770,4585,23971,2666,6206,1305,90023,6471,40689,4228,32301,4059,14683,2232,2350,724,11402,2283,4839,1375,4475,1397,1625,956,463,335,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,579778,1194,200938,5645,278761,7325,78483,3969,21596,1987,466074,5731,148429,4960,234800,6767,63572,3586,19273,2109,63692,5252,30567,3669,23211,3165,8736,1715,1178,487,15035,2383,7291,1443,5214,1475,2024,524,506,366,31426,3146,13513,1941,13573,2267,3788,1129,552,375,3551,1138,1138,580,1963,823,363,396,87,100,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5381925,2298,1797714,19036,2521223,26908,760377,15555,302611,8363,4411248,21468,1359417,19852,2174231,27334,608762,14284,268838,7332,619652,17155,286314,11231,207376,8684,104569,7151,21393,2475,101406,8237,54683,5645,29501,3838,13692,1885,3530,1067,207247,9954,81296,6283,89369,6841,29388,3283,7194,1224,42372,4814,16004,2601,20746,2830,3966,1169,1656,706,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2381476,2931,672552,9728,1180622,16490,366550,11430,161752,5899,2019198,14014,522023,10749,1054449,15295,295744,9500,146982,5724,207221,9798,85532,5984,71058,5497,42069,5113,8562,1483,87250,5460,40033,3474,26633,3297,17235,2247,3349,748,60394,4677,22604,2584,25070,3661,10146,1586,2574,790,7413,1808,2360,813,3412,1443,1356,615,285,293,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31206124,3092,11497373,41265,14421757,51116,3705967,31075,1581027,16879,26765172,40923,9342356,44270,12869182,50811,3118151,27700,1435483,17566,2819369,38163,1345364,25056,985772,20550,400057,12284,88176,5039,918778,21119,486774,14079,274501,10777,126184,7650,31319,2930,434375,13489,209435,8623,164455,9740,46051,3507,14434,1796,268430,10646,113444,6494,127847,7079,15524,1998,11615,1777,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309301,2682,1362494,14839,2166073,18939,595293,13527,185441,6287,3467774,20150,960581,16642,1878504,18301,465063,11044,163626,5951,400328,11564,185595,7624,133751,6188,69901,4528,11081,1716,227007,10056,114542,5804,69487,4867,38156,3899,4822,895,185663,10056,90219,5619,70511,6248,19608,2264,5325,1230,28529,3743,11557,1959,13820,2625,2565,778,587,363,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2967896,1050,1025347,11908,1407169,18238,365727,12207,169653,5437,2600817,11297,836969,13402,1297942,17075,311014,11855,154892,4852,219687,9398,106625,6565,64319,5477,37990,3232,10753,1737,55010,4336,32328,3380,12937,2238,7879,1456,1866,582,68104,5920,38657,4147,20849,2931,7162,1487,1436,469,24278,3212,10768,1944,11122,2451,1682,791,706,395,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,765491,834,255717,5486,358548,7784,104854,5001,46372,2459,671334,5754,207568,6081,330615,7786,90647,4528,42504,2438,54611,4536,29076,2985,14986,2367,8571,1259,1978,655,7973,1321,4194,912,1488,718,1969,787,322,203,27312,2682,12927,1746,9527,1603,3446,900,1412,577,4261,1190,1952,789,1932,713,221,192,156,177,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559363,238,316290,5739,153894,6205,64376,3192,24803,2081,437520,6300,229866,7237,131378,5898,54141,2960,22135,2094,57703,4177,38882,3490,11608,1964,5485,1278,1728,596,0,198,0,198,0,198,0,198,0,198,54519,4235,41560,3648,7830,1597,4226,1013,903,511,9621,1902,5982,1472,3078,1013,524,274,37,61,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16544829,3434,5229442,31066,7583757,47792,2550287,28421,1181343,16579,13920864,37691,4110341,35107,6660527,45043,2094704,25213,1055292,15772,1466704,29362,641214,16905,480040,17129,275483,10989,69967,4494,525788,14323,261647,9155,152411,9347,91102,6489,20628,2682,465128,16495,161013,8107,207132,10223,69055,5111,27928,3089,166345,10199,55227,5344,83647,6667,19943,2949,7528,1587,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
