GEO_ID,C17001B_001E,C17001B_001M,C17001B_002E,C17001B_002M,C17001B_003E,C17001B_003M,C17001B_004E,C17001B_004M,C17001B_005E,C17001B_005M,C17001B_006E,C17001B_006M,C17001B_007E,C17001B_007M,C17001B_008E,C17001B_008M,C17001B_009E,C17001B_009M,C17001B_010E,C17001B_010M,C17001B_011E,C17001B_011M,C17001B_012E,C17001B_012M,C17001B_013E,C17001B_013M,C17001B_014E,C17001B_014M,C17001B_015E,C17001B_015M,C17001B_016E,C17001B_016M,C17001B_017E,C17001B_017M,C17001B_018E,C17001B_018M,C17001B_019E,C17001B_019M,NAME,C17001B_001MA,C17001B_001EA,C17001B_002EA,C17001B_002MA,C17001B_003EA,C17001B_003MA,C17001B_004EA,C17001B_004MA,C17001B_005MA,C17001B_005EA,C17001B_006MA,C17001B_006EA,C17001B_007EA,C17001B_007MA,C17001B_008EA,C17001B_008MA,C17001B_009EA,C17001B_009MA,C17001B_010EA,C17001B_010MA,C17001B_011MA,C17001B_011EA,C17001B_012MA,C17001B_012EA,C17001B_013EA,C17001B_013MA,C17001B_014EA,C17001B_014MA,C17001B_015EA,C17001B_015MA,C17001B_016MA,C17001B_016EA,C17001B_017MA,C17001B_017EA,C17001B_018MA,C17001B_018EA,C17001B_019EA,C17001B_019MA,state
0400000US01,1245331,7472,387655,13923,165056,7304,74476,4617,81797,4649,8783,1251,222599,8902,72731,4765,131645,5636,18223,1982,857676,14286,406310,7796,91978,4727,270333,5462,43999,1638,451366,8621,87806,5064,302667,6099,60893,2166,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,23014,2479,7301,3376,3942,1700,1034,762,2908,1306,0,145,3359,2063,1456,1371,1780,853,123,193,15713,2381,8927,1474,936,687,7316,1120,675,517,6786,1724,1460,962,3827,990,1499,763,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,265803,6437,67429,6624,32685,3753,14551,2275,17230,2208,904,446,34744,3905,10958,1985,21465,2759,2321,825,198374,8349,102969,4879,24164,2871,69654,2963,9151,858,95405,4722,23682,2642,61433,3000,10290,1018,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,445186,4859,147642,8133,64586,4870,30382,2780,31189,2886,3015,596,83056,5207,30232,2920,46085,3417,6739,1048,297544,8867,143395,5662,36179,3189,93286,3725,13930,954,154149,5166,34577,2836,102260,3961,17312,1020,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2161095,15484,548505,18855,246853,10401,89864,6629,144679,6840,12310,1446,301652,12402,92398,7386,184414,7178,24840,1975,1612590,21084,789125,11484,162119,7126,533933,8078,93073,2068,823465,13586,155572,7348,547205,8453,120688,2572,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,204440,4994,44759,5757,23370,3740,9086,2042,13438,2371,846,427,21389,3093,7450,1833,12992,1799,947,400,159681,6076,84748,4098,19754,2136,58282,2772,6712,668,74933,3867,17662,2166,49477,2505,7794,605,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,354350,7244,73628,6869,32562,3685,15668,2479,15311,1918,1583,588,41066,4354,12952,2282,24188,2842,3926,883,280722,8679,133702,4579,32902,2309,88967,3163,11833,1019,147020,5160,32291,2722,97473,3243,17256,1049,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,194442,3538,38717,4407,16947,2326,8223,1637,7922,1428,802,395,21770,2736,6150,1201,13418,2014,2202,667,155725,5490,73660,2873,18008,2000,47939,1760,7713,444,82065,3418,18373,1788,53855,2347,9837,695,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,307045,3047,79442,6851,33336,3647,12017,2043,19161,2638,2158,574,46106,4466,12622,2192,27741,2905,5743,973,227603,6714,104576,3638,21777,1929,68750,2752,14049,739,123027,4503,20715,2160,80922,2908,21390,1101,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3101494,15922,833388,27587,379433,16287,164619,9629,192619,9164,22195,2188,453955,14101,155686,7417,258923,9262,39346,3216,2268106,32135,1079892,17794,266916,11173,708816,9668,104160,2999,1188214,18209,256037,9112,789957,11202,142220,3394,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
