GEO_ID,B06003_001E,B06003_001M,B06003_002E,B06003_002M,B06003_003E,B06003_003M,B06003_004E,B06003_004M,B06003_005E,B06003_005M,B06003_006E,B06003_006M,B06003_007E,B06003_007M,B06003_008E,B06003_008M,B06003_009E,B06003_009M,B06003_010E,B06003_010M,B06003_011E,B06003_011M,B06003_012E,B06003_012M,B06003_013E,B06003_013M,B06003_014E,B06003_014M,B06003_015E,B06003_015M,NAME,B06003_001EA,B06003_001MA,B06003_002MA,B06003_002EA,B06003_003MA,B06003_003EA,B06003_004MA,B06003_004EA,B06003_005MA,B06003_005EA,B06003_006EA,B06003_006MA,B06003_007EA,B06003_007MA,B06003_008MA,B06003_008EA,B06003_009MA,B06003_009EA,B06003_010MA,B06003_010EA,B06003_011EA,B06003_011MA,B06003_012EA,B06003_012MA,B06003_013MA,B06003_013EA,B06003_014MA,B06003_014EA,B06003_015MA,B06003_015EA,state
0400000US01,4849377,-555555555,2347969,5243,2501408,5243,3409230,22317,1641022,13842,1768208,13527,1238719,20177,605219,12669,633500,11262,44072,4960,22984,2988,21088,3079,157356,6968,78744,4522,78612,4561,Alabama,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,736732,-555555555,385582,1999,351150,1999,304277,7422,157379,4954,146898,3931,359770,6431,192327,4830,167443,3335,18013,2410,8602,1527,9411,1647,54672,3978,27274,2378,27398,2508,Alaska,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6731484,-555555555,3342946,2452,3388538,2452,2622700,19254,1328687,14317,1294013,10805,3091404,18239,1519582,14190,1571822,12411,97821,6190,49735,4434,48086,3570,919559,15821,444942,9366,474617,9649,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2966369,-555555555,1456778,4252,1509591,4252,1812501,17305,892054,10350,920447,12240,993733,16943,483101,9567,510632,11547,20138,2275,10339,1960,9799,1517,139997,6123,71284,3955,68713,3746,Arkansas,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38802500,-555555555,19264457,4495,19538043,4495,21322694,54263,10671329,36039,10651365,34933,6470238,40591,3247262,23157,3222976,28291,497169,13249,249070,9241,248099,7581,10512399,46440,5096796,27814,5415603,27479,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5355866,-555555555,2692599,3357,2663267,3357,2296599,22798,1160003,14246,1136596,13463,2439470,22851,1223200,13257,1216270,13758,81553,5725,42629,3832,38924,3632,538244,12742,266767,9050,271477,6948,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3596677,-555555555,1754116,1816,1842561,1816,1992919,16302,989343,9502,1003576,10991,977382,16571,461869,9651,515513,10952,134457,7398,59256,4255,75201,4506,491919,12684,243648,7936,248271,6817,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,935614,-555555555,454005,925,481609,925,426504,9723,206863,5896,219641,5697,413036,9428,199532,5456,213504,5493,15774,2331,8154,1571,7620,1490,80300,4876,39456,2665,40844,3153,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,658893,-555555555,312633,686,346260,686,238581,5759,112829,3832,125752,3957,316189,6137,149396,3565,166793,4356,12174,1675,6683,1268,5491,1286,91949,5261,43725,3100,48224,3183,District of Columbia,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19893297,-555555555,9722228,6892,10171069,6892,7176103,45601,3577608,24510,3598495,29493,8065349,39864,3934756,24166,4130593,25636,678330,15934,333444,9329,344886,10785,3973515,35748,1876420,19725,2097095,21551,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
