GEO_ID,B13002F_001E,B13002F_001M,B13002F_002E,B13002F_002M,B13002F_003E,B13002F_003M,B13002F_004E,B13002F_004M,B13002F_005E,B13002F_005M,B13002F_006E,B13002F_006M,B13002F_007E,B13002F_007M,NAME,B13002F_001EA,B13002F_001MA,B13002F_002MA,B13002F_002EA,B13002F_003MA,B13002F_003EA,B13002F_004MA,B13002F_004EA,B13002F_005MA,B13002F_005EA,B13002F_006EA,B13002F_006MA,B13002F_007MA,B13002F_007EA,state
0400000US01,16915,2016,1924,817,1685,842,239,310,14991,1896,7424,1317,7567,1721,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,2865,827,369,389,281,378,88,92,2496,727,1195,512,1301,545,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,124280,7572,7482,1551,3941,1061,3541,1096,116798,6974,49279,4082,67519,5371,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,13318,1828,1133,614,635,476,498,320,12185,1811,6092,1362,6093,1464,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1431768,17305,80840,5111,46397,3506,34443,3181,1350928,16795,559656,11369,791272,15541,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,59557,4851,2688,1064,1325,639,1363,854,56869,4916,27307,2812,29562,3462,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,56171,4087,2706,993,1336,658,1370,619,53465,4102,18501,1935,34964,3507,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,7815,1490,819,617,570,593,249,237,6996,1398,2451,942,4545,1070,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,135824,9514,8306,1835,4782,1407,3524,1062,127518,9259,55017,5143,72501,6853,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,76997,4887,5304,1684,3406,1308,1898,879,71693,5050,35625,3575,36068,4013,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,3787,1248,186,167,186,167,0,181,3601,1219,1136,498,2465,1125,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,10224,1597,798,484,569,330,229,293,9426,1578,5043,960,4383,1134,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,211857,8366,11624,1832,6474,1341,5150,1344,200233,8190,91275,4785,108958,5477,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,39276,3249,2889,995,1776,719,1113,668,36387,3101,16176,2040,20211,2099,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,7647,1252,752,430,546,382,206,203,6895,1255,3410,763,3485,929,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,15580,1901,996,342,753,341,243,190,14584,1892,7641,1301,6943,1432,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,11000,1701,580,337,451,357,129,167,10420,1657,4473,983,5947,1391,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9286,1610,1005,447,511,323,494,294,8281,1400,4793,1072,3488,772,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
