GEO_ID,C14007G_001E,C14007G_001M,C14007G_002E,C14007G_002M,C14007G_003E,C14007G_003M,C14007G_004E,C14007G_004M,C14007G_005E,C14007G_005M,C14007G_006E,C14007G_006M,C14007G_007E,C14007G_007M,NAME,C14007G_001MA,C14007G_001EA,C14007G_002MA,C14007G_002EA,C14007G_003EA,C14007G_003MA,C14007G_004EA,C14007G_004MA,C14007G_005EA,C14007G_005MA,C14007G_006EA,C14007G_006MA,C14007G_007MA,C14007G_007EA,state
0400000US01,78530,6116,36760,4272,4141,993,19958,3155,6687,1535,5974,1540,41770,3633,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,56701,3924,26004,2592,3354,1003,13046,2014,5619,1152,3985,1002,30697,2606,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,203682,10450,100826,6626,11830,2055,46358,3797,21193,2620,21445,2891,102856,6504,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,58518,5238,26327,3630,3180,1050,10410,1580,7121,1342,5616,2104,32191,2992,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1629120,26559,768151,19016,104214,5160,328492,12397,151365,6630,184080,7231,860969,14167,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,170477,8572,79659,5061,12584,2117,33076,2699,15808,2153,18191,2228,90818,5810,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,94410,7179,46813,4808,7909,1627,21953,2868,9412,1776,7539,1254,47597,4132,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,21524,3070,12686,2253,2293,814,5757,1378,2716,888,1920,708,8838,1870,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,15162,2267,6638,1316,1533,666,1624,683,728,450,2753,887,8524,1662,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,432613,18234,208933,10795,32361,3834,94915,6099,40414,4024,41243,3768,223680,11347,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,183264,10101,92615,6730,15884,2345,44452,4387,16528,2498,15751,2252,90649,5912,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,306686,10198,118271,4988,15757,1762,53408,3458,24412,2390,24694,2314,188415,8159,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,35866,3813,15930,2262,1477,569,7697,1544,3513,1074,3243,960,19936,2776,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,262258,10449,136888,6797,22073,2588,65422,4757,24205,2375,25188,2311,125370,6416,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
