C27005_009M,C27005_010E,C27005_010M,C27005_011E,C27005_011M,C27005_012E,C27005_012M,C27005_013E,C27005_013M,C27005_014E,C27005_014M,C27005_015E,C27005_015M,C27005_016E,C27005_016M,C27005_017E,C27005_017M,C27005_018E,C27005_018M,C27005_019E,C27005_019M,C27005_020E,C27005_020M,C27005_021E,C27005_021M,GEO_ID,C27005_001E,C27005_001M,C27005_002E,C27005_002M,C27005_003E,C27005_003M,C27005_004E,C27005_004M,C27005_005E,C27005_005M,C27005_006E,C27005_006M,C27005_007E,C27005_007M,C27005_008E,C27005_008M,C27005_009E,C27005_009MA,C27005_010EA,C27005_010MA,C27005_011MA,C27005_011EA,C27005_012MA,C27005_012EA,C27005_013EA,C27005_013MA,C27005_014EA,C27005_014MA,C27005_015EA,C27005_015MA,C27005_016MA,C27005_016EA,C27005_017MA,C27005_017EA,C27005_018EA,C27005_018MA,C27005_019EA,C27005_019MA,C27005_020MA,C27005_020EA,C27005_021MA,C27005_021EA,NAME,C27005_001MA,C27005_001EA,C27005_002EA,C27005_002MA,C27005_003EA,C27005_003MA,C27005_004MA,C27005_004EA,C27005_005EA,C27005_005MA,C27005_006MA,C27005_006EA,C27005_007EA,C27005_007MA,C27005_008EA,C27005_008MA,C27005_009EA,state
1997,93368,3552,223712,4226,2477603,5606,541928,4642,27515,3102,514413,5269,1527586,3213,173972,6208,1353614,6823,408089,2062,131330,4227,276759,4232,0400000US01,4767383,1932,2289780,5872,564919,4746,29600,3639,535319,5516,1407781,3396,153897,6147,1253884,6804,317080,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
1002,3934,842,29966,1217,347952,2104,91589,1669,4047,1147,87542,1867,221245,1198,17052,1996,204193,2177,35118,972,4214,820,30904,1297,0400000US02,711541,1618,363589,2580,94656,1704,4202,1256,90454,1976,235033,2140,19100,2400,215933,2842,33900,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
1367,145716,4544,341224,4519,3371777,2888,794218,2258,60532,4608,733686,4813,2006493,2365,221985,6859,1784508,7317,571066,1364,178483,4545,392583,4858,0400000US04,6623074,1740,3251297,3166,826358,2285,60477,5082,765881,5442,1937999,2770,200924,6787,1737075,7296,486940,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
1438,68855,3017,132841,3189,1490964,4568,343420,3861,17202,2280,326218,4379,900910,3016,102906,4834,798004,5597,246634,1843,89764,3145,156870,3486,0400000US05,2914376,756,1423412,4652,360391,3763,21058,3106,339333,4178,861325,3214,94248,4444,767077,5689,201696,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
2989,468200,7717,1701242,8199,19431963,5973,4477142,4008,330752,9853,4146390,10571,12226448,3884,1412404,19133,10814044,19806,2728373,3145,650858,9662,2077515,9737,0400000US06,38297457,5321,18865494,8096,4657991,3964,341766,10656,4316225,10904,12038061,7340,1351674,18100,10686387,19160,2169442,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
1624,92056,3192,211277,3504,2643611,4048,605132,2527,46391,3704,558741,3985,1677532,2424,213550,7067,1463982,7295,360947,1439,119028,3377,241919,3633,0400000US08,5266022,2396,2622411,4609,640300,2702,52420,3757,587880,5069,1678778,3434,207584,7407,1471194,7999,303333,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
1423,66091,2823,166853,3053,1821857,2336,379018,1430,20765,2442,358253,2724,1142258,1885,119554,5316,1022704,5711,300581,1319,93382,3234,207199,3285,0400000US09,3541282,1220,1719425,2334,395003,1458,22516,2317,372487,2964,1091478,1984,112219,5494,979259,5570,232944,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
733,20812,1566,46621,1635,477307,1167,99383,901,5324,1314,94059,1690,295631,700,22695,1824,272936,1931,82293,658,26048,1943,56245,2039,0400000US10,920930,554,443623,1227,104031,825,4036,1223,99995,1388,272159,1135,23079,2310,249080,2492,67433,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
646,5695,890,23384,1011,344175,1099,56694,456,5024,1529,51670,1586,244580,597,30239,2384,214341,2476,42901,869,11204,1241,31697,1440,0400000US11,647966,509,303791,1024,58140,442,3840,1047,54300,1139,216572,977,28434,2655,188138,2738,29079,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
3397,449435,9280,1227826,9419,10092498,7609,1980146,6054,159370,6568,1820776,9080,6066114,4654,817797,16230,5248317,16186,2046238,3447,577368,11205,1468870,11051,0400000US12,19583357,3419,9490859,7749,2066004,5977,171640,8213,1894364,9682,5747594,5911,721858,13568,5025736,14507,1677261,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
