GEO_ID,B25081_001E,B25081_001M,B25081_002E,B25081_002M,B25081_003E,B25081_003M,B25081_004E,B25081_004M,B25081_005E,B25081_005M,B25081_006E,B25081_006M,B25081_007E,B25081_007M,B25081_008E,B25081_008M,NAME,B25081_001EA,B25081_001MA,B25081_002MA,B25081_002EA,B25081_003MA,B25081_003EA,B25081_004MA,B25081_004EA,B25081_005MA,B25081_005EA,B25081_006MA,B25081_006EA,B25081_007EA,B25081_007MA,B25081_008EA,B25081_008MA,state
0400000US35,509151,6597,286593,5906,29700,2690,11991,1656,17709,1962,1415,744,255478,6358,222558,5236,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,3857906,20082,2407718,17868,396434,9199,50910,3376,345524,8637,13118,1483,1998166,15986,1450188,14868,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,2435384,18248,1569214,15677,262279,7199,52241,3242,210038,6625,10133,1580,1296802,15915,866170,11381,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,195002,4098,101271,3611,12676,1686,3425,967,9251,1646,586,281,88009,3540,93731,2601,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,3000748,17269,1919891,15311,342047,7589,73542,3838,268505,6610,8953,1300,1568891,16253,1080857,11244,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,950817,7331,532133,6493,38571,2213,17138,1393,21433,1694,1799,525,491763,6041,418684,6370,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,932392,9092,616696,9411,97650,4218,26952,2142,70698,3709,5116,1013,513930,8849,315696,7804,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,3404164,14323,2061546,14701,373020,7743,56558,2613,316462,7192,12963,1651,1675563,14336,1342618,11133,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,240878,4850,168376,5012,37482,2566,7434,1203,30048,2142,923,404,129971,4643,72502,3422,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,1243177,11898,728958,10291,93002,4550,22710,2547,70292,3824,3169,888,632787,10742,514219,8587,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
