GEO_ID,C08101_001E,C08101_001M,C08101_002E,C08101_002M,C08101_003E,C08101_003M,C08101_004E,C08101_004M,C08101_005E,C08101_005M,C08101_006E,C08101_006M,C08101_007E,C08101_007M,C08101_008E,C08101_008M,C08101_009E,C08101_009M,C08101_010E,C08101_010M,C08101_011E,C08101_011M,C08101_012E,C08101_012M,C08101_013E,C08101_013M,C08101_014E,C08101_014M,C08101_015E,C08101_015M,C08101_016E,C08101_016M,C08101_017E,C08101_017M,C08101_018E,C08101_018M,C08101_019E,C08101_019M,C08101_020E,C08101_020M,C08101_021E,C08101_021M,C08101_022E,C08101_022M,C08101_023E,C08101_023M,C08101_024E,C08101_024M,C08101_025E,C08101_025M,C08101_026E,C08101_026M,C08101_027E,C08101_027M,C08101_028E,C08101_028M,C08101_029E,C08101_029M,C08101_030E,C08101_030M,C08101_031E,C08101_031M,C08101_032E,C08101_032M,C08101_033E,C08101_033M,C08101_034E,C08101_034M,C08101_035E,C08101_035M,C08101_036E,C08101_036M,C08101_037E,C08101_037M,C08101_038E,C08101_038M,C08101_039E,C08101_039M,C08101_040E,C08101_040M,C08101_041E,C08101_041M,C08101_042E,C08101_042M,NAME,C08101_001EA,C08101_001MA,C08101_002EA,C08101_002MA,C08101_003EA,C08101_003MA,C08101_004EA,C08101_004MA,C08101_005MA,C08101_005EA,C08101_006MA,C08101_006EA,C08101_007MA,C08101_007EA,C08101_008MA,C08101_008EA,C08101_009EA,C08101_009MA,C08101_010MA,C08101_010EA,C08101_011MA,C08101_011EA,C08101_012MA,C08101_012EA,C08101_013MA,C08101_013EA,C08101_014EA,C08101_014MA,C08101_015EA,C08101_015MA,C08101_016MA,C08101_016EA,C08101_017MA,C08101_017EA,C08101_018MA,C08101_018EA,C08101_019EA,C08101_019MA,C08101_020EA,C08101_020MA,C08101_021MA,C08101_021EA,C08101_022MA,C08101_022EA,C08101_023MA,C08101_023EA,C08101_024EA,C08101_024MA,C08101_025EA,C08101_025MA,C08101_026EA,C08101_026MA,C08101_027MA,C08101_027EA,C08101_028MA,C08101_028EA,C08101_029EA,C08101_029MA,C08101_030EA,C08101_030MA,C08101_031EA,C08101_031MA,C08101_032MA,C08101_032EA,C08101_033MA,C08101_033EA,C08101_034EA,C08101_034MA,C08101_035EA,C08101_035MA,C08101_036EA,C08101_036MA,C08101_037EA,C08101_037MA,C08101_038MA,C08101_038EA,C08101_039MA,C08101_039EA,C08101_040EA,C08101_040MA,C08101_041EA,C08101_041MA,C08101_042EA,C08101_042MA,state
0400000US01,2007426,13350,62676,4103,204461,4883,861069,9858,444594,6953,198119,5975,236507,5602,1724178,15545,47987,3580,168349,5687,741461,10018,386665,7035,175005,6527,204711,5405,171927,8594,8409,1628,22211,2836,81155,4518,32969,3436,13343,1846,13840,1911,8276,1749,393,303,697,472,3884,1124,1584,668,874,390,844,415,45812,4180,4151,1178,9131,2042,15022,1870,8838,1630,3746,1071,4924,1024,57233,3661,1736,560,4073,1217,19547,2293,14538,1733,5151,1079,12188,1562,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,359211,5456,13297,1637,46093,2221,157317,3282,69600,2315,33814,2238,39090,2739,249481,6163,8305,1432,28855,2374,114487,4089,47162,2219,24369,2156,26303,2254,43221,3223,2825,796,7199,1270,18248,2045,8318,1376,3386,768,3245,806,4703,1196,262,218,1701,800,2011,808,316,164,237,133,176,121,47891,2941,1534,444,6960,1198,18659,1821,10714,1238,4275,1046,5749,888,13915,1891,371,286,1378,775,3912,970,3090,769,1547,533,3617,756,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2831592,19395,102023,4894,311591,7039,1249152,11117,600160,6381,255707,6953,312959,7574,2178267,17614,66026,4075,231588,6962,973533,11998,468665,6272,198664,6205,239791,6002,295724,9385,16041,2016,38750,3601,140160,6549,58482,3403,21681,2262,20610,2519,57615,5086,4367,1096,11696,2103,22695,3016,9810,1836,4561,1063,4486,1024,138333,7363,12419,2213,23235,3038,54563,4245,23285,2767,10100,1625,14731,2332,161653,6371,3170,925,6322,1534,58201,4030,39918,2805,20701,2099,33341,2817,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,1249674,12677,43809,3260,131413,5113,543101,6919,262187,5266,118217,4442,150947,4713,1031366,13889,32821,2940,101993,5202,448710,8200,221024,5101,98777,4101,128041,4154,136027,7210,7492,1594,19311,2690,64729,4469,23970,2412,10406,1610,10119,1405,4072,1177,244,249,615,477,1715,648,844,571,327,274,327,258,36834,2749,2674,642,6783,1463,12960,1777,6764,1132,3533,912,4120,934,41375,3177,578,343,2711,921,14987,2236,9585,1782,5174,1075,8340,1494,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,17254926,40650,426995,10278,1730938,13435,7906079,25995,3781855,16208,1558374,16284,1850685,18785,12679198,45211,248769,7879,1201243,14303,5845819,27727,2849034,18347,1181403,14881,1352930,16134,1813154,27870,67965,4229,206526,8203,859492,15797,384368,9953,140346,6237,154457,7563,914442,15685,29882,2940,120694,5774,438967,10259,171101,7060,69064,3671,84734,4385,917157,14761,64499,4388,154746,6696,411154,10076,146331,6403,63195,4282,77232,3523,930975,16361,15880,2114,47729,3722,350647,11654,231021,7401,104366,5306,181332,6290,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,2681200,13178,94998,4357,271863,5172,1204347,7643,554720,5440,251038,6629,304234,6861,2027739,15432,62410,4360,195329,5495,908309,9483,430582,6464,198981,6279,232128,6374,258146,10065,14100,1709,29996,3491,129532,6579,46771,3451,16497,1969,21250,2320,88355,4521,4488,1389,13460,1805,42096,3116,15007,1787,6212,1231,7092,990,132607,6586,10079,1383,24950,2712,57110,4493,20242,1988,8936,1498,11290,1348,174353,6876,3921,1000,8128,1474,67300,4422,42118,2869,20412,1856,32474,2576,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,1765420,11499,62105,3723,160371,4186,683621,6627,421073,5820,195445,5336,242805,5784,1379348,12794,37423,2625,109861,4106,532386,8246,339248,5759,163589,5024,196841,5393,142584,7540,8835,1523,17567,2133,62184,4711,28310,2707,12075,1769,13613,1942,84731,4188,3529,931,11283,1806,38412,2812,17798,1746,6875,1242,6834,1118,77163,4758,10285,1753,16738,2092,26291,2950,11313,1768,4452,1126,8084,1228,81594,4474,2033,786,4922,1370,24348,2609,24404,2564,8454,1322,17433,1718,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,434766,5852,14514,1558,41084,2281,179973,3191,96514,2474,47881,2691,54800,2515,354350,7480,9605,1419,32320,2427,145850,4420,80937,2788,39198,1923,46440,2525,33132,3564,2180,774,3497,914,15835,2130,5752,1267,3186,751,2682,682,12635,2056,879,469,1703,693,4460,1136,2335,764,2246,969,1012,411,15362,2386,1615,614,2691,1045,6143,1265,2514,989,1005,356,1394,464,19287,2306,235,180,873,404,7685,1715,4976,1063,2246,543,3272,700,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,343062,5802,4885,1130,32978,2434,195310,4136,55836,2306,22371,1649,31682,2060,120528,5465,495,398,6126,1077,66228,3884,22894,1984,9874,1463,14911,1462,19166,2155,265,229,1180,707,10767,1774,3923,968,1198,381,1833,612,123707,5492,1958,758,14556,2034,73918,4386,17305,1780,8214,1330,7756,1164,62649,3498,1913,584,10336,1928,36051,2591,8486,1174,1918,624,3945,843,17012,2053,254,206,780,369,8346,1383,3228,737,1167,444,3237,926,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,8636223,32707,218771,7512,806290,11750,3664235,21606,1981483,13979,845075,14259,1120369,12559,6886539,35014,147767,6799,619106,12682,2944802,25142,1601797,14930,682012,13192,891055,12364,783105,17887,35192,3342,83473,6134,364440,11482,162949,7460,63065,4152,73986,4600,179401,7747,10393,1703,30430,3791,75610,5536,31254,3051,13192,1727,18522,2135,321317,11257,17616,2066,50103,5224,124288,7990,65682,4246,25454,2439,38174,3601,465861,12632,7803,1681,23178,2776,155095,6740,119801,6649,61352,4358,98632,4830,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
