GEO_ID,C17001A_001E,C17001A_001M,C17001A_002E,C17001A_002M,C17001A_003E,C17001A_003M,C17001A_004E,C17001A_004M,C17001A_005E,C17001A_005M,C17001A_006E,C17001A_006M,C17001A_007E,C17001A_007M,C17001A_008E,C17001A_008M,C17001A_009E,C17001A_009M,C17001A_010E,C17001A_010M,C17001A_011E,C17001A_011M,C17001A_012E,C17001A_012M,C17001A_013E,C17001A_013M,C17001A_014E,C17001A_014M,C17001A_015E,C17001A_015M,C17001A_016E,C17001A_016M,C17001A_017E,C17001A_017M,C17001A_018E,C17001A_018M,C17001A_019E,C17001A_019M,NAME,C17001A_001EA,C17001A_001MA,C17001A_002MA,C17001A_002EA,C17001A_003MA,C17001A_003EA,C17001A_004MA,C17001A_004EA,C17001A_005EA,C17001A_005MA,C17001A_006EA,C17001A_006MA,C17001A_007EA,C17001A_007MA,C17001A_008MA,C17001A_008EA,C17001A_009MA,C17001A_009EA,C17001A_010EA,C17001A_010MA,C17001A_011EA,C17001A_011MA,C17001A_012EA,C17001A_012MA,C17001A_013MA,C17001A_013EA,C17001A_014MA,C17001A_014EA,C17001A_015MA,C17001A_015EA,C17001A_016EA,C17001A_016MA,C17001A_017EA,C17001A_017MA,C17001A_018EA,C17001A_018MA,C17001A_019MA,C17001A_019EA,state
0400000US01,3250747,7539,460999,16813,202347,9759,64511,5026,119831,6698,18005,1896,258652,9863,60835,4638,163197,6324,34620,2411,2789748,19049,1391880,10645,282956,5069,869052,7676,239872,1878,1397868,10802,268308,5055,843786,6667,285774,2909,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,474292,2954,33294,4401,14898,2211,3598,886,10457,1773,843,429,18396,2718,4342,1296,13094,1817,960,379,440998,5316,235485,3201,48001,1648,161070,2207,26414,745,205513,2960,45192,1456,135546,2189,24775,532,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5162472,24237,823395,23236,380788,13459,134913,7527,214692,8319,31183,2554,442607,12574,126157,6153,266981,8841,49469,3240,4339077,29869,2161903,17427,449667,8655,1298584,11836,413652,3073,2177174,15921,431262,7703,1280435,10845,465477,3176,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2265216,6402,354747,14085,156102,7860,54829,4482,89496,5375,11777,1423,198645,8058,51023,4259,122874,5634,24748,2611,1910469,15417,959086,9057,203861,4852,586453,5953,168772,1739,951383,8443,193003,4709,566003,5452,192377,2700,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23407972,56052,3508588,48425,1623847,28592,564014,16828,944810,17942,115023,5682,1884741,26211,539046,14643,1143416,17246,202279,6233,19899384,63011,10017906,35432,2074146,17773,6475617,25606,1468143,7881,9881478,35628,1981531,17910,6154912,22293,1745035,8029,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4427201,14671,479967,20482,222504,11200,66370,5038,140455,7722,15679,1756,257463,12192,64435,5729,168751,7336,24277,2376,3947234,21473,1988991,11422,437890,6790,1287089,8257,264012,1956,1958243,13799,412932,6771,1238258,8651,307053,2843,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2688645,11975,217102,12669,95900,6714,29650,3818,55816,4354,10434,1610,121202,7551,23530,3870,77424,4221,20248,2210,2471543,13702,1214497,7863,240865,3606,774948,6349,198684,1952,1257046,8512,236437,4204,775032,5101,245577,2258,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,633051,4066,62261,6555,26968,3291,8453,1949,15624,2243,2891,753,35293,4071,7281,1854,23510,2555,4502,1176,570790,6997,281572,3837,54011,2126,174131,2695,53430,858,289218,4330,51752,2156,174796,2708,62670,1294,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249670,4582,19413,3058,9059,1819,1082,809,7521,1485,456,251,10354,2087,870,633,8407,1633,1077,550,230257,4859,116380,2842,14601,1032,90524,2268,11255,573,113877,3034,13918,1001,86963,2360,12996,708,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14840640,29140,2082194,46656,928328,25377,260822,12870,553670,16586,113836,4829,1153866,26746,258282,10057,699289,17262,196295,7043,12758446,51983,6321751,29442,1110070,13739,3831282,19356,1380399,5531,6436695,29159,1058337,11781,3781958,19003,1596400,7009,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
