GEO_ID,B01002D_001E,B01002D_001M,B01002D_002E,B01002D_002M,B01002D_003E,B01002D_003M,NAME,B01002D_001MA,B01002D_001EA,B01002D_002MA,B01002D_002EA,B01002D_003MA,B01002D_003EA,state
0400000US01,35.1,1.3,33.6,3.3,36.4,2.4,Alabama,null,null,null,null,null,null,01
0400000US02,33.4,2.0,32.2,3.2,35.4,2.2,Alaska,null,null,null,null,null,null,02
0400000US04,35.2,0.6,33.2,0.8,37.6,1.1,Arizona,null,null,null,null,null,null,04
0400000US05,35.2,1.5,29.9,4.0,39.2,2.7,Arkansas,null,null,null,null,null,null,05
0400000US06,39.1,0.2,37.5,0.2,40.5,0.2,California,null,null,null,null,null,null,06
0400000US08,35.3,0.7,33.6,1.3,36.2,0.8,Colorado,null,null,null,null,null,null,08
0400000US09,34.7,0.8,33.8,0.9,35.3,0.5,Connecticut,null,null,null,null,null,null,09
0400000US10,33.6,0.4,33.3,1.1,34.0,0.9,Delaware,null,null,null,null,null,null,10
0400000US11,32.2,0.9,31.1,1.2,32.7,0.9,District of Columbia,null,null,null,null,null,null,11
0400000US12,38.5,0.5,37.1,0.6,39.7,0.6,Florida,null,null,null,null,null,null,12
0400000US13,35.0,0.4,33.9,0.6,35.7,0.4,Georgia,null,null,null,null,null,null,13
0400000US15,47.9,0.5,46.3,0.6,49.4,0.7,Hawaii,null,null,null,null,null,null,15
0400000US16,33.5,3.0,31.8,3.6,36.0,4.5,Idaho,null,null,null,null,null,null,16
0400000US17,35.7,0.3,34.6,0.3,36.8,0.5,Illinois,null,null,null,null,null,null,17
0400000US18,30.2,0.7,30.0,1.3,30.3,1.0,Indiana,null,null,null,null,null,null,18
0400000US19,30.4,1.5,27.5,2.8,32.7,1.6,Iowa,null,null,null,null,null,null,19
0400000US20,31.4,0.8,30.5,1.2,32.0,1.1,Kansas,null,null,null,null,null,null,20
0400000US21,33.2,1.1,33.3,2.3,33.0,1.7,Kentucky,null,null,null,null,null,null,21
0400000US22,34.2,1.7,32.6,1.4,35.6,2.0,Louisiana,null,null,null,null,null,null,22
0400000US23,36.4,2.1,35.7,3.4,36.6,4.2,Maine,null,null,null,null,null,null,23
0400000US24,37.0,0.4,36.1,0.6,37.8,0.6,Maryland,null,null,null,null,null,null,24
0400000US25,33.0,0.4,32.7,0.4,33.4,0.4,Massachusetts,null,null,null,null,null,null,25
0400000US26,33.0,0.5,32.0,0.6,34.2,0.5,Michigan,null,null,null,null,null,null,26
0400000US27,29.4,0.3,29.1,0.6,29.8,0.5,Minnesota,null,null,null,null,null,null,27
0400000US28,39.2,5.4,35.4,4.1,41.8,6.3,Mississippi,null,null,null,null,null,null,28
0400000US29,32.6,0.9,30.5,0.7,35.4,2.0,Missouri,null,null,null,null,null,null,29
0400000US30,28.3,4.3,23.6,1.2,34.8,8.2,Montana,null,null,null,null,null,null,30
0400000US31,30.7,1.2,29.4,1.9,32.1,1.8,Nebraska,null,null,null,null,null,null,31
0400000US32,41.0,0.7,38.2,1.2,42.7,0.8,Nevada,null,null,null,null,null,null,32
0400000US33,32.9,1.7,30.3,2.1,35.7,2.2,New Hampshire,null,null,null,null,null,null,33
0400000US34,36.4,0.3,36.0,0.3,36.9,0.3,New Jersey,null,null,null,null,null,null,34
0400000US35,38.6,1.7,34.0,5.2,40.0,1.8,New Mexico,null,null,null,null,null,null,35
0400000US36,36.3,0.2,35.6,0.2,37.0,0.2,New York,null,null,null,null,null,null,36
0400000US37,33.1,0.5,32.5,0.9,33.6,0.8,North Carolina,null,null,null,null,null,null,37
0400000US38,29.5,2.2,26.7,2.1,32.8,6.6,North Dakota,null,null,null,null,null,null,38
0400000US39,33.8,0.6,33.2,0.7,34.4,0.7,Ohio,null,null,null,null,null,null,39
0400000US40,32.3,0.7,31.2,1.0,33.4,1.2,Oklahoma,null,null,null,null,null,null,40
0400000US41,36.0,0.9,34.7,1.2,37.3,1.2,Oregon,null,null,null,null,null,null,41
0400000US42,33.5,0.4,32.9,0.3,34.2,0.3,Pennsylvania,null,null,null,null,null,null,42
0400000US44,30.7,0.8,31.8,2.4,30.2,1.7,Rhode Island,null,null,null,null,null,null,44
0400000US45,35.1,1.6,33.0,2.7,37.2,2.5,South Carolina,null,null,null,null,null,null,45
0400000US46,28.2,1.5,31.4,2.6,26.6,3.7,South Dakota,null,null,null,null,null,null,46
0400000US47,34.8,0.8,33.7,1.1,35.5,0.8,Tennessee,null,null,null,null,null,null,47
0400000US48,35.2,0.2,34.5,0.3,35.8,0.3,Texas,null,null,null,null,null,null,48
0400000US49,32.6,0.7,30.5,0.9,34.6,1.5,Utah,null,null,null,null,null,null,49
0400000US50,27.3,4.0,26.3,3.0,30.4,4.9,Vermont,null,null,null,null,null,null,50
0400000US51,36.1,0.4,35.1,0.4,36.9,0.5,Virginia,null,null,null,null,null,null,51
0400000US53,36.6,0.4,34.8,0.5,38.0,0.4,Washington,null,null,null,null,null,null,53
0400000US54,32.5,4.0,29.9,3.0,37.9,3.1,West Virginia,null,null,null,null,null,null,54
0400000US55,28.5,0.7,28.0,1.0,28.9,1.0,Wisconsin,null,null,null,null,null,null,55
0400000US56,37.5,11.3,28.9,16.6,40.8,15.5,Wyoming,null,null,null,null,null,null,56
0400000US72,34.4,7.0,36.3,13.3,34.1,9.5,Puerto Rico,null,null,null,null,null,null,72
