GEO_ID,B12502_001E,B12502_001M,B12502_002E,B12502_002M,B12502_003E,B12502_003M,B12502_004E,B12502_004M,B12502_005E,B12502_005M,B12502_006E,B12502_006M,B12502_007E,B12502_007M,B12502_008E,B12502_008M,B12502_009E,B12502_009M,B12502_010E,B12502_010M,B12502_011E,B12502_011M,NAME,B12502_001EA,B12502_001MA,B12502_002MA,B12502_002EA,B12502_003MA,B12502_003EA,B12502_004EA,B12502_004MA,B12502_005EA,B12502_005MA,B12502_006EA,B12502_006MA,B12502_007MA,B12502_007EA,B12502_008EA,B12502_008MA,B12502_009EA,B12502_009MA,B12502_010EA,B12502_010MA,B12502_011EA,B12502_011MA,state
0400000US01,3931966,3565,1878536,4030,621776,9121,1256760,8852,8146,1314,1248614,8946,2053430,3383,566426,9085,1487004,9191,19316,1597,1467688,9453,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,579778,1194,305440,1713,117205,4109,188235,4021,763,468,187472,3999,274338,1697,83733,3142,190605,2860,1281,491,189324,2862,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5381925,2298,2655529,2772,986840,12574,1668689,12213,7354,1159,1661335,12489,2726396,1795,810874,11697,1915522,11739,20564,2003,1894958,11775,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2381476,2931,1157713,3880,367542,7265,790171,7179,4508,889,785663,7306,1223763,3540,305010,6538,918753,5755,13306,1821,905447,5994,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,31206124,3092,15387827,3823,6217072,25440,9170755,24946,41585,3046,9129170,25370,15818297,3340,5280301,26401,10537996,26605,101868,5142,10436128,27010,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4309301,2682,2153568,3483,760603,10349,1392965,9162,5910,1082,1387055,9418,2155733,2503,601891,9295,1553842,8897,9160,1342,1544682,8998,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2967896,1050,1433554,1802,539976,7792,893578,7659,5669,1214,887909,7819,1534342,1569,485371,6290,1048971,6429,10524,1266,1038447,6495,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,765491,834,366631,834,132545,3166,234086,3213,1505,604,232581,3265,398860,760,123172,3801,275688,3678,2538,732,273150,3834,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,559363,238,262074,505,150865,3712,111209,3764,347,208,110862,3793,297289,534,165425,3553,131864,3613,1067,404,130797,3592,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,16544829,3434,8013533,5072,2819903,23429,5193630,23038,30528,3016,5163102,23049,8531296,4298,2409539,17158,6121757,17967,76601,4182,6045156,18754,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
