GEO_ID,B12002I_001E,B12002I_001M,B12002I_002E,B12002I_002M,B12002I_003E,B12002I_003M,B12002I_004E,B12002I_004M,B12002I_005E,B12002I_005M,B12002I_006E,B12002I_006M,B12002I_007E,B12002I_007M,B12002I_008E,B12002I_008M,B12002I_009E,B12002I_009M,B12002I_010E,B12002I_010M,B12002I_011E,B12002I_011M,B12002I_012E,B12002I_012M,B12002I_013E,B12002I_013M,NAME,B12002I_001EA,B12002I_001MA,B12002I_002MA,B12002I_002EA,B12002I_003MA,B12002I_003EA,B12002I_004MA,B12002I_004EA,B12002I_005EA,B12002I_005MA,B12002I_006EA,B12002I_006MA,B12002I_007MA,B12002I_007EA,B12002I_008MA,B12002I_008EA,B12002I_009MA,B12002I_009EA,B12002I_010MA,B12002I_010EA,B12002I_011EA,B12002I_011MA,B12002I_012MA,B12002I_012EA,B12002I_013MA,B12002I_013EA,state
0400000US01,127578,2204,69251,2259,30523,3133,33006,2664,1102,550,295,282,4325,1290,58327,2074,19382,2398,29182,2261,2879,1157,1928,667,4956,1342,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,35447,428,19399,663,9493,1131,7654,920,257,213,20,32,1975,900,16048,676,5977,854,7629,991,327,343,464,231,1651,572,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1467039,594,731914,550,344536,6253,304590,7448,15164,2454,9943,1734,57681,4630,735125,637,292756,6600,301031,7669,25999,3285,37499,2563,77840,4726,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,135463,1630,72143,1813,29941,2615,35664,2433,1196,524,597,491,4745,1192,63320,1704,23101,2318,32024,2179,1442,716,2557,900,4196,1077,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,11016830,1004,5521727,1275,2605659,15152,2390239,16264,121042,6268,76299,3964,328488,9997,5495103,1332,2243629,14612,2296786,18283,215475,8911,280284,7649,458929,11110,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,804807,1799,408301,2055,177685,5115,175876,5676,9974,1880,7089,1510,37677,3613,396506,1361,143420,4117,174294,5382,14339,1959,19790,2061,44663,3784,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,397235,782,198123,1014,100131,3791,74752,3559,4830,1109,1667,737,16743,2640,199112,621,91057,3064,65702,3389,8148,1668,8493,1355,25712,2779,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,57511,-555555555,29604,266,14344,1009,12411,1228,541,439,191,239,2117,890,27907,266,12131,1360,11501,1281,1021,511,1124,471,2130,652,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,53326,-555555555,27503,-555555555,15188,1655,10099,1476,854,553,86,146,1276,669,25823,-555555555,14446,1306,8849,1229,452,353,895,381,1181,517,District of Columbia,null,*****,*****,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3793284,1778,1859857,2627,753305,11253,852054,11182,47970,5565,29305,2772,177223,7248,1933427,2300,612484,9921,816741,12273,77657,5077,149655,5733,276890,7977,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,626736,3151,329842,3265,148554,6010,150283,6516,9354,1947,2456,847,19195,2990,296894,2858,111247,5367,143648,5084,10379,1807,11186,1734,20434,2677,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,97224,258,50681,534,25680,1564,20360,1516,488,286,396,303,3757,1064,46543,577,18970,1401,19739,1739,727,312,2163,562,4944,1017,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,130929,1289,67463,1501,27567,2250,33405,2261,1427,747,906,706,4158,1170,63466,1393,21715,1899,32722,2203,1860,963,1596,604,5573,1282,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,1539129,2297,791916,2194,368161,7040,357647,8213,13264,1839,8675,1049,44169,2965,747213,2333,304511,6625,333349,6383,24155,2318,29638,2106,55560,3993,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
