GEO_ID,B24011_001E,B24011_001M,B24011_002E,B24011_002M,B24011_003E,B24011_003M,B24011_004E,B24011_004M,B24011_005E,B24011_005M,B24011_006E,B24011_006M,B24011_007E,B24011_007M,B24011_008E,B24011_008M,B24011_009E,B24011_009M,B24011_010E,B24011_010M,B24011_011E,B24011_011M,B24011_012E,B24011_012M,B24011_013E,B24011_013M,B24011_014E,B24011_014M,B24011_015E,B24011_015M,B24011_016E,B24011_016M,B24011_017E,B24011_017M,B24011_018E,B24011_018M,B24011_019E,B24011_019M,B24011_020E,B24011_020M,B24011_021E,B24011_021M,B24011_022E,B24011_022M,B24011_023E,B24011_023M,B24011_024E,B24011_024M,B24011_025E,B24011_025M,B24011_026E,B24011_026M,B24011_027E,B24011_027M,B24011_028E,B24011_028M,B24011_029E,B24011_029M,B24011_030E,B24011_030M,B24011_031E,B24011_031M,B24011_032E,B24011_032M,B24011_033E,B24011_033M,B24011_034E,B24011_034M,B24011_035E,B24011_035M,B24011_036E,B24011_036M,NAME,B24011_001EA,B24011_001MA,B24011_002EA,B24011_002MA,B24011_003EA,B24011_003MA,B24011_004EA,B24011_004MA,B24011_005MA,B24011_005EA,B24011_006MA,B24011_006EA,B24011_007EA,B24011_007MA,B24011_008EA,B24011_008MA,B24011_009EA,B24011_009MA,B24011_010MA,B24011_010EA,B24011_011MA,B24011_011EA,B24011_012MA,B24011_012EA,B24011_013MA,B24011_013EA,B24011_014MA,B24011_014EA,B24011_015MA,B24011_015EA,B24011_016MA,B24011_016EA,B24011_017MA,B24011_017EA,B24011_018MA,B24011_018EA,B24011_019EA,B24011_019MA,B24011_020EA,B24011_020MA,B24011_021MA,B24011_021EA,B24011_022MA,B24011_022EA,B24011_023MA,B24011_023EA,B24011_024EA,B24011_024MA,B24011_025EA,B24011_025MA,B24011_026MA,B24011_026EA,B24011_027MA,B24011_027EA,B24011_028MA,B24011_028EA,B24011_029MA,B24011_029EA,B24011_030EA,B24011_030MA,B24011_031EA,B24011_031MA,B24011_032MA,B24011_032EA,B24011_033MA,B24011_033EA,B24011_034MA,B24011_034EA,B24011_035EA,B24011_035MA,B24011_036EA,B24011_036MA,state
0400000US01,30388,249,48319,904,54490,2187,57997,3356,50744,1380,67906,4564,69149,5509,72338,6158,46970,10535,39782,1745,37556,2303,66982,7769,40184,1570,30480,2445,45435,719,52819,2403,31304,971,15804,364,20231,929,33987,2563,23911,2387,40919,1674,11389,365,16728,722,12840,1050,25320,455,23580,1365,25946,456,31182,552,23155,4384,27343,1281,36824,1033,28606,1104,30712,804,30772,930,22348,1038,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,41707,867,60619,881,64003,4203,64641,4602,62413,6079,69006,4739,67219,6430,89188,7121,51157,5609,48579,3646,46591,3141,81408,29181,51307,3813,36528,10742,62395,4216,75705,5242,41799,5421,22132,1192,31931,1885,47316,18786,42262,14618,60213,21585,19737,1726,20052,5436,19543,3996,34226,2347,32035,2436,35779,2059,57394,5214,31614,5580,61109,2225,55567,8325,34526,4799,31993,5877,41463,7645,26353,6870,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,31663,188,50164,551,55905,1323,61814,1001,48121,2269,66777,2512,65947,4140,77225,3199,44992,5878,35844,505,36307,1074,63986,8551,34416,1182,31173,1457,56477,1867,68678,2721,34537,2676,17367,354,24272,1261,41154,1367,30797,1736,50467,1707,13372,764,17669,1012,15474,661,28299,861,27728,1807,28509,827,31567,566,14639,3193,30637,631,38177,3127,27291,1208,30277,1134,31701,1017,18621,1777,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,28798,749,44677,1492,51035,1146,52359,3160,44696,3706,56360,3383,56527,4837,58552,7929,51321,5667,37243,1289,36384,3619,55640,13122,38316,1897,26079,5525,45967,1591,52690,3282,31635,2679,15345,580,19129,1938,35574,1548,28811,5046,36682,954,11315,451,16824,1098,15371,988,24494,841,23203,2238,24841,785,30163,947,21827,1713,28833,1694,35290,3093,28386,1194,29784,1572,32306,1715,21440,755,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,34537,341,61938,192,67418,677,73064,1410,60001,1302,82006,619,86568,1045,86331,1377,61118,1329,44246,1033,41539,667,91478,2302,38220,1728,42168,677,65477,1250,80883,498,40508,761,18590,217,25062,600,48972,2727,26718,783,80975,813,15622,224,19349,353,14785,442,29547,487,26648,371,30655,225,30272,302,16534,374,31955,316,38307,1762,27047,221,28026,592,33225,1216,20679,360,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,36365,226,54914,863,60556,554,62863,2728,54690,2158,73748,2038,76505,2161,76535,2464,55787,3594,40177,754,41436,1053,71624,7233,36501,907,32367,3430,55040,1803,61742,1129,37417,2033,19209,601,24779,1293,43141,3539,30821,1852,60033,4687,15131,680,18405,1402,16841,845,30802,402,31798,872,30300,474,34884,1379,21171,1468,34166,2220,39478,2485,30520,567,30628,802,35593,2128,23268,1318,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,41801,341,65716,704,77209,1986,83092,3872,68591,3685,75037,2476,76088,2404,78455,3444,59308,7257,47167,1477,45066,3653,102276,5995,43237,3052,41600,3135,61211,1175,70931,1475,41805,2298,21211,578,25664,984,61375,3038,40122,8654,71738,3990,16006,805,22820,2260,18287,1654,33854,1480,35145,2644,33316,1303,42302,1408,20638,2399,40959,1402,48452,4431,31664,937,36057,1817,31308,2764,20233,1920,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,36763,741,55552,2093,60402,2920,63406,4209,51930,3004,67110,4554,72564,8568,66321,2264,65273,6196,46390,1666,39869,3548,79515,15553,46040,2571,30714,7625,55669,4789,66479,2615,37349,3789,18847,1198,25949,1450,48102,4518,40756,9015,59750,15013,12242,1691,21772,4044,13762,1568,28350,2064,22636,1972,31129,1085,42064,4831,17280,23660,40734,5391,50453,6547,31945,1704,36064,2384,33257,3920,21038,4344,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,51931,950,75946,1650,79309,3569,86489,5877,71601,8061,76867,3274,76300,4190,81260,5417,75798,11480,68400,5846,53882,7336,137191,15991,46477,8510,57400,8916,70792,11060,72050,7219,46430,18416,25233,1529,26993,2810,39542,3609,34476,5225,64450,8781,20572,2436,22677,3492,25995,3799,37119,3599,29689,6480,40263,2232,37081,3382,-666666666,-222222222,36332,2877,43724,27997,25796,2454,20934,7518,27382,4371,24267,6888,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,-,**,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,30104,129,47315,317,52365,481,57062,1023,47927,1283,60658,707,62172,1239,61879,1517,47439,2706,37844,627,36969,845,56538,3093,37006,598,31519,885,50464,532,60780,516,34290,1875,18517,273,21983,342,36590,1035,26143,1663,47309,1639,15545,317,17129,317,16411,421,26260,207,25587,504,26594,244,27660,696,17868,1192,26050,562,33509,1476,25375,384,26592,488,28129,1562,18633,1082,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
