GEO_ID,C01001A_001E,C01001A_001M,C01001A_002E,C01001A_002M,C01001A_003E,C01001A_003M,C01001A_004E,C01001A_004M,C01001A_005E,C01001A_005M,C01001A_006E,C01001A_006M,C01001A_007E,C01001A_007M,C01001A_008E,C01001A_008M,C01001A_009E,C01001A_009M,NAME,C01001A_001EA,C01001A_001MA,C01001A_002EA,C01001A_002MA,C01001A_003MA,C01001A_003EA,C01001A_004MA,C01001A_004EA,C01001A_005MA,C01001A_005EA,C01001A_006MA,C01001A_006EA,C01001A_007MA,C01001A_007EA,C01001A_008EA,C01001A_008MA,C01001A_009EA,C01001A_009MA,state
0400000US01,3320273,6197,1628317,4295,351267,2874,1015834,2685,261216,733,1691956,3964,335453,2617,1023749,2208,332754,1158,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,483584,2777,257596,1791,52176,1207,177887,1352,27533,535,225988,1814,50235,1019,149731,1246,26022,392,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5273335,23780,2620038,13344,594967,7046,1575524,9199,449547,1617,2653297,13073,566774,6670,1564751,7939,521772,1570,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2322472,6143,1146404,4279,262157,2819,699894,2491,184353,866,1176068,3447,247811,2483,700763,2074,227494,738,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23814044,55051,11889237,32169,2676263,16118,7607083,21755,1605891,5505,11924807,30490,2554909,15986,7379476,19189,1990422,6002,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4520381,14471,2269699,9062,510444,5174,1474757,5277,284498,1210,2250682,7938,482823,4316,1427916,4774,339943,1445,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2763949,11640,1346129,6738,274058,3089,857706,5197,214365,883,1417820,6532,262497,3196,875212,4294,280111,1025,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,647533,4080,315880,2424,63590,1401,195216,1579,57074,404,331653,2517,59471,1625,202553,1495,69629,324,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,265077,3969,132670,2349,15973,1048,104593,1728,12104,486,132407,2152,14951,1021,103182,1500,14274,344,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,15113860,28793,7415057,15117,1396059,8084,4505436,11407,1513562,2640,7698803,17070,1336023,8506,4534581,11536,1828199,4023,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
