GEO_ID,B18101A_001E,B18101A_001M,B18101A_002E,B18101A_002M,B18101A_003E,B18101A_003M,B18101A_004E,B18101A_004M,B18101A_005E,B18101A_005M,B18101A_006E,B18101A_006M,B18101A_007E,B18101A_007M,B18101A_008E,B18101A_008M,B18101A_009E,B18101A_009M,B18101A_010E,B18101A_010M,NAME,B18101A_001MA,B18101A_001EA,B18101A_002EA,B18101A_002MA,B18101A_003EA,B18101A_003MA,B18101A_004EA,B18101A_004MA,B18101A_005EA,B18101A_005MA,B18101A_006MA,B18101A_006EA,B18101A_007MA,B18101A_007EA,B18101A_008EA,B18101A_008MA,B18101A_009EA,B18101A_009MA,B18101A_010EA,B18101A_010MA,state
0400000US01,3272871,6799,685992,3429,30122,3293,655870,4858,2008608,4431,283762,8750,1724846,9970,578271,1625,239475,5227,338796,5461,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,466884,3078,102313,1467,3712,1012,98601,1679,311579,2497,29793,2425,281786,2852,52992,736,20270,1399,32722,1489,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5194993,24354,1160513,11836,44979,3914,1115534,12898,3074699,15843,321995,8892,2752704,17732,959781,2712,329015,7232,630766,7188,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2286585,6285,508641,3208,25428,2447,483213,4175,1380270,3811,203815,7019,1176455,8431,397674,1458,165888,4657,231786,4427,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23518476,54861,5223275,25822,170065,7008,5053210,25934,14764721,35602,1281191,18697,13483530,36515,3530480,9971,1254640,14316,2275840,16173,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4451583,14910,992406,7481,31697,3935,960709,7697,2848156,9058,246888,8945,2601268,11704,611021,2132,200608,4842,410413,4816,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2727517,11622,536060,4944,18193,2388,517867,5292,1716514,8354,142895,6439,1573619,8391,474943,1821,148056,4415,326887,4727,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,638797,4079,122938,2210,5346,1290,117592,2639,392366,2544,39060,3466,353306,4715,123493,664,37781,1849,85712,1919,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,261477,4063,30815,1725,317,290,30498,1730,204878,2847,6536,1230,198342,3180,25784,776,5417,946,20367,1085,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14917817,28791,2727443,13897,111767,6520,2615676,15507,8903444,20129,900563,15568,8002881,25030,3286930,5830,1087765,13919,2199165,13287,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,5947358,16998,1330535,8485,46268,3490,1284267,9488,3709346,10513,396885,10096,3312461,16586,907477,2528,336320,6799,571157,6522,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,329446,3981,51648,1885,1763,600,49885,1899,217173,2853,19348,2468,197825,3482,60625,692,18791,1519,41834,1597,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,1479355,5474,380846,3145,15397,2467,365449,3598,876316,3670,89873,4460,786443,5635,222193,1143,82218,3379,139975,3457,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,9181739,21888,1971628,9953,65652,3913,1905976,10517,5796423,14669,466695,9775,5329728,16492,1413688,3293,482439,7195,931249,6918,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,5474280,10923,1241470,5248,57567,3840,1183903,6753,3399507,7188,404288,10102,2995219,12705,833303,1796,308156,6746,525147,6547,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,2798714,4040,630120,2157,24772,2322,605348,3081,1712972,2981,159354,6463,1553618,6706,455622,1165,143900,3978,311722,3809,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,2421071,7238,578759,4254,23928,2491,554831,4849,1474687,4420,160063,5511,1314624,6279,367625,1409,130799,3263,236826,3303,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,3794977,5657,840322,3554,46646,3158,793676,4546,2363234,4268,384219,9955,1979015,10599,591421,1407,254785,5810,336636,5831,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,2868466,6765,622821,2871,33288,3547,589533,4404,1794521,4883,221364,6574,1573157,8287,451124,1638,173432,4687,277692,4741,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,1246912,1615,233165,760,14513,2296,218652,2285,782063,1535,109232,5429,672831,5527,231684,680,77433,3027,154251,3026,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,3383654,13091,688769,5813,27097,3221,661672,6286,2135678,8528,180418,7474,1955260,10704,559207,2081,175872,4295,383335,4290,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,5287568,13723,1003243,6846,37782,3481,965461,7668,3404937,8903,308025,9071,3096912,13682,879388,2283,280504,6251,598884,6691,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,7750395,10232,1615442,5634,76146,4086,1539296,6290,4836015,5787,564983,8883,4271032,10178,1298938,1996,459078,6458,839860,6563,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,4561316,8131,975007,3939,36266,2957,938741,4434,2874683,4863,234147,7267,2640536,7792,711626,1285,222254,4725,489372,4754,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,1730616,4513,378097,2227,15179,2276,362918,3105,1046852,3555,152725,6247,894127,6227,305667,1184,131016,4548,174651,4547,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,4908578,6537,1068297,3559,48456,4343,1019841,4787,3035710,4517,390114,8972,2645596,10109,804571,1706,292074,6093,512497,6182,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,902040,1621,186610,823,6620,1236,179990,1690,556800,1375,59154,3298,497646,3637,158630,614,53388,2908,105242,2884,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,1638007,5155,386167,2752,14899,1910,371268,3341,1003813,3013,89152,3629,914661,4297,248027,1021,86070,3036,161957,2937,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,1911802,12113,405563,5938,16453,2307,389110,6139,1183950,8312,141701,6537,1042249,10716,322289,1717,116875,4132,205414,4376,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,1226848,2608,239649,1420,12435,2016,227214,2362,789587,1843,75568,4638,714019,4620,197612,585,64427,2896,133185,2996,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,5992768,23011,1248367,9797,42927,3570,1205440,10216,3721444,15617,289914,8559,3431530,16308,1022957,2770,339468,6763,683489,6917,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,1499697,15492,335843,7713,10818,1916,325025,7959,899233,8962,113990,6113,785243,9915,264621,2424,104219,3716,160402,3705,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,12493354,30552,2448269,13079,90144,5170,2358125,13682,7918776,20118,697500,12832,7221276,24725,2126309,5632,724659,8496,1401650,8786,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,6749088,14535,1417399,8097,59180,4567,1358219,9511,4180164,8616,481918,12233,3698246,15963,1151525,2415,410073,6577,741452,6747,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,641669,2501,137693,912,4142,1075,133551,1460,408363,1988,33003,2527,375360,3449,95613,396,32347,1911,63266,2023,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,9401740,8504,2007474,4036,96034,5159,1911440,6509,5846185,5850,664417,12317,5181768,13172,1548081,2674,538965,7981,1009116,8322,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,2774307,6279,608734,3627,29793,2180,578941,4331,1699965,4359,242495,6387,1457470,7739,465608,1286,193613,4272,271995,4192,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,3328278,13399,666831,6404,32787,3605,634044,7107,2076445,8186,271490,8885,1804955,11577,585002,1613,221254,5586,363748,5622,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,10281221,14251,2010467,7008,99639,4589,1910828,7757,6412236,9704,682468,13273,5729768,14387,1858518,2773,634444,8477,1224074,8509,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,845981,5512,155411,2777,5920,1386,149491,3056,543720,3469,62398,4284,481322,5245,146850,990,52547,2872,94303,2761,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,3198671,9371,652877,4492,29071,3110,623806,5241,1964203,6743,235778,7744,1728425,10098,581591,1729,207100,4449,374491,4599,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,711661,2335,159300,1313,4914,1126,154386,1688,435412,1693,43932,3162,391480,3468,116949,542,39776,1815,77173,1954,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,5017804,8406,1065451,4212,49878,3644,1015573,4888,3113335,5895,438253,9797,2675082,11039,839018,1699,327590,6801,511428,6498,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,19949166,40428,5178173,18124,215243,9273,4962930,20877,12248919,26522,1198084,22017,11050835,26605,2522074,6501,978934,12233,1543140,11760,Texas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,2545846,10017,761595,5137,25698,2416,735897,5627,1508072,6311,133265,6245,1374807,8902,276179,1129,94794,3212,181385,3259,Utah,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,586376,1732,110936,653,6935,1288,104001,1487,375363,1188,44647,3093,330716,3390,100077,668,33989,1947,66088,1972,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,5605274,14711,1173897,6678,40212,2647,1133685,7538,3543055,10442,333757,10263,3209298,14164,888322,2235,298335,6304,589987,6731,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,5407476,16165,1132073,7466,44305,3552,1087768,8123,3414861,9938,394274,9793,3020587,13431,860542,2190,310857,5949,549685,5951,Washington,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,1708997,2658,346059,1492,19196,2432,326863,3114,1054970,1999,188872,6237,866098,6707,307968,747,136455,3806,171513,3767,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,4914866,7836,1022924,4214,41542,2738,981382,4919,3087157,4779,290886,7261,2796271,8799,804785,1624,250207,5088,554578,4975,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,523631,2779,120703,1279,4279,1218,116424,1655,328530,1911,33675,3380,294855,3663,74398,646,26219,1657,48179,1708,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2503952,22029,548385,9356,39270,3519,509115,9322,1495242,14661,263921,8147,1231321,14730,460325,5459,223435,5426,236890,5221,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,72
