GEO_ID,B15002I_001E,B15002I_001M,B15002I_002E,B15002I_002M,B15002I_003E,B15002I_003M,B15002I_004E,B15002I_004M,B15002I_005E,B15002I_005M,B15002I_006E,B15002I_006M,B15002I_007E,B15002I_007M,B15002I_008E,B15002I_008M,B15002I_009E,B15002I_009M,B15002I_010E,B15002I_010M,B15002I_011E,B15002I_011M,B15002I_012E,B15002I_012M,B15002I_013E,B15002I_013M,B15002I_014E,B15002I_014M,B15002I_015E,B15002I_015M,B15002I_016E,B15002I_016M,B15002I_017E,B15002I_017M,B15002I_018E,B15002I_018M,B15002I_019E,B15002I_019M,NAME,B15002I_001EA,B15002I_001MA,B15002I_002EA,B15002I_002MA,B15002I_003MA,B15002I_003EA,B15002I_004MA,B15002I_004EA,B15002I_005EA,B15002I_005MA,B15002I_006EA,B15002I_006MA,B15002I_007MA,B15002I_007EA,B15002I_008EA,B15002I_008MA,B15002I_009MA,B15002I_009EA,B15002I_010MA,B15002I_010EA,B15002I_011EA,B15002I_011MA,B15002I_012EA,B15002I_012MA,B15002I_013EA,B15002I_013MA,B15002I_014MA,B15002I_014EA,B15002I_015EA,B15002I_015MA,B15002I_016EA,B15002I_016MA,B15002I_017EA,B15002I_017MA,B15002I_018MA,B15002I_018EA,B15002I_019EA,B15002I_019MA,state
0400000US01,99416,3110,52912,2336,14138,2206,8986,2015,10206,1690,1506,637,7135,1561,2642,786,5347,1206,2952,1074,46504,1909,11915,1581,6145,1297,9840,1437,797,431,7399,1590,2561,816,5972,1317,1875,706,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,24891,814,13053,777,1167,557,492,359,2893,926,511,375,4120,1107,1701,718,1669,636,500,307,11838,625,802,396,670,363,2730,917,479,292,3977,757,1189,640,1102,530,889,430,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1084292,1204,536177,1016,106338,5688,87370,5024,124545,5583,30868,3089,101394,5039,27958,2963,41336,3341,16368,2724,548115,729,102819,4399,78873,4892,116154,5728,23725,2680,122029,5101,35598,2971,47615,3242,21302,2562,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,98960,2015,53082,1731,17025,1884,9514,1650,10885,1961,3244,947,7112,1465,1425,680,1932,749,1945,696,45878,1767,13162,1734,8058,1651,10776,1571,2008,670,5984,1198,1362,614,3191,861,1337,639,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8356891,1575,4158717,1460,989784,14666,663657,12559,979568,14671,130384,5650,740816,13274,215283,7133,310442,10050,128783,5470,4198174,1205,1013077,13039,584437,11147,907600,11810,99578,5518,815289,13004,267181,7640,358974,9894,152038,5981,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,611256,2081,308774,1879,58958,3884,45320,3777,68678,4305,20922,2233,59043,3866,16182,2167,27689,2715,11982,1540,302482,1294,45990,3253,39344,3489,72206,4324,17569,2366,60588,3721,23521,2256,28575,2540,14689,1924,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,300783,1336,147658,1288,24604,3385,19410,2660,44657,3524,8693,1647,22013,2996,5446,1260,14641,2138,8194,1413,153125,765,21344,2437,20117,2358,37408,2872,8609,1755,27919,2493,10390,1677,16990,1925,10348,1599,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,42404,576,21452,371,4949,1191,2704,989,6221,1235,636,470,3605,942,1028,653,1674,675,635,410,20952,418,3750,914,2909,757,3988,1098,457,373,3622,972,1794,552,2707,778,1725,763,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,43966,-555555555,22844,-555555555,5385,1232,2477,999,1886,700,1322,779,1773,915,618,472,3276,895,6107,1400,21122,-555555555,4324,1446,1863,756,2685,903,424,292,1824,868,942,501,4166,834,4894,1031,District of Columbia,null,*****,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3101324,4168,1500210,3302,195802,8694,155050,7531,397393,11458,58404,5003,265795,9173,117731,6856,205284,9037,104751,5230,1601114,2835,193527,8069,141384,5748,402743,11217,45319,3653,293533,9185,165184,6409,249532,9093,109892,6149,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,471297,4595,246975,3778,65619,4882,39048,3504,56710,5179,9700,1802,32896,3219,9175,1700,22936,2918,10891,2091,224322,2979,54445,3771,28303,2699,51433,3997,6662,1659,32985,3386,11573,1952,27337,3428,11584,1908,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,71345,822,36617,749,1403,548,3190,1076,11983,1565,1531,519,8629,1261,3025,859,4807,1024,2049,607,34728,481,448,286,2302,626,8324,1259,1781,785,10516,1434,3077,742,6650,1351,1630,525,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
