GEO_ID,B14007A_001E,B14007A_001M,B14007A_002E,B14007A_002M,B14007A_003E,B14007A_003M,B14007A_004E,B14007A_004M,B14007A_005E,B14007A_005M,B14007A_006E,B14007A_006M,B14007A_007E,B14007A_007M,B14007A_008E,B14007A_008M,B14007A_009E,B14007A_009M,B14007A_010E,B14007A_010M,B14007A_011E,B14007A_011M,B14007A_012E,B14007A_012M,B14007A_013E,B14007A_013M,B14007A_014E,B14007A_014M,B14007A_015E,B14007A_015M,B14007A_016E,B14007A_016M,B14007A_017E,B14007A_017M,B14007A_018E,B14007A_018M,B14007A_019E,B14007A_019M,NAME,B14007A_001EA,B14007A_001MA,B14007A_002EA,B14007A_002MA,B14007A_003EA,B14007A_003MA,B14007A_004EA,B14007A_004MA,B14007A_005MA,B14007A_005EA,B14007A_006EA,B14007A_006MA,B14007A_007EA,B14007A_007MA,B14007A_008EA,B14007A_008MA,B14007A_009EA,B14007A_009MA,B14007A_010EA,B14007A_010MA,B14007A_011MA,B14007A_011EA,B14007A_012MA,B14007A_012EA,B14007A_013MA,B14007A_013EA,B14007A_014EA,B14007A_014MA,B14007A_015EA,B14007A_015MA,B14007A_016MA,B14007A_016EA,B14007A_017MA,B14007A_017EA,B14007A_018MA,B14007A_018EA,B14007A_019EA,B14007A_019MA,state
0400000US01,3213927,6957,735984,9662,34746,3145,37084,3206,36569,3119,41233,3226,37738,2821,34885,3123,38051,3267,40496,3074,42271,3552,42806,3092,40942,3091,39042,2650,39418,2413,39067,3472,160105,6470,31531,3459,2477943,8922,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,466655,3011,117403,3306,5614,1059,5601,1123,5553,1017,6426,979,4575,795,4810,867,6053,1057,5746,968,6254,1140,5286,1124,6647,1141,5873,960,6193,950,6729,1028,27725,2332,8318,1249,349252,3346,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5098917,22042,1280971,12866,61851,3461,63882,4220,66182,3588,64458,4401,65381,4472,66889,3509,66250,4601,63029,3757,67272,4060,64891,3858,66414,4016,69961,3815,61780,3796,72137,3910,303795,7998,56799,3387,3817946,18380,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2245278,5874,540467,7214,36363,3448,28592,2761,29435,2776,28557,2678,29178,2279,27707,2506,25571,2706,27915,2148,30289,2084,28294,2435,29543,2699,29037,2252,28001,2607,27109,2538,116317,4853,18559,2375,1704811,7022,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,22985515,52691,5977229,33696,330357,10180,285887,8841,276267,8303,292148,7861,294344,9426,291002,6900,291093,7553,292225,7393,287342,10155,291344,9471,304720,9174,301428,8130,304784,8653,362102,8599,1494571,21318,277615,7754,17008286,41813,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4361706,14006,1126880,12475,71689,3938,60466,3523,56180,3293,54590,2814,56932,3419,52146,3427,57911,3417,59705,3863,58547,3667,59143,4030,54711,2830,55833,3400,51180,2666,53157,3615,264248,7521,60442,4625,3234826,14029,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2691183,11463,655398,8076,40085,2968,24719,2257,27778,2498,28446,2725,31274,2420,31000,2505,32754,2863,33436,2656,32906,2786,36676,2677,33015,2697,35885,1961,34472,2350,38759,2889,158257,5564,35936,3087,2035785,10078,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,627996,4254,142239,3922,9597,1443,7563,1288,5413,866,5730,1217,7413,1110,6736,1297,7566,1387,6434,1437,6304,1207,8118,1502,6829,978,7128,1276,7305,1019,6043,1165,35315,2526,8745,1549,485757,3566,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,256235,3614,59128,3411,4962,916,1828,571,1611,745,1794,545,1650,608,1399,485,1522,700,1057,475,1550,660,629,334,916,414,756,310,1301,438,1016,406,21547,2109,15590,1735,197107,4235,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14692450,28436,3169391,22752,182118,6778,151503,6546,150160,7160,154976,6304,151459,6060,149472,6911,162385,6563,150224,6808,158424,6723,154158,7215,169882,6986,158563,6439,153137,6651,176648,6170,791605,14155,154677,6936,11523059,27979,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
