GEO_ID,B22005B_001E,B22005B_001M,B22005B_002E,B22005B_002M,B22005B_003E,B22005B_003M,NAME,B22005B_001MA,B22005B_001EA,B22005B_002MA,B22005B_002EA,B22005B_003EA,B22005B_003MA,state
0400000US01,477712,6311,145475,4832,332237,6362,Alabama,null,null,null,null,null,null,01
0400000US02,8944,1291,1902,889,7042,1481,Alaska,null,null,null,null,null,null,02
0400000US04,96705,3626,22810,2251,73895,3486,Arizona,null,null,null,null,null,null,04
0400000US05,174566,4686,49602,3362,124964,4066,Arkansas,null,null,null,null,null,null,05
0400000US06,816165,9891,139748,5579,676417,10059,California,null,null,null,null,null,null,06
0400000US08,73539,2962,16372,2158,57167,2894,Colorado,null,null,null,null,null,null,08
0400000US09,126954,4024,38049,2672,88905,3851,Connecticut,null,null,null,null,null,null,09
0400000US10,72059,2707,15388,1860,56671,2633,Delaware,null,null,null,null,null,null,10
0400000US11,127275,3227,34564,3071,92711,3725,District of Columbia,null,null,null,null,null,null,11
0400000US12,1004001,11996,298958,8307,705043,12254,Florida,null,null,null,null,null,null,12
0400000US13,1092629,10310,304276,9253,788353,12111,Georgia,null,null,null,null,null,null,13
0400000US15,11736,1450,1193,611,10543,1555,Hawaii,null,null,null,null,null,null,15
0400000US16,2380,570,1114,531,1266,603,Idaho,null,null,null,null,null,null,16
0400000US17,661661,7209,226255,7017,435406,7903,Illinois,null,null,null,null,null,null,17
0400000US18,226349,4885,73023,4138,153326,4813,Indiana,null,null,null,null,null,null,18
0400000US19,33946,2271,15008,1976,18938,2225,Iowa,null,null,null,null,null,null,19
0400000US20,63351,2777,17417,2198,45934,2848,Kansas,null,null,null,null,null,null,20
0400000US21,135922,4048,44877,3297,91045,4021,Kentucky,null,null,null,null,null,null,21
0400000US22,526868,7160,155497,5512,371371,6986,Louisiana,null,null,null,null,null,null,22
0400000US23,4358,684,2416,684,1942,524,Maine,null,null,null,null,null,null,23
0400000US24,628779,6983,129040,4596,499739,6764,Maryland,null,null,null,null,null,null,24
0400000US25,158820,4500,48211,3427,110609,4150,Massachusetts,null,null,null,null,null,null,25
0400000US26,514391,5687,196539,5462,317852,5994,Michigan,null,null,null,null,null,null,26
0400000US27,100384,3293,44383,3454,56001,2759,Minnesota,null,null,null,null,null,null,27
0400000US28,387926,6040,123211,5259,264715,6373,Mississippi,null,null,null,null,null,null,28
0400000US29,263420,4730,74733,3414,188687,4680,Missouri,null,null,null,null,null,null,29
0400000US30,1611,663,712,537,899,363,Montana,null,null,null,null,null,null,30
0400000US31,31234,1945,9332,1423,21902,1696,Nebraska,null,null,null,null,null,null,31
0400000US32,88985,3194,23256,2348,65729,3374,Nevada,null,null,null,null,null,null,32
0400000US33,5093,855,1089,500,4004,715,New Hampshire,null,null,null,null,null,null,33
0400000US34,422523,6583,84198,4379,338325,6127,New Jersey,null,null,null,null,null,null,34
0400000US35,13725,1414,2338,791,11387,1409,New Mexico,null,null,null,null,null,null,35
0400000US36,1077898,10491,302095,8809,775803,10901,New York,null,null,null,null,null,null,36
0400000US37,806457,7395,228589,6544,577868,8679,North Carolina,null,null,null,null,null,null,37
0400000US38,5932,967,2120,733,3812,1172,North Dakota,null,null,null,null,null,null,38
0400000US39,565976,6278,202497,5786,363479,7259,Ohio,null,null,null,null,null,null,39
0400000US40,107734,2641,30274,1912,77460,2692,Oklahoma,null,null,null,null,null,null,40
0400000US41,23615,1495,9801,1493,13814,1757,Oregon,null,null,null,null,null,null,41
0400000US42,498715,7113,170744,5542,327971,6904,Pennsylvania,null,null,null,null,null,null,42
0400000US44,23218,1610,8962,1277,14256,1600,Rhode Island,null,null,null,null,null,null,44
0400000US45,469589,6450,140137,5787,329452,6662,South Carolina,null,null,null,null,null,null,45
0400000US46,4213,850,957,444,3256,856,South Dakota,null,null,null,null,null,null,46
0400000US47,402170,5894,133524,5254,268646,5868,Tennessee,null,null,null,null,null,null,47
0400000US48,1161566,10401,264953,8151,896613,12191,Texas,null,null,null,null,null,null,48
0400000US49,8995,1316,1388,509,7607,1371,Utah,null,null,null,null,null,null,49
0400000US50,1349,498,270,216,1079,508,Vermont,null,null,null,null,null,null,50
0400000US51,581308,7387,122354,4741,458954,7959,Virginia,null,null,null,null,null,null,51
0400000US53,89256,3673,26251,2615,63005,3587,Washington,null,null,null,null,null,null,53
0400000US54,23921,1601,7311,1155,16610,1581,West Virginia,null,null,null,null,null,null,54
0400000US55,126151,3253,58621,3052,67530,3156,Wisconsin,null,null,null,null,null,null,55
0400000US56,2454,582,438,435,2016,710,Wyoming,null,null,null,null,null,null,56
0400000US72,113895,5375,44434,3345,69461,3828,Puerto Rico,null,null,null,null,null,null,72
