GEO_ID,B13015_001E,B13015_001M,B13015_002E,B13015_002M,B13015_003E,B13015_003M,B13015_004E,B13015_004M,B13015_005E,B13015_005M,B13015_006E,B13015_006M,B13015_007E,B13015_007M,B13015_008E,B13015_008M,B13015_009E,B13015_009M,B13015_010E,B13015_010M,B13015_011E,B13015_011M,B13015_012E,B13015_012M,B13015_013E,B13015_013M,B13015_014E,B13015_014M,B13015_015E,B13015_015M,NAME,B13015_001MA,B13015_001EA,B13015_002MA,B13015_002EA,B13015_003EA,B13015_003MA,B13015_004EA,B13015_004MA,B13015_005MA,B13015_005EA,B13015_006MA,B13015_006EA,B13015_007MA,B13015_007EA,B13015_008EA,B13015_008MA,B13015_009EA,B13015_009MA,B13015_010EA,B13015_010MA,B13015_011MA,B13015_011EA,B13015_012MA,B13015_012EA,B13015_013MA,B13015_013EA,B13015_014EA,B13015_014MA,B13015_015EA,B13015_015MA,state
0400000US01,1156187,3545,58890,3917,34294,2949,774,422,33520,2933,24596,2602,1965,713,22631,2564,1097297,5019,476064,8437,5514,1140,470550,8665,621233,9000,13462,2093,607771,9324,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,175566,2091,11703,1683,8861,1436,236,205,8625,1433,2842,738,405,234,2437,663,163863,2186,73430,2880,1178,404,72252,2914,90433,3278,3696,896,86737,3237,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1557582,3804,82774,5252,48818,3713,470,270,48348,3697,33956,3859,3117,967,30839,3611,1474808,6739,619095,10355,7309,1430,611786,10310,855713,11367,19973,2300,835740,11448,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,693987,4287,40479,3024,24304,2384,297,205,24007,2394,16175,1878,1537,689,14638,1889,653508,5495,304283,6295,3927,890,300356,6318,349225,7365,10312,1546,338913,7344,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,9650839,9573,472565,12298,317441,9911,13586,1821,303855,9761,155124,6328,27651,2439,127473,5811,9178274,15539,3856805,23204,97232,4845,3759573,22552,5321469,23016,211560,8154,5109909,23232,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1293015,3873,70525,5389,47600,3415,1017,576,46583,3381,22925,3095,3222,1353,19703,2840,1222490,6526,567411,9201,6556,1203,560855,9216,655079,9155,12626,2032,642453,8640,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,850651,2832,42104,3708,27833,2632,613,389,27220,2604,14271,2155,2655,1078,11616,1704,808547,4557,319799,6249,4820,1220,314979,6167,488748,6817,18365,2464,470383,7051,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,219746,1678,10944,1357,6749,1181,209,221,6540,1183,4195,832,363,276,3832,784,208802,2051,81731,3251,1302,659,80429,3446,127071,3282,4205,1070,122866,3416,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,200589,967,9901,1790,5096,1047,84,138,5012,1036,4805,1414,1057,455,3748,1322,190688,1928,47197,2702,1086,506,46111,2705,143491,3274,5727,1183,137764,3248,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4516605,7757,213196,8030,125409,5442,3724,1272,121685,5466,87787,5673,5987,1492,81800,5464,4303409,12091,1734480,17214,24128,2284,1710352,17414,2568929,17826,53477,4295,2515452,17558,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
