GEO_ID,B24092_001E,B24092_001M,B24092_002E,B24092_002M,B24092_003E,B24092_003M,B24092_004E,B24092_004M,B24092_005E,B24092_005M,B24092_006E,B24092_006M,B24092_007E,B24092_007M,B24092_008E,B24092_008M,B24092_009E,B24092_009M,B24092_010E,B24092_010M,B24092_011E,B24092_011M,B24092_012E,B24092_012M,B24092_013E,B24092_013M,B24092_014E,B24092_014M,B24092_015E,B24092_015M,B24092_016E,B24092_016M,B24092_017E,B24092_017M,B24092_018E,B24092_018M,NAME,B24092_001EA,B24092_001MA,B24092_002EA,B24092_002MA,B24092_003EA,B24092_003MA,B24092_004MA,B24092_004EA,B24092_005EA,B24092_005MA,B24092_006EA,B24092_006MA,B24092_007EA,B24092_007MA,B24092_008EA,B24092_008MA,B24092_009MA,B24092_009EA,B24092_010MA,B24092_010EA,B24092_011EA,B24092_011MA,B24092_012EA,B24092_012MA,B24092_013EA,B24092_013MA,B24092_014EA,B24092_014MA,B24092_015MA,B24092_015EA,B24092_016EA,B24092_016MA,B24092_017EA,B24092_017MA,B24092_018EA,B24092_018MA,state
0400000US01,44452,1425,42298,652,41839,500,61432,3891,48912,2664,42974,2384,49189,3847,70284,3225,31238,1563,32197,378,30127,514,30015,620,39196,8673,36898,1631,36828,1881,42067,1379,56927,4576,21226,2040,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,60557,892,57999,3638,56631,2229,85466,22149,60698,5425,63725,3578,64854,7699,65212,6389,45311,10496,46636,1354,41450,1533,41065,1468,50240,14634,50356,4091,52578,5793,57391,3537,56315,9962,36184,5506,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,44534,1070,42403,853,41794,492,62485,3623,50268,2578,49079,1755,47218,1796,65024,4327,33312,3574,36941,371,35335,520,35128,593,50874,1951,41537,1487,40850,709,40297,1050,51573,1702,29057,3685,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,40014,671,39838,990,39298,1281,50370,6734,47387,4019,36932,1884,39656,2557,56642,3192,31031,1340,31202,467,28949,1415,28819,1438,31538,6878,36560,2608,34650,2419,36839,1076,53435,6370,25187,4415,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,50748,156,48363,533,46976,306,76391,1736,56296,1213,70682,589,70516,716,61959,975,40381,633,42704,470,40387,205,40154,209,52507,5240,50922,472,53876,1427,54283,1797,57087,923,30650,557,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,51107,351,50638,445,50129,612,61249,1225,55147,4814,53214,2385,52216,3507,70230,5254,36982,1477,41727,384,40388,458,40232,481,48155,3759,45412,1347,46204,942,46219,1139,60343,5302,30558,2798,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,61616,536,61156,635,60689,671,80123,7974,61314,2107,68588,3702,71689,3294,63362,4399,52183,3626,50737,599,47197,1178,47024,1119,59375,13981,52357,2382,60120,2547,64539,3192,61744,6255,41563,2213,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,51118,763,50521,1197,50049,2448,61286,9739,52914,9174,55983,4621,55385,7857,61304,7102,36738,11970,41473,1144,40116,1434,39928,1454,50957,2069,46216,2619,45522,5849,45210,3138,52089,14830,26424,6157,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,70634,3047,61318,2125,60240,5647,101256,25006,65675,7796,65184,14446,52494,5396,98598,5687,56087,23311,61930,1484,56197,2853,56226,2726,51281,36468,62015,3687,50441,7334,50521,6642,86406,7289,51078,8000,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,40993,231,40166,282,38795,789,50762,640,44044,3240,49667,1196,44249,1929,60887,1266,30840,861,34830,459,32164,203,32062,203,37263,3120,39474,1199,40269,442,39222,1232,52905,2235,22720,1692,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,45153,440,45031,738,43351,1074,60288,3714,50051,2713,41236,836,43739,1883,57429,3366,35471,2954,36512,346,34354,794,34090,765,39137,5083,45437,1298,40324,855,40646,815,53276,3364,26526,1879,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,47581,1354,42362,1555,41812,700,71646,10370,50926,3350,53719,5593,50395,1478,65262,6588,41063,5425,40171,764,36382,771,36178,767,50784,4927,43522,3337,46851,8334,49066,2122,57160,4694,30615,3787,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,42730,1682,40810,1190,40095,1977,60687,8518,49191,10845,47442,4196,47356,3229,59842,4266,47342,9155,31009,616,28132,1329,27742,1266,36711,4206,41347,7224,32908,2682,37141,4180,49925,5545,23776,4962,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,51763,230,51071,244,50660,257,68157,5130,51659,1277,62090,1362,61667,1129,64173,2958,41534,1379,40946,265,38268,714,37950,724,50451,3631,45082,1119,50898,834,50465,891,57168,2377,30373,1969,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,46389,477,46057,505,45594,542,57584,6436,50527,1453,47472,1489,47539,2154,61759,2609,35240,3324,34941,508,32397,358,32355,293,38460,5626,40018,1609,37614,1190,40836,1071,52881,2646,22124,1854,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
