GEO_ID,B19101H_001E,B19101H_001M,B19101H_002E,B19101H_002M,B19101H_003E,B19101H_003M,B19101H_004E,B19101H_004M,B19101H_005E,B19101H_005M,B19101H_006E,B19101H_006M,B19101H_007E,B19101H_007M,B19101H_008E,B19101H_008M,B19101H_009E,B19101H_009M,B19101H_010E,B19101H_010M,B19101H_011E,B19101H_011M,B19101H_012E,B19101H_012M,B19101H_013E,B19101H_013M,B19101H_014E,B19101H_014M,B19101H_015E,B19101H_015M,B19101H_016E,B19101H_016M,B19101H_017E,B19101H_017M,NAME,B19101H_001EA,B19101H_001MA,B19101H_002EA,B19101H_002MA,B19101H_003MA,B19101H_003EA,B19101H_004EA,B19101H_004MA,B19101H_005EA,B19101H_005MA,B19101H_006EA,B19101H_006MA,B19101H_007MA,B19101H_007EA,B19101H_008EA,B19101H_008MA,B19101H_009EA,B19101H_009MA,B19101H_010MA,B19101H_010EA,B19101H_011MA,B19101H_011EA,B19101H_012EA,B19101H_012MA,B19101H_013EA,B19101H_013MA,B19101H_014EA,B19101H_014MA,B19101H_015MA,B19101H_015EA,B19101H_016MA,B19101H_016EA,B19101H_017EA,B19101H_017MA,state
0400000US01,864234,9439,37651,3413,24581,2416,29029,2759,38165,3021,38914,2929,39906,3169,41554,3155,41758,2789,42995,3183,75000,4532,102571,4684,128649,5457,86568,4459,50822,3100,48776,2967,37295,2322,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,113584,2989,2492,780,1260,589,1945,703,1737,507,2221,606,2480,680,2734,768,3409,920,3564,920,6623,989,12589,1597,17821,2141,18809,1901,11544,1413,13596,1395,10760,1626,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,988480,10738,35725,2954,18553,2406,24116,2479,30215,2473,39169,3261,42037,3318,43088,2921,44796,3310,43576,3068,90271,5149,116598,5135,150868,5719,108789,4668,65308,3176,66050,3863,69321,3865,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,583922,7876,24392,2468,18878,2106,23721,2189,29631,2891,30514,2267,29892,2517,33845,2441,31174,2556,29305,2508,57145,3571,67531,3415,82954,5365,52813,3464,26617,2450,23359,2222,22151,2112,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,3830625,16508,106061,5067,71647,4015,82185,4285,98840,5557,109234,5292,114173,5389,117516,4964,121622,5413,114981,3965,236260,5895,358737,9013,517040,10314,455001,8943,328098,8603,429209,9237,570021,8962,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,970790,7765,21348,2159,13073,1689,19167,2137,24710,2079,29468,2571,32615,2898,30890,2632,34721,3021,33863,2382,71226,3935,107546,4537,156701,5190,124108,4912,80269,4224,95339,3818,95746,3591,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,646293,7810,11420,1812,6760,1355,8517,1586,10981,1326,15885,2066,16142,1584,18450,1991,16971,1836,17036,1899,36860,3012,58909,3269,99013,5125,82886,4544,64803,4031,78783,3683,102877,4032,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,158156,3235,4506,1095,2091,683,2781,739,4303,859,5298,1043,7159,1289,5698,1122,5993,1127,6415,1075,11892,1345,18491,2025,25202,2047,18851,1640,12570,1653,13520,1470,13386,1594,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,38699,1852,474,368,132,170,45,76,210,173,308,247,405,383,111,114,321,183,301,210,440,282,2081,559,2673,702,4070,902,2861,584,7164,1063,17103,1459,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2844694,18110,95594,5053,62815,4317,82511,5367,110056,5216,119327,5225,135355,5568,131027,5565,138793,5904,132338,5950,257912,8220,332516,8108,410694,10058,290426,8314,170679,4966,174912,6060,199739,7104,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
