GEO_ID,B19001G_001E,B19001G_001M,B19001G_002E,B19001G_002M,B19001G_003E,B19001G_003M,B19001G_004E,B19001G_004M,B19001G_005E,B19001G_005M,B19001G_006E,B19001G_006M,B19001G_007E,B19001G_007M,B19001G_008E,B19001G_008M,B19001G_009E,B19001G_009M,B19001G_010E,B19001G_010M,B19001G_011E,B19001G_011M,B19001G_012E,B19001G_012M,B19001G_013E,B19001G_013M,B19001G_014E,B19001G_014M,B19001G_015E,B19001G_015M,B19001G_016E,B19001G_016M,B19001G_017E,B19001G_017M,NAME,B19001G_001EA,B19001G_001MA,B19001G_002EA,B19001G_002MA,B19001G_003MA,B19001G_003EA,B19001G_004MA,B19001G_004EA,B19001G_005EA,B19001G_005MA,B19001G_006MA,B19001G_006EA,B19001G_007EA,B19001G_007MA,B19001G_008MA,B19001G_008EA,B19001G_009EA,B19001G_009MA,B19001G_010EA,B19001G_010MA,B19001G_011MA,B19001G_011EA,B19001G_012EA,B19001G_012MA,B19001G_013EA,B19001G_013MA,B19001G_014MA,B19001G_014EA,B19001G_015EA,B19001G_015MA,B19001G_016EA,B19001G_016MA,B19001G_017MA,B19001G_017EA,state
0400000US01,19730,2114,2490,703,1536,469,1255,576,1865,643,804,402,1124,410,1141,549,809,425,1567,835,1004,436,1577,627,2058,783,1095,500,702,425,440,375,263,175,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,11527,1271,708,429,641,327,601,390,89,84,456,342,653,341,150,110,243,169,372,222,1506,618,1445,545,1441,504,1166,508,797,436,721,408,538,374,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,46633,3886,4407,1211,2388,609,2452,942,2597,699,2683,761,2112,649,2478,858,2612,761,2423,663,4451,1010,3476,961,6319,1274,4167,997,2013,534,1498,479,557,362,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,16768,1945,1647,688,999,411,1607,565,1638,763,1451,621,1157,503,837,360,1102,517,750,396,1605,658,1004,401,1123,453,1357,610,164,174,242,193,85,123,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,392951,7397,27283,2790,24134,2415,18939,2422,16562,1685,17765,2206,17127,1903,16834,2139,14477,2024,12872,1937,28521,2687,36273,2847,49658,3231,36153,2648,24746,2218,26232,2160,25375,1969,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,47041,3487,3389,838,2888,812,2248,840,2131,752,3219,986,2550,747,2713,948,2515,739,1761,762,3534,961,4249,980,7036,1344,2961,766,2527,697,1887,556,1433,607,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,22639,2169,1983,635,1097,553,907,441,1302,529,810,394,1482,668,666,394,784,549,1831,924,1721,734,2545,1005,1967,667,1611,585,1092,444,1255,564,1586,529,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,5635,1077,526,318,291,227,45,59,233,193,353,311,90,93,308,241,162,192,134,164,601,346,165,201,785,386,561,325,245,238,483,310,653,327,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,105762,6589,8267,1415,5443,1074,7340,1314,8070,1476,5796,1586,7776,1661,5854,1316,6961,1286,4068,1053,8368,1650,10635,1667,11178,1686,6403,1230,3551,874,3754,1279,2298,715,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,44389,3407,3448,759,2465,787,1939,819,2575,727,2681,791,3092,951,2985,1085,2732,1023,2252,872,3635,887,5334,1331,3976,1075,3374,866,1377,643,1468,699,1056,425,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,70700,3663,3219,892,3471,965,3221,905,3046,759,2780,823,1836,577,2650,896,2042,543,2643,777,5074,1171,8480,1367,10055,1553,7799,1322,4970,937,5505,1020,3909,839,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,8891,1233,956,451,456,311,1055,431,546,251,883,407,606,406,495,299,272,210,268,260,661,448,586,383,668,338,287,263,773,731,86,145,293,346,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,61086,3672,5713,1214,3767,980,4069,980,3815,1054,3155,976,2958,787,2648,757,2963,755,2097,655,5392,1149,5699,1001,6978,1236,4384,863,2803,956,2204,655,2441,683,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,30811,2805,4333,1062,2692,722,2413,759,2226,742,2451,823,1211,702,1360,611,1603,701,1760,734,2527,736,2053,724,2276,801,1815,701,764,458,678,302,649,515,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,12141,1606,1065,513,1073,471,1533,620,517,373,770,387,941,507,915,549,677,365,511,253,353,246,1071,471,1097,547,793,404,200,147,568,384,57,64,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,21404,2058,2031,641,1911,615,2486,966,950,457,1127,457,1250,469,1242,532,628,326,734,364,1729,755,2397,775,2322,753,1110,439,624,338,576,323,287,232,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,19860,2186,2455,882,1209,485,2040,771,1487,615,989,518,1267,541,780,355,809,346,774,445,1444,596,1896,658,2116,606,1353,655,655,372,479,313,107,138,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,17192,2100,2280,909,1251,542,1486,544,1068,625,1329,637,656,407,707,408,584,299,1124,504,1074,429,1705,740,1211,525,819,358,664,336,308,205,926,586,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,8077,1084,1646,672,440,337,541,311,491,276,255,173,830,462,493,291,329,219,290,242,455,440,565,354,773,336,505,219,233,200,69,80,162,252,Maine,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,40681,2976,3499,1071,1564,603,1045,486,1352,530,771,364,1348,506,1282,441,1571,682,1480,675,3343,872,3889,933,5507,1273,4751,1328,2710,724,3077,724,3492,780,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,46639,3268,5390,1326,2385,885,2176,723,2514,740,3308,1077,2261,769,2145,800,1278,524,2003,956,3321,1007,4884,1402,5180,1268,4307,956,1678,706,1584,659,2225,626,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,57210,3591,6905,1156,5714,1309,5347,948,4644,1077,3719,920,3387,942,2479,633,2610,750,2797,879,3300,759,3605,712,5455,890,3578,800,1415,561,1267,410,988,345,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,28339,2342,3287,974,1346,442,1864,563,1187,435,1821,672,2106,698,1584,639,1222,496,1532,699,2132,711,1746,520,3158,709,1520,482,1247,519,1548,651,1039,419,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8008,1684,829,415,809,443,890,538,698,603,369,332,621,454,335,319,260,175,421,499,755,412,644,398,557,445,600,393,123,130,0,206,97,118,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,37687,3200,5688,1277,3274,753,2390,780,1706,695,2732,986,1999,570,1878,712,1499,529,1285,607,2205,648,3155,949,4671,1316,1562,632,745,395,1588,826,1310,590,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,5695,1203,533,432,112,119,679,362,257,243,401,286,569,416,205,160,310,307,306,236,509,396,633,398,520,397,289,246,244,209,93,123,35,57,Montana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,8866,1337,794,471,406,180,877,459,414,262,443,317,1145,554,385,280,590,295,172,163,1036,484,551,355,653,351,742,415,336,296,123,151,199,202,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,28796,2546,2833,792,1093,607,1416,493,1368,521,1463,735,1734,669,1139,558,1520,491,1181,411,2631,871,2939,879,4380,880,2146,628,1057,504,1031,370,865,390,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,6651,1269,452,258,173,208,944,727,177,142,491,346,439,283,273,270,120,133,62,97,589,353,427,255,1014,519,621,436,244,191,348,247,277,245,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,46523,3017,4224,1321,2040,618,1999,526,2242,603,1747,625,1774,734,1189,497,2821,908,1398,527,3681,719,3809,1032,5709,1083,4201,904,3177,778,3012,878,3500,1038,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,17556,1681,3171,1114,1140,513,1366,590,1415,620,910,409,1032,573,973,552,508,360,518,316,1085,452,1851,783,1862,663,636,437,204,187,434,329,451,312,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,139961,6125,18516,2142,7624,1478,8366,1539,7835,1429,7555,1447,5829,1175,5219,1126,3854,932,5360,1097,9154,1601,10368,1553,17472,1987,10873,1668,6842,1313,7585,1544,7509,1225,New York,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,49507,3163,6050,1357,4230,1351,3215,901,3159,945,3804,982,2813,921,2647,890,2036,756,2984,911,2614,804,5338,1215,3808,961,2880,852,1409,660,1322,636,1198,537,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,5265,1376,65,98,418,355,495,447,687,564,426,392,138,118,94,88,690,552,97,142,573,492,255,242,202,223,433,331,81,85,516,691,95,173,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,66296,3941,8469,1306,6409,1279,5530,1378,3945,1072,4202,1148,3729,1051,3879,1078,2236,670,2550,972,5869,1391,5320,1204,5886,1072,3266,768,1418,620,2624,919,964,384,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,78873,3304,6724,1024,5609,966,4964,940,4608,732,4980,852,5203,883,3998,725,3606,678,3135,689,6848,1039,8614,882,8927,1055,5318,785,2981,733,1915,514,1443,406,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,45118,3054,4771,1120,3994,1100,3748,1064,2983,978,3089,1033,2607,860,1924,733,1721,671,2663,862,3101,877,4559,1186,5016,1066,1722,618,1314,568,1227,589,679,405,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,62328,4064,7917,1621,5392,1062,4304,1084,3222,815,3789,967,3371,910,4748,1274,2809,783,2629,902,4043,917,4830,1057,5638,1243,3960,895,2296,657,1382,503,1998,598,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,7285,1393,1268,503,559,331,517,381,123,155,204,173,669,422,182,201,593,657,546,307,477,325,618,419,567,302,550,374,118,173,93,108,201,189,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,18987,2260,2846,818,795,376,1597,707,1314,499,1125,495,926,483,631,418,584,322,712,403,2007,766,2425,924,1986,751,949,414,387,247,561,367,142,156,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,45
