GEO_ID,B18101F_001E,B18101F_001M,B18101F_002E,B18101F_002M,B18101F_003E,B18101F_003M,B18101F_004E,B18101F_004M,B18101F_005E,B18101F_005M,B18101F_006E,B18101F_006M,B18101F_007E,B18101F_007M,B18101F_008E,B18101F_008M,B18101F_009E,B18101F_009M,B18101F_010E,B18101F_010M,NAME,B18101F_001MA,B18101F_001EA,B18101F_002EA,B18101F_002MA,B18101F_003EA,B18101F_003MA,B18101F_004EA,B18101F_004MA,B18101F_005MA,B18101F_005EA,B18101F_006MA,B18101F_006EA,B18101F_007EA,B18101F_007MA,B18101F_008EA,B18101F_008MA,B18101F_009EA,B18101F_009MA,B18101F_010EA,B18101F_010MA,state
0400000US01,69480,6652,29676,3819,929,634,28747,3599,38613,3639,1796,612,36817,3747,1191,624,335,258,856,484,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9273,2166,1922,974,44,77,1878,976,7091,1660,438,409,6653,1630,260,196,0,145,260,196,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,428048,21376,134036,9741,5320,1398,128716,9248,273398,14410,24859,2890,248539,14023,20614,2267,8949,1488,11665,1659,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,50193,5785,18749,2994,1153,832,17596,2790,30350,3495,1352,659,28998,3494,1094,511,523,370,571,346,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5053490,54121,1516883,24369,47532,3806,1469351,24310,3270380,35173,225241,8458,3045139,34802,266227,9356,101084,5573,165143,7017,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,214335,14319,65650,7277,2759,947,62891,7115,136717,8115,14417,2365,122300,7826,11968,1649,5107,1088,6861,1247,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,193058,11926,57617,5086,2637,1039,54980,4893,127435,8511,12662,2524,114773,7569,8006,1395,3934,955,4072,1162,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,20730,3504,6464,1706,550,634,5914,1662,13606,2279,1064,442,12542,2266,660,333,149,132,511,320,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,28756,4660,7220,1909,120,164,7100,1894,20912,3285,537,486,20375,3370,624,520,83,92,541,508,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,485960,24706,127728,10264,5034,1414,122694,10099,327232,17972,26244,3223,300988,17053,31000,3993,14467,2790,16533,2703,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,278385,16108,108268,8218,3268,1387,105000,7765,166072,9812,7045,1679,159027,9380,4045,1232,1529,833,2516,802,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,12101,2262,2348,749,0,181,2348,749,9117,1898,784,363,8333,1782,636,319,431,293,205,157,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,36565,4391,13730,2291,1166,585,12564,2124,21532,2785,2122,1219,19410,2769,1303,674,732,483,571,449,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,761147,22497,247748,10299,6917,1462,240831,10079,483083,14252,23946,2315,459137,14381,30316,2698,10778,1596,19538,2086,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,142494,10476,48784,5206,2276,1317,46508,4978,89192,6241,7263,1899,81929,6112,4518,926,1533,585,2985,750,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,30022,3860,8840,1792,185,162,8655,1763,20143,2531,1360,587,18783,2433,1039,330,329,194,710,333,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,62591,5808,21597,3179,656,322,20941,3183,37223,3586,1980,706,35243,3482,3771,903,1518,512,2253,742,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,42125,4651,15764,2571,698,450,15066,2481,26030,3125,737,413,25293,3165,331,233,11,18,320,235,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,40669,5331,11156,2570,376,255,10780,2490,27881,3436,2111,619,25770,3355,1632,837,921,635,711,403,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
