GEO_ID,B09002_001E,B09002_001M,B09002_002E,B09002_002M,B09002_003E,B09002_003M,B09002_004E,B09002_004M,B09002_005E,B09002_005M,B09002_006E,B09002_006M,B09002_007E,B09002_007M,B09002_008E,B09002_008M,B09002_009E,B09002_009M,B09002_010E,B09002_010M,B09002_011E,B09002_011M,B09002_012E,B09002_012M,B09002_013E,B09002_013M,B09002_014E,B09002_014M,B09002_015E,B09002_015M,B09002_016E,B09002_016M,B09002_017E,B09002_017M,B09002_018E,B09002_018M,B09002_019E,B09002_019M,B09002_020E,B09002_020M,NAME,B09002_001MA,B09002_001EA,B09002_002EA,B09002_002MA,B09002_003EA,B09002_003MA,B09002_004EA,B09002_004MA,B09002_005MA,B09002_005EA,B09002_006MA,B09002_006EA,B09002_007MA,B09002_007EA,B09002_008EA,B09002_008MA,B09002_009EA,B09002_009MA,B09002_010MA,B09002_010EA,B09002_011MA,B09002_011EA,B09002_012MA,B09002_012EA,B09002_013EA,B09002_013MA,B09002_014EA,B09002_014MA,B09002_015MA,B09002_015EA,B09002_016MA,B09002_016EA,B09002_017MA,B09002_017EA,B09002_018MA,B09002_018EA,B09002_019EA,B09002_019MA,B09002_020EA,B09002_020MA,state
0400000US01,955274,8573,616018,9809,92879,3850,62805,3778,30875,2558,207398,6696,222061,6537,339256,10135,53591,5269,9304,2073,6273,1383,2463,930,17047,2575,18504,2679,285665,9833,38322,4085,32223,2673,16959,2478,97187,5470,100974,5285,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,167179,2435,120633,4961,20459,1848,13633,1660,6971,1070,40884,2687,38686,2532,46546,4482,16328,3046,2929,858,2347,801,1021,506,5276,1448,4755,1183,30218,3312,4556,1066,3176,849,1738,613,10723,1914,10025,1460,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1388159,11022,935290,17978,138054,5494,104590,5114,53140,4338,324436,9307,315070,8218,452869,15616,122907,9507,22360,2977,13632,2221,6677,1215,39248,3961,40990,5443,329962,15108,42807,3602,33825,3238,19660,2580,111061,7098,122609,6958,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,608973,6662,393647,9677,59413,3369,46141,3084,18863,2316,132919,5722,136311,6230,215326,9156,47985,4869,6631,1472,4093,997,4058,1467,16304,3136,16899,2641,167341,9038,22912,2888,20438,2891,9537,1770,53798,4138,60656,4650,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,7822395,20019,5522773,35882,857802,15591,626625,11126,295256,8575,1906741,17804,1836349,18468,2299622,36391,620737,20486,104221,4991,72861,5415,33144,3187,205954,10037,204557,9374,1678885,34090,217938,10045,165757,7300,85538,4936,572512,14983,637140,16104,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1130170,7560,818283,12162,136714,4207,91118,4211,50107,3571,276856,6378,263488,7345,311887,11307,92740,6819,11191,1717,5754,1228,3949,1130,33693,3465,38153,4200,219147,10635,28255,3301,21126,2546,11904,2129,74392,4876,83470,5185,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,702657,5035,484578,8293,69063,3307,48119,2784,23325,2471,165871,5726,178200,5392,218079,8733,45899,4748,7541,1794,5142,1800,3075,1016,13761,2728,16380,2553,172180,8055,18723,2543,17681,2288,9095,1675,60522,4466,66159,4720,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,172537,2860,109305,4737,16513,1792,13524,1851,5939,1301,35623,2857,37706,2894,63232,5026,14003,2857,1877,588,1673,781,1196,675,5054,1532,4203,1179,49229,4415,6802,1522,4757,1035,2611,866,17318,2334,17741,2084,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,95697,3415,49904,3352,14346,1762,8899,1309,2113,682,15408,1896,9138,1572,45793,3645,6090,2036,921,571,1488,709,140,168,1697,782,1844,815,39703,3346,6751,1460,4428,1122,1684,716,12359,1837,14481,2019,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,3513671,17428,2242984,29647,342642,9327,237869,8605,120744,7608,759647,14810,782082,16277,1270687,28449,282714,15104,50481,5385,33431,4147,17055,2244,89956,7125,91791,7818,987973,22768,131059,8757,101451,5568,47970,4632,335500,12189,371993,12413,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
