GEO_ID,B25070_001E,B25070_001M,B25070_002E,B25070_002M,B25070_003E,B25070_003M,B25070_004E,B25070_004M,B25070_005E,B25070_005M,B25070_006E,B25070_006M,B25070_007E,B25070_007M,B25070_008E,B25070_008M,B25070_009E,B25070_009M,B25070_010E,B25070_010M,B25070_011E,B25070_011M,NAME,B25070_001EA,B25070_001MA,B25070_002MA,B25070_002EA,B25070_003MA,B25070_003EA,B25070_004EA,B25070_004MA,B25070_005EA,B25070_005MA,B25070_006EA,B25070_006MA,B25070_007EA,B25070_007MA,B25070_008MA,B25070_008EA,B25070_009MA,B25070_009EA,B25070_010EA,B25070_010MA,B25070_011EA,B25070_011MA,state
0400000US01,595137,11423,17636,1976,51124,4422,59811,4360,61886,4119,58341,4157,44448,3476,37525,3406,44883,2832,139168,6066,80315,4115,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,93653,4082,4362,969,8225,1375,10285,1431,10193,1494,8593,1293,9434,1659,5798,1271,10163,1850,18469,2031,8131,1010,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,943886,14175,29503,2654,78134,4120,119155,6717,111547,6045,98964,4699,76161,4470,61883,3977,78423,5320,213970,7630,76146,3858,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,386970,9803,14544,2306,37315,3770,46291,3370,41196,3712,39446,2662,31769,3210,24185,2934,29918,3199,75865,4405,46441,3145,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,5902960,28154,153229,6983,356777,10482,593598,13416,679847,12629,635074,14498,526790,11661,415846,10623,577711,12759,1655729,17438,308359,7223,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,737059,11315,22072,2204,55862,3706,91061,4448,90788,5157,83061,5436,67479,4616,54058,4028,63135,3940,170213,6786,39330,3329,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,455778,8159,16985,2516,31465,3232,46816,3656,51977,4098,49062,3377,40021,3535,28886,2727,36067,3033,121690,5247,32809,2994,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,103935,3908,4712,1077,7292,1368,13898,2007,11794,1609,11089,1585,9262,1404,6239,1159,8785,1505,23813,2505,7051,1447,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,164886,4965,6997,1131,12805,1643,18939,2008,20947,2538,19579,2281,11467,1495,11854,1516,11681,1431,40052,3104,10565,1855,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,2634225,22450,58534,4634,149710,7823,249561,7717,291737,8989,278120,9747,231009,10179,183018,8255,268099,8764,730624,17146,193813,7644,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
