B25102_002M,B25102_003E,B25102_003M,B25102_004E,B25102_004M,B25102_005E,B25102_005M,B25102_006E,B25102_006M,B25102_007E,B25102_007M,B25102_008E,B25102_008M,B25102_009E,B25102_009M,B25102_010E,B25102_010M,B25102_011E,B25102_011M,B25102_012E,B25102_012M,B25102_013E,B25102_013M,B25102_014E,B25102_014M,B25102_015E,B25102_015M,GEO_ID,B25102_001E,B25102_001M,B25102_002E,B25102_002MA,B25102_003EA,B25102_003MA,B25102_004EA,B25102_004MA,B25102_005MA,B25102_005EA,B25102_006MA,B25102_006EA,B25102_007MA,B25102_007EA,B25102_008EA,B25102_008MA,B25102_009EA,B25102_009MA,B25102_010EA,B25102_010MA,B25102_011MA,B25102_011EA,B25102_012MA,B25102_012EA,B25102_013EA,B25102_013MA,B25102_014EA,B25102_014MA,B25102_015EA,B25102_015MA,NAME,B25102_001MA,B25102_001EA,B25102_002EA,state
9945,408207,10619,147841,5579,39401,2871,26770,2692,20841,2229,71627,3443,531393,8917,287839,7163,57105,3504,13426,1608,12044,1667,8815,1249,152164,4600,0400000US01,1246080,12085,714687,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alabama,null,null,null,01
3869,4670,976,9634,1395,7668,1292,19794,2250,52292,2905,9121,1016,52827,2371,8721,1166,4922,835,3738,718,6668,1051,12857,1406,15921,1024,0400000US02,156006,4250,103179,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Alaska,null,null,null,02
11704,183115,6441,329729,8284,146661,5559,159225,5747,112136,4793,25641,1921,528350,8875,168038,5046,131026,4971,60223,3694,60445,3524,50156,3578,58462,2485,0400000US04,1484857,11801,956507,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arizona,null,null,null,04
9667,187947,6806,117472,5099,33918,3023,27872,2349,23612,2184,22946,2639,330551,7086,187039,5206,64603,3778,18806,2076,13242,1723,11771,1496,35090,2356,0400000US05,744318,10448,413767,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Arkansas,null,null,null,05
26058,245357,6710,551377,11299,392780,8810,827119,12909,2823049,19673,89424,4106,1926582,16196,313908,7096,364798,7502,187933,6202,277740,7078,635306,10967,146897,5249,0400000US06,6855688,27608,4929106,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,California,null,null,null,06
10751,159619,5836,289511,7441,156837,5605,176926,5993,152928,4902,12193,1398,354519,6438,106143,3654,100072,3587,44280,2338,47673,2881,45931,2529,10420,1415,0400000US08,1302533,10820,948014,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Colorado,null,null,null,08
8526,14109,1507,11118,1603,9209,1212,47177,3324,541061,8277,6228,1032,271137,5712,12786,1510,6618,995,6008,903,21398,2168,218152,5178,6175,778,0400000US09,900039,8072,628902,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Connecticut,null,null,null,09
3729,44227,2874,51897,2748,24971,2302,28525,2444,17556,1758,3370,647,75262,3429,32142,2158,16139,1732,7510,1099,7818,1241,6182,843,5471,1009,0400000US10,245808,4425,170546,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,10
3521,6863,1041,13642,1743,9766,1331,16828,2039,35297,2136,3154,768,26942,2120,3776,759,4699,828,2437,715,3317,827,10466,1351,2247,662,0400000US11,112492,3641,85550,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,11
21466,469302,9700,648559,12081,336614,9082,482270,10454,713679,13309,78543,4579,1964854,18332,543510,10905,421514,9505,179720,6048,256035,7061,385447,8280,178628,6455,0400000US12,4693821,26616,2728967,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Florida,null,null,null,12
15212,320897,9122,407058,9600,192934,6442,254695,7243,285103,7680,31854,2853,740012,10866,306839,8606,170177,5878,61599,3767,72591,4212,86054,3299,42752,3378,0400000US13,2232553,17839,1492541,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Georgia,null,null,null,13
4586,40613,2905,45362,3409,23763,2064,29719,2389,21947,1820,7857,1169,86114,3674,25114,2289,20040,1686,13480,1441,13577,1562,9304,1193,4599,879,0400000US15,255375,5028,169261,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Hawaii,null,null,null,15
7082,51074,3706,110752,5265,36433,3777,32328,2867,28859,2658,5194,1038,137754,4949,41346,2501,46698,3409,14845,1681,14034,1629,11867,1523,8964,1237,0400000US16,402394,6319,264640,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Idaho,null,null,null,16
15321,109946,4020,159836,5595,121074,4280,262065,6184,1356726,11766,21587,1679,1094421,11787,150552,4706,117721,4665,81426,3623,147175,5511,548747,9704,48800,2837,0400000US17,3125655,15819,2031234,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Illinois,null,null,null,17
12497,380071,7897,351800,7764,141625,6139,135999,5655,108912,5025,26967,2256,570967,8013,241895,6033,150090,5121,53893,2483,54228,3721,45369,3248,25492,1832,0400000US18,1716341,13216,1145374,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Indiana,null,null,null,18
7016,57684,2768,117520,4268,74510,3159,123334,5021,155541,4729,5536,1014,345753,6200,69397,2818,73434,3042,49397,2587,72598,3041,73085,3052,7842,1302,0400000US19,879878,7925,534125,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Iowa,null,null,null,19
