GEO_ID,C27003_001E,C27003_001M,C27003_002E,C27003_002M,C27003_003E,C27003_003M,C27003_004E,C27003_004M,C27003_005E,C27003_005M,C27003_006E,C27003_006M,C27003_007E,C27003_007M,C27003_008E,C27003_008M,C27003_009E,C27003_009M,C27003_010E,C27003_010M,C27003_011E,C27003_011M,C27003_012E,C27003_012M,C27003_013E,C27003_013M,C27003_014E,C27003_014M,C27003_015E,C27003_015M,C27003_016E,C27003_016M,C27003_017E,C27003_017M,C27003_018E,C27003_018M,C27003_019E,C27003_019M,C27003_020E,C27003_020M,C27003_021E,C27003_021M,NAME,C27003_001EA,C27003_001MA,C27003_002EA,C27003_002MA,C27003_003MA,C27003_003EA,C27003_004MA,C27003_004EA,C27003_005EA,C27003_005MA,C27003_006EA,C27003_006MA,C27003_007MA,C27003_007EA,C27003_008MA,C27003_008EA,C27003_009MA,C27003_009EA,C27003_010MA,C27003_010EA,C27003_011EA,C27003_011MA,C27003_012MA,C27003_012EA,C27003_013EA,C27003_013MA,C27003_014MA,C27003_014EA,C27003_015MA,C27003_015EA,C27003_016EA,C27003_016MA,C27003_017MA,C27003_017EA,C27003_018EA,C27003_018MA,C27003_019MA,C27003_019EA,C27003_020MA,C27003_020EA,C27003_021MA,C27003_021EA,state
0400000US01,4767383,1932,2289780,5872,564919,4746,256145,8289,308774,7876,1407781,3396,217039,6768,1190742,8087,317080,1997,309278,2372,7802,1496,2477603,5606,541928,4642,246205,7672,295723,8096,1527586,3213,266278,7340,1261308,7859,408089,2062,398752,2781,9337,1558,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,711541,1618,363589,2580,94656,1704,31709,2946,62947,3105,235033,2140,34446,2846,200587,3514,33900,1002,31042,1243,2858,818,347952,2104,91589,1669,30082,2459,61507,2846,221245,1198,31182,2188,190063,2215,35118,972,32542,1212,2576,654,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,6623074,1740,3251297,3166,826358,2285,314001,9848,512357,9562,1937999,2770,356370,10948,1581629,11400,486940,1367,469018,2014,17922,1664,3371777,2888,794218,2258,303366,8893,490852,8991,2006493,2365,433253,11163,1573240,11465,571066,1364,550878,2850,20188,2285,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2914376,756,1423412,4652,360391,3763,187605,6417,172786,6033,861325,3214,164168,7267,697157,7669,201696,1438,196618,1785,5078,1307,1490964,4568,343420,3861,178084,6844,165336,6503,900910,3016,201534,6266,699376,6438,246634,1843,242676,1940,3958,900,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,38297457,5321,18865494,8096,4657991,3964,1973882,23309,2684109,23611,12038061,7340,2083743,24598,9954318,23994,2169442,2989,2036111,6112,133331,5740,19431963,5973,4477142,4008,1919070,22133,2558072,22022,12226448,3884,2524156,23509,9702292,23646,2728373,3145,2586238,5853,142135,5540,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,5266022,2396,2622411,4609,640300,2702,226317,8070,413983,7734,1678778,3434,244932,7533,1433846,8077,303333,1624,287396,2449,15937,1787,2643611,4048,605132,2527,209192,6572,395940,7025,1677532,2424,279000,8032,1398532,8080,360947,1439,345259,2138,15688,1556,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,3541282,1220,1719425,2334,395003,1458,137159,6042,257844,5897,1091478,1984,170741,6707,920737,7005,232944,1423,220649,2181,12295,1650,1821857,2336,379018,1430,128494,5179,250524,5046,1142258,1885,230126,7158,912132,7387,300581,1319,286961,2268,13620,1896,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,920930,554,443623,1227,104031,825,37661,2936,66370,3039,272159,1135,47311,3343,224848,3488,67433,733,64829,1119,2604,810,477307,1167,99383,901,35077,2920,64306,2713,295631,700,62021,4029,233610,4144,82293,658,80345,1070,1948,801,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,647966,509,303791,1024,58140,442,28281,2268,29859,2313,216572,977,50721,3817,165851,3840,29079,646,25187,994,3892,942,344175,1099,56694,456,29961,2302,26733,2379,244580,597,62843,3760,181737,3731,42901,869,39246,1036,3655,849,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,19583357,3419,9490859,7749,2066004,5977,900945,17807,1165059,18176,5747594,5911,829674,15456,4917920,16345,1677261,3397,1613729,5891,63532,4500,10092498,7609,1980146,6054,855928,16073,1124218,15588,6066114,4654,937802,16978,5128312,19014,2046238,3447,1966649,5946,79589,5128,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,9906878,3443,4767586,7391,1269254,6034,529754,12605,739500,11365,2971121,5651,368487,9466,2602634,10965,527211,2183,508193,3041,19018,2282,5139292,6335,1218993,5608,507862,13069,711131,14274,3229524,3776,430838,9514,2798686,9888,690775,2678,667701,3472,23074,2838,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
