GEO_ID,B16005H_001E,B16005H_001M,B16005H_002E,B16005H_002M,B16005H_003E,B16005H_003M,B16005H_004E,B16005H_004M,B16005H_005E,B16005H_005M,B16005H_006E,B16005H_006M,B16005H_007E,B16005H_007M,B16005H_008E,B16005H_008M,B16005H_009E,B16005H_009M,B16005H_010E,B16005H_010M,B16005H_011E,B16005H_011M,NAME,B16005H_001MA,B16005H_001EA,B16005H_002EA,B16005H_002MA,B16005H_003EA,B16005H_003MA,B16005H_004EA,B16005H_004MA,B16005H_005MA,B16005H_005EA,B16005H_006EA,B16005H_006MA,B16005H_007EA,B16005H_007MA,B16005H_008EA,B16005H_008MA,B16005H_009EA,B16005H_009MA,B16005H_010MA,B16005H_010EA,B16005H_011MA,B16005H_011EA,state
0400000US01,3041236,1464,3012134,3741,2981658,5412,30476,4232,26780,4320,3696,897,29102,3562,15783,3004,13319,2383,9352,1724,3967,1450,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,428738,672,415869,2498,403534,3537,12335,2174,10135,1945,2200,983,12869,2304,4962,923,7907,2153,5272,1623,2635,949,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3607565,1832,3442846,7774,3349616,9946,93230,5567,83309,5391,9921,1531,164719,7727,82727,4596,81992,6351,51865,4807,30127,3785,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2056975,1083,2038051,2840,2018430,3793,19621,2302,15822,1882,3799,1086,18924,2547,9510,1580,9414,2230,4999,1128,4415,1983,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14216993,6575,12853376,21567,12240192,30662,613184,17269,551067,16648,62117,3904,1363617,20759,433749,11205,929868,19856,538055,13749,391813,11951,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3500772,1836,3383877,5325,3297350,7909,86527,5405,75938,5101,10589,1511,116895,5296,47743,3333,69152,4250,44032,3126,25120,2952,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2365810,2334,2203470,8830,2112198,10827,91272,5725,81982,5376,9290,1512,162340,8349,47373,3183,114967,8035,60023,5136,54944,5494,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,566751,539,550384,3183,540856,3757,9528,1522,8273,1421,1255,440,16367,3133,6127,1297,10240,3012,6590,2494,3650,1296,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,224138,346,202241,2757,187484,3490,14757,1806,13563,1847,1194,633,21897,2755,7491,1278,14406,2608,11733,2371,2673,1043,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10609575,6660,9958639,17954,9603162,20482,355477,12938,315154,11615,40323,4135,650936,17570,262852,8737,388084,15327,241870,10852,146214,8881,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
