GEO_ID,C01001G_001E,C01001G_001M,C01001G_002E,C01001G_002M,C01001G_003E,C01001G_003M,C01001G_004E,C01001G_004M,C01001G_005E,C01001G_005M,C01001G_006E,C01001G_006M,C01001G_007E,C01001G_007M,C01001G_008E,C01001G_008M,C01001G_009E,C01001G_009M,NAME,C01001G_001MA,C01001G_001EA,C01001G_002EA,C01001G_002MA,C01001G_003EA,C01001G_003MA,C01001G_004EA,C01001G_004MA,C01001G_005MA,C01001G_005EA,C01001G_006EA,C01001G_006MA,C01001G_007MA,C01001G_007EA,C01001G_008EA,C01001G_008MA,C01001G_009EA,C01001G_009MA,state
0400000US01,84964,6399,41084,3561,20138,2610,17998,2250,2948,721,43880,4321,21871,2909,18765,2422,3244,754,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,62808,4350,31667,2543,15690,1799,14972,1590,1005,364,31141,2974,15142,1992,15285,1912,714,198,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,224103,10975,110896,6344,54706,4412,51333,4324,4857,777,113207,6468,54965,4233,52958,4284,5284,941,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,64487,5713,29655,3232,12624,1797,14717,2157,2314,769,34832,3762,16002,2549,16309,2273,2521,731,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1779789,27724,880968,16598,387822,11829,455142,9811,38004,2673,898821,17730,382084,12490,462752,9683,53985,3310,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,184328,9649,89819,5295,39524,3044,46423,3196,3872,929,94509,5799,40332,3781,49964,3314,4213,732,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,103833,7876,51563,4493,24781,3115,24575,2655,2207,822,52270,4674,26096,3059,24260,2612,1914,617,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,24117,3277,11865,2002,7237,1629,4010,1184,618,389,12252,2161,7140,1480,4825,1079,287,179,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,16731,2508,7302,1401,2876,853,4303,952,123,132,9429,1645,3036,979,5957,1062,436,217,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,475805,19977,234532,11952,110889,7167,111258,7016,12385,1614,241273,11371,109565,7614,118417,7023,13291,1539,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
