GEO_ID,C17010_001E,C17010_001M,C17010_002E,C17010_002M,C17010_003E,C17010_003M,C17010_004E,C17010_004M,C17010_005E,C17010_005M,C17010_006E,C17010_006M,C17010_007E,C17010_007M,C17010_008E,C17010_008M,C17010_009E,C17010_009M,C17010_010E,C17010_010M,C17010_011E,C17010_011M,C17010_012E,C17010_012M,C17010_013E,C17010_013M,C17010_014E,C17010_014M,C17010_015E,C17010_015M,C17010_016E,C17010_016M,C17010_017E,C17010_017M,NAME,C17010_001EA,C17010_001MA,C17010_002EA,C17010_002MA,C17010_003EA,C17010_003MA,C17010_004MA,C17010_004EA,C17010_005MA,C17010_005EA,C17010_006EA,C17010_006MA,C17010_007EA,C17010_007MA,C17010_008EA,C17010_008MA,C17010_009EA,C17010_009MA,C17010_010MA,C17010_010EA,C17010_011EA,C17010_011MA,C17010_012EA,C17010_012MA,C17010_013EA,C17010_013MA,C17010_014EA,C17010_014MA,C17010_015MA,C17010_015EA,C17010_016MA,C17010_016EA,C17010_017MA,C17010_017EA,state
0400000US01,1232515,11755,184841,6662,56254,3359,30800,2505,128587,5238,16420,2394,10316,1787,112167,5073,92478,4475,1047674,12321,813772,12248,302669,7668,233902,7177,61185,3606,29198,3062,172717,5819,88792,4602,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,165015,3765,12999,1612,4885,1020,3385,878,8114,1333,2317,642,1725,548,5797,1159,5521,1142,152016,3662,119143,3424,56096,2704,32873,3004,12349,1870,7605,1317,20524,2120,13511,1620,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,1579481,13962,209001,6363,88335,4279,56030,3665,120666,5231,25890,2940,19300,2530,94776,4191,79840,3939,1370480,13405,1052960,12543,406647,9667,317520,9464,108230,5859,57372,4354,209290,7098,118172,5784,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,752212,9854,104138,4501,38327,2962,22073,2397,65811,3452,9891,1758,7369,1448,55920,2988,47794,3224,648074,9714,508201,9423,193816,6044,139873,5594,43661,3786,24665,2746,96212,4644,54629,3604,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,8762059,27318,1067419,13044,452770,11184,317370,10021,614649,11962,125277,5404,91802,5241,489372,11197,411028,11406,7694640,28159,5786373,25282,2671290,20286,1908267,22054,646999,13474,327495,10648,1261268,16448,657607,13619,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1315283,8405,105560,4841,42865,3138,27525,2494,62695,4689,11365,2198,8813,1789,51330,4066,44599,3922,1209723,10079,962861,10575,416168,7112,246862,6362,87770,4684,53260,3435,159092,5547,96239,4851,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,887263,10002,66949,4874,19680,2501,11011,1639,47269,4219,8008,1771,6561,1694,39261,3896,33165,3443,820314,9845,630993,9055,260608,6772,189321,5974,56763,3609,25983,2633,132558,5089,72644,4298,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,233000,4645,19733,2314,5763,1205,3591,988,13970,2088,2502,749,1663,519,11468,1892,9906,1712,213267,4508,159599,4060,58867,3024,53668,2749,15655,1986,7089,1275,38013,2417,22441,2233,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,117864,3359,16707,2102,2292,700,1382,636,14415,1910,1704,674,866,478,12711,1772,9930,1679,101157,3173,63952,3106,24312,1890,37205,2778,7792,1463,3452,980,29413,2463,15889,2253,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,4693411,24879,563761,13976,221565,8739,114698,5853,342196,9105,60354,4673,42176,3886,281842,7975,233846,7714,4129650,24086,3158538,24036,1077988,16117,971112,16358,293183,8421,140100,7423,677929,12957,354720,10461,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,2426392,15122,342664,9063,115068,5382,74728,5292,227596,7392,35334,2795,27194,2825,192262,7162,162706,6896,2083728,15808,1576965,16797,688386,13229,506763,12226,137070,7303,74562,5261,369693,10234,214017,8409,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,314151,5725,24533,2343,11574,1536,6891,1352,12959,1748,2397,715,1790,660,10562,1500,8642,1446,289618,5942,220475,4659,97634,3891,69143,3392,23802,2491,11148,1687,45341,2607,23633,1888,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
