GEO_ID,B12504_001E,B12504_001M,B12504_002E,B12504_002M,B12504_003E,B12504_003M,B12504_004E,B12504_004M,B12504_005E,B12504_005M,B12504_006E,B12504_006M,B12504_007E,B12504_007M,B12504_008E,B12504_008M,B12504_009E,B12504_009M,NAME,B12504_001EA,B12504_001MA,B12504_002MA,B12504_002EA,B12504_003MA,B12504_003EA,B12504_004MA,B12504_004EA,B12504_005EA,B12504_005MA,B12504_006EA,B12504_006MA,B12504_007MA,B12504_007EA,B12504_008MA,B12504_008EA,B12504_009MA,B12504_009EA,state
0400000US01,19.8,0.3,19.9,0.3,20.7,0.4,11.1,1.6,14.8,0.9,19.7,0.3,20.7,0.3,13.0,1.5,14.4,1.2,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,15.6,0.8,15.5,0.8,15.9,0.8,12.4,2.7,15.7,1.8,15.6,0.9,15.9,0.8,9.9,2.0,13.6,4.6,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,19.5,0.3,19.6,0.3,20.2,0.3,13.2,1.8,15.5,1.2,19.4,0.3,20.1,0.3,13.9,1.6,16.0,1.2,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,18.7,0.4,18.9,0.4,19.9,0.5,12.2,2.2,13.2,1.8,18.5,0.4,19.8,0.5,10.9,2.4,12.3,1.9,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,18.6,0.2,18.5,0.2,19.0,0.2,13.5,0.5,16.7,0.5,18.7,0.2,19.0,0.2,14.2,0.5,18.6,0.5,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,17.6,0.3,17.6,0.3,17.9,0.3,11.7,1.6,14.5,1.1,17.7,0.3,18.1,0.3,12.5,2.1,14.8,1.2,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,21.1,0.4,21.1,0.5,21.8,0.5,12.1,3.4,17.6,2.3,21.1,0.4,21.7,0.5,13.0,3.3,16.2,1.6,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,19.9,0.6,20.0,0.8,20.7,0.9,14.8,2.4,12.5,2.3,19.8,0.7,20.6,0.8,11.5,5.9,15.1,1.6,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,11.0,0.8,10.8,0.9,10.0,1.0,10.2,2.6,18.9,6.2,11.1,1.0,10.6,1.2,10.1,2.1,15.8,1.4,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,20.4,0.2,20.4,0.2,21.4,0.2,13.5,1.0,14.9,0.7,20.3,0.2,21.3,0.3,14.3,0.8,14.9,0.5,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
