GEO_ID,B17020A_001E,B17020A_001M,B17020A_002E,B17020A_002M,B17020A_003E,B17020A_003M,B17020A_004E,B17020A_004M,B17020A_005E,B17020A_005M,B17020A_006E,B17020A_006M,B17020A_007E,B17020A_007M,B17020A_008E,B17020A_008M,B17020A_009E,B17020A_009M,B17020A_010E,B17020A_010M,B17020A_011E,B17020A_011M,B17020A_012E,B17020A_012M,B17020A_013E,B17020A_013M,B17020A_014E,B17020A_014M,B17020A_015E,B17020A_015M,B17020A_016E,B17020A_016M,B17020A_017E,B17020A_017M,NAME,B17020A_001EA,B17020A_001MA,B17020A_002MA,B17020A_002EA,B17020A_003MA,B17020A_003EA,B17020A_004MA,B17020A_004EA,B17020A_005EA,B17020A_005MA,B17020A_006EA,B17020A_006MA,B17020A_007MA,B17020A_007EA,B17020A_008MA,B17020A_008EA,B17020A_009EA,B17020A_009MA,B17020A_010EA,B17020A_010MA,B17020A_011EA,B17020A_011MA,B17020A_012EA,B17020A_012MA,B17020A_013MA,B17020A_013EA,B17020A_014EA,B17020A_014MA,B17020A_015EA,B17020A_015MA,B17020A_016EA,B17020A_016MA,B17020A_017EA,B17020A_017MA,state
0400000US01,3250747,7539,460999,16813,44203,4241,43050,3913,38093,3566,260463,10424,51462,4193,17490,1947,6238,1079,2789748,19049,165330,4502,180818,5817,205116,5522,1518293,13300,506353,6249,159813,3831,54025,3304,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,474292,2954,33294,4401,2666,843,2733,748,2541,874,21765,2870,2975,944,195,145,419,205,440998,5316,31105,1775,29910,1952,32178,2175,266740,3904,64903,2215,12251,1006,3911,945,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,5162472,24237,823395,23236,93323,5466,89729,6325,78018,5177,441157,13417,87168,5384,23181,2667,10819,1463,4339077,29869,268769,7482,297113,8905,315047,7898,2289148,20124,798226,8361,273060,4709,97714,4559,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2265216,6402,354747,14085,37158,3367,35240,3253,33454,3538,197158,8767,33959,3087,11560,1460,6218,1137,1910469,15417,123514,4294,132296,5509,141054,4899,1023008,10595,344015,4884,109722,2856,36860,2225,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,23407972,56052,3508588,48425,368511,11436,383369,14447,351180,11722,1934897,26995,315693,8936,101690,5652,53248,4146,19899384,63011,1302346,15305,1345425,16509,1407906,17436,11361578,38753,3106375,16214,943623,10590,432131,9542,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,4427201,14671,479967,20482,47958,4450,43386,4654,39461,3846,285266,11992,45834,3465,12051,1799,6011,1054,3947234,21473,268498,6134,289947,6368,292377,7315,2262859,14168,612674,7158,157777,3644,63102,3644,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2688645,11975,217102,12669,18483,2985,17860,2863,16837,2831,120832,6818,26308,2531,10194,1632,6588,1409,2471543,13702,129708,3950,160621,4275,186973,4423,1372323,9481,426610,6001,132308,3286,63000,3068,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,633051,4066,62261,6555,5399,1643,6502,1695,3833,1127,35920,3852,6649,1442,2856,1046,1102,537,570790,6997,34444,2177,33970,2360,37349,2191,309822,4633,108951,2193,34459,1769,11795,1486,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,249670,4582,19413,3058,649,505,627,623,676,632,15226,2166,1794,707,327,307,114,141,230257,4859,14497,1143,8956,1205,5066,924,167201,3649,25287,1265,6381,901,2869,853,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,14840640,29140,2082194,46656,177405,9520,177739,10424,163960,9068,1126830,28931,280616,9443,101308,4697,54336,4189,12758446,51983,666399,12549,716111,14190,785897,12909,6724462,34672,2529448,11959,940020,10968,396109,11437,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
