GEO_ID,B21001G_001E,B21001G_001M,B21001G_002E,B21001G_002M,B21001G_003E,B21001G_003M,B21001G_004E,B21001G_004M,B21001G_005E,B21001G_005M,B21001G_006E,B21001G_006M,B21001G_007E,B21001G_007M,B21001G_008E,B21001G_008M,B21001G_009E,B21001G_009M,B21001G_010E,B21001G_010M,B21001G_011E,B21001G_011M,B21001G_012E,B21001G_012M,B21001G_013E,B21001G_013M,B21001G_014E,B21001G_014M,B21001G_015E,B21001G_015M,B21001G_016E,B21001G_016M,B21001G_017E,B21001G_017M,B21001G_018E,B21001G_018M,B21001G_019E,B21001G_019M,B21001G_020E,B21001G_020M,B21001G_021E,B21001G_021M,B21001G_022E,B21001G_022M,B21001G_023E,B21001G_023M,B21001G_024E,B21001G_024M,B21001G_025E,B21001G_025M,B21001G_026E,B21001G_026M,B21001G_027E,B21001G_027M,B21001G_028E,B21001G_028M,B21001G_029E,B21001G_029M,B21001G_030E,B21001G_030M,B21001G_031E,B21001G_031M,B21001G_032E,B21001G_032M,B21001G_033E,B21001G_033M,NAME,B21001G_001MA,B21001G_001EA,B21001G_002EA,B21001G_002MA,B21001G_003MA,B21001G_003EA,B21001G_004MA,B21001G_004EA,B21001G_005MA,B21001G_005EA,B21001G_006EA,B21001G_006MA,B21001G_007EA,B21001G_007MA,B21001G_008EA,B21001G_008MA,B21001G_009MA,B21001G_009EA,B21001G_010MA,B21001G_010EA,B21001G_011EA,B21001G_011MA,B21001G_012MA,B21001G_012EA,B21001G_013EA,B21001G_013MA,B21001G_014MA,B21001G_014EA,B21001G_015MA,B21001G_015EA,B21001G_016MA,B21001G_016EA,B21001G_017EA,B21001G_017MA,B21001G_018EA,B21001G_018MA,B21001G_019EA,B21001G_019MA,B21001G_020MA,B21001G_020EA,B21001G_021MA,B21001G_021EA,B21001G_022EA,B21001G_022MA,B21001G_023MA,B21001G_023EA,B21001G_024EA,B21001G_024MA,B21001G_025MA,B21001G_025EA,B21001G_026EA,B21001G_026MA,B21001G_027EA,B21001G_027MA,B21001G_028EA,B21001G_028MA,B21001G_029EA,B21001G_029MA,B21001G_030EA,B21001G_030MA,B21001G_031EA,B21001G_031MA,B21001G_032MA,B21001G_032EA,B21001G_033EA,B21001G_033MA,state
0400000US01,42684,3848,20726,2292,8989,1912,767,624,8222,1716,5626,1054,729,387,4897,999,3163,812,1193,525,1970,639,1882,669,607,299,1275,576,1066,467,578,382,488,299,21958,2611,8421,1666,46,67,8375,1657,7245,1140,839,502,6406,1107,3048,726,243,211,2805,717,2043,581,83,101,1960,569,1201,484,0,189,1201,484,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,31236,2667,15392,1633,8883,1379,473,317,8410,1340,3843,807,532,320,3311,735,1661,486,725,401,936,416,779,382,661,341,118,90,226,129,112,107,114,98,15844,1941,8537,1379,225,302,8312,1334,4767,973,10,18,4757,973,1826,596,318,357,1508,520,514,185,142,124,372,161,200,108,0,145,200,108,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,113737,7633,55779,4264,26242,3062,1626,574,24616,2952,18887,2372,2072,708,16815,2334,5793,1158,1771,658,4022,843,3233,711,2081,619,1152,510,1624,520,739,414,885,366,57958,4424,29310,3126,398,355,28912,3134,18314,2293,315,223,17999,2255,5050,858,0,200,5050,858,3489,855,101,130,3388,830,1795,528,70,81,1725,529,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,35803,3764,16973,2213,6867,1764,343,340,6524,1724,5601,1192,499,340,5102,1141,2191,602,1036,452,1155,474,1531,693,1194,672,337,261,783,405,248,193,535,338,18830,2446,7955,1661,116,138,7839,1648,6024,1180,150,166,5874,1166,2330,653,23,59,2307,646,1993,653,0,190,1993,653,528,333,166,236,362,207,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,1005365,16013,489362,10601,237118,8053,9606,1761,227512,8003,163212,6029,13993,1788,149219,5660,51028,3312,8681,1407,42347,3006,25757,2275,9235,1370,16522,1662,12247,1279,5604,1033,6643,991,516003,10166,237389,8009,1888,876,235501,7932,166694,5994,2658,934,164036,5736,57935,3502,862,386,57073,3476,30769,2310,412,282,30357,2310,23216,2216,292,226,22924,2155,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,102872,5372,48850,3349,24468,2556,1052,445,23416,2497,15729,1916,2221,754,13508,1848,4781,1009,1808,606,2973,796,2399,792,1154,533,1245,591,1473,512,1068,458,405,243,54022,3509,27435,2279,338,271,27097,2289,16019,1760,92,109,15927,1782,6355,1088,154,141,6201,1083,2512,668,0,192,2512,668,1701,502,30,54,1671,498,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,52283,4276,26148,2742,12233,1942,225,228,12008,1928,9119,1709,580,349,8539,1670,2589,585,367,267,2222,539,1625,739,386,300,1239,694,582,407,176,220,406,347,26135,2592,12808,1988,254,221,12554,2051,8784,1337,0,197,8784,1337,2629,815,75,123,2554,833,1338,446,0,197,1338,446,576,339,0,197,576,339,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,253458,11538,122095,7137,58727,5048,2551,983,56176,4993,38415,3545,5020,1180,33395,3394,12568,1809,2317,665,10251,1698,8502,1410,2625,784,5877,1170,3883,876,1482,526,2401,694,131363,7283,57189,4925,1059,793,56130,4911,44022,3208,955,465,43067,3163,16861,2111,570,362,16291,2079,7796,1229,103,133,7693,1250,5495,853,75,125,5420,865,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,99327,6140,45966,3911,22533,2828,1234,686,21299,2713,15417,2041,2404,996,13013,1867,4393,1152,1354,632,3039,910,2533,908,1312,659,1221,548,1090,454,546,368,544,315,53361,4391,24881,2867,470,340,24411,2836,17785,2336,1180,781,16605,2069,5930,1530,260,207,5670,1509,2801,846,97,139,2704,832,1964,788,0,211,1964,788,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,203900,7574,104631,4434,47294,3267,1206,456,46088,3289,33503,2748,4596,1050,28907,2531,12288,1526,3561,836,8727,1504,8462,1232,3488,843,4974,1067,3084,651,1504,486,1580,457,99269,4515,39768,2381,793,548,38975,2258,33387,2618,697,351,32690,2627,12512,1304,254,246,12258,1307,7977,1467,164,145,7813,1427,5625,1180,0,181,5625,1180,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,20657,2450,10609,1648,4529,988,441,398,4088,928,2692,802,310,272,2382,806,1776,671,552,322,1224,627,1365,572,733,449,632,373,247,224,139,169,108,134,10048,1572,4247,918,0,190,4247,918,3089,1047,0,190,3089,1047,1474,578,68,109,1406,547,762,338,103,143,659,309,476,331,10,21,466,331,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,142075,6710,66843,3885,33138,3137,754,377,32384,3095,21173,2232,2810,952,18363,1892,7002,1161,1426,466,5576,1021,3112,738,958,378,2154,638,2418,661,942,384,1476,574,75232,4318,38118,3086,258,222,37860,3097,22513,1984,624,353,21889,2036,7670,1236,465,269,7205,1157,4155,871,53,83,4102,870,2776,628,36,59,2740,617,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,65707,3983,31796,2830,17537,2326,763,589,16774,2303,8518,1468,1337,514,7181,1250,3248,784,1377,618,1871,561,1717,586,765,240,952,479,776,370,461,319,315,219,33911,2554,16670,2060,73,106,16597,2058,10158,1295,597,469,9561,1356,3827,1061,182,109,3645,1079,1727,649,0,187,1727,649,1529,543,0,187,1529,543,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,26099,2573,12724,1667,6836,1399,373,433,6463,1347,4426,881,569,323,3857,862,864,354,250,234,614,288,434,286,97,95,337,266,164,127,40,61,124,108,13375,1777,7770,1745,106,142,7664,1737,3478,845,81,110,3397,832,1374,445,0,155,1374,445,275,151,0,155,275,151,478,241,0,155,478,241,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
