GEO_ID,C01001I_001E,C01001I_001M,C01001I_002E,C01001I_002M,C01001I_003E,C01001I_003M,C01001I_004E,C01001I_004M,C01001I_005E,C01001I_005M,C01001I_006E,C01001I_006M,C01001I_007E,C01001I_007M,C01001I_008E,C01001I_008M,C01001I_009E,C01001I_009M,NAME,C01001I_001EA,C01001I_001MA,C01001I_002EA,C01001I_002MA,C01001I_003MA,C01001I_003EA,C01001I_004EA,C01001I_004MA,C01001I_005MA,C01001I_005EA,C01001I_006EA,C01001I_006MA,C01001I_007EA,C01001I_007MA,C01001I_008EA,C01001I_008MA,C01001I_009MA,C01001I_009EA,state
0400000US01,192413,2014,103078,2906,38515,2263,61437,1992,3126,860,89335,2869,34188,2112,50930,1892,4217,1160,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,49276,200,25704,885,8160,656,16555,444,989,527,23572,876,8566,659,13834,575,1172,377,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,2056456,-555555555,1031816,1023,357462,1003,618223,609,56131,621,1024640,1023,346024,1002,608143,430,70473,414,Arizona,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,205763,1452,107998,1985,40392,1364,64122,1576,3484,954,97765,2038,39682,1470,54809,1506,3274,865,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14988770,-555555555,7541913,1756,2416338,1522,4719880,1313,405695,942,7446857,1756,2334448,1668,4572464,1080,539945,1122,California,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,1135107,-555555555,577957,1971,199188,1693,347978,1450,30791,769,557150,1971,190096,1737,329542,1127,37512,786,Colorado,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,541153,-555555555,270794,989,87150,907,170937,566,12707,584,270359,990,84982,908,168842,455,16535,483,Connecticut,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,83326,-555555555,43405,680,15796,680,25887,280,1722,281,39921,680,14004,680,24406,183,1511,184,Delaware,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,68356,-555555555,35063,-555555555,8462,-555555555,25162,-555555555,1439,-555555555,33293,-555555555,8393,-555555555,22741,-555555555,2159,-555555555,District of Columbia,null,*****,null,*****,*****,null,null,*****,*****,null,null,*****,null,*****,null,*****,*****,null,11
0400000US12,4788870,-555555555,2368280,3396,610500,2632,1536172,2059,221608,1493,2420590,3396,581166,2910,1529374,1587,310050,1409,Florida,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,922115,2212,481792,3931,173764,3248,297210,2666,10818,1219,440323,3791,166426,3159,258795,2602,15102,1517,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,143238,-555555555,74543,774,27002,720,44594,355,2947,296,68695,773,25567,720,39508,324,3620,313,Hawaii,null,*****,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,196912,692,101018,1687,40310,1383,56497,1194,4211,816,95894,1565,37716,1381,53855,1249,4323,794,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,2151506,1358,1103259,2870,369656,2264,684109,1884,49494,943,1048247,2539,356810,2204,631055,1854,60382,1085,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,425465,1512,218245,2998,85043,2592,125846,1553,7356,688,207220,3011,79724,2417,118263,1961,9233,870,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,171067,1077,89914,2170,36114,1756,51535,1339,2265,518,81153,2047,32519,1725,45528,1130,3106,770,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,328957,813,168886,1806,65838,1415,97351,1363,5697,915,160071,1939,64016,1576,87761,1482,8294,901,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,145170,2196,79404,2026,29667,1665,48006,1790,1731,489,65766,1845,27095,1537,35848,1417,2823,713,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,223889,1880,122375,2943,34999,1756,81210,2282,6166,697,101514,2476,31674,2152,62433,2112,7407,851,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,22
