GEO_ID,C17010I_001E,C17010I_001M,C17010I_002E,C17010I_002M,C17010I_003E,C17010I_003M,C17010I_004E,C17010I_004M,C17010I_005E,C17010I_005M,C17010I_006E,C17010I_006M,C17010I_007E,C17010I_007M,C17010I_008E,C17010I_008M,C17010I_009E,C17010I_009M,C17010I_010E,C17010I_010M,C17010I_011E,C17010I_011M,C17010I_012E,C17010I_012M,C17010I_013E,C17010I_013M,C17010I_014E,C17010I_014M,C17010I_015E,C17010I_015M,C17010I_016E,C17010I_016M,C17010I_017E,C17010I_017M,NAME,C17010I_001MA,C17010I_001EA,C17010I_002EA,C17010I_002MA,C17010I_003EA,C17010I_003MA,C17010I_004EA,C17010I_004MA,C17010I_005MA,C17010I_005EA,C17010I_006MA,C17010I_006EA,C17010I_007MA,C17010I_007EA,C17010I_008EA,C17010I_008MA,C17010I_009EA,C17010I_009MA,C17010I_010MA,C17010I_010EA,C17010I_011MA,C17010I_011EA,C17010I_012MA,C17010I_012EA,C17010I_013MA,C17010I_013EA,C17010I_014EA,C17010I_014MA,C17010I_015EA,C17010I_015MA,C17010I_016MA,C17010I_016EA,C17010I_017MA,C17010I_017EA,state
0400000US01,35853,2239,11673,2040,6682,1517,5947,1400,4991,1270,1547,715,1304,667,3444,1138,3058,1050,24180,2277,18742,2354,11765,1528,5438,1106,2334,848,1306,740,3104,804,2364,757,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,9548,1010,650,389,194,146,155,137,456,375,82,146,82,146,374,345,374,345,8898,1035,5818,825,3525,814,3080,919,1098,632,1071,631,1982,778,1506,795,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,412356,6390,102403,5068,42083,3330,34642,3163,60320,4337,11713,1918,9707,1816,48607,3484,43016,3292,309953,6598,207804,6207,120782,5695,102149,5096,38523,3068,23044,2497,63626,3898,41836,3392,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,41284,2552,12249,1755,6684,1366,5781,1292,5565,1303,1250,641,1250,641,4315,1084,3980,1001,29035,2139,20061,1719,14387,1535,8974,1403,4257,1146,3111,1089,4717,1146,3129,949,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,2954295,17658,603646,11020,261910,8801,218572,7940,341736,8958,68763,4266,56120,3935,272973,8477,244228,8059,2350649,17081,1596181,15455,983489,13359,754468,13282,289283,8555,165954,7266,465185,10293,287360,9172,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,237118,4271,44324,2785,17409,1853,14681,1747,26915,2576,4571,1286,4173,1273,22344,2409,19068,2364,192794,4172,130138,5042,78226,4578,62656,3937,22081,2577,14759,2109,40575,3282,27890,2991,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,113752,3744,28409,3112,6056,1377,4579,1264,22353,2839,3879,1099,3161,968,18474,2487,16147,2391,85343,3416,50592,2939,30233,2599,34751,2804,12026,1898,7181,1614,22725,2280,15650,2040,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,17189,1451,3377,956,1334,634,1334,634,2043,757,577,388,577,388,1466,679,1466,679,13812,1389,8559,999,5263,991,5253,1251,2209,878,837,579,3044,839,2434,849,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,12264,1363,2051,892,655,561,569,548,1396,694,641,473,94,157,755,471,631,457,10213,1298,6805,1360,3119,983,3408,907,1865,711,1021,528,1543,438,836,389,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,1039212,11024,196321,7753,84246,4977,55746,3905,112075,5513,22616,2934,17670,2452,89459,5193,75524,4604,842891,11028,592632,10772,296527,8222,250259,6327,84121,5192,41944,3886,166138,5188,89661,4656,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,180941,4963,48587,4283,26255,3262,24014,3183,22332,2801,5731,1411,5626,1405,16601,2468,15724,2477,132354,4733,93940,4758,62693,4533,38414,4034,18363,2731,12422,2413,20051,2718,13786,2374,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,23817,1806,3004,811,1219,518,739,435,1785,533,367,249,326,248,1418,518,1258,505,20813,1747,14361,1738,7713,1248,6452,1314,1617,774,1269,728,4835,1105,3324,988,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,38672,2200,7453,1307,3525,855,3333,859,3928,1061,816,426,816,426,3112,985,2918,983,31219,2392,23358,2361,15410,1977,7861,1659,4518,1413,2221,914,3343,993,2804,966,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,431754,6938,79064,4547,35207,3077,30123,2659,43857,3548,9741,1885,8231,1709,34116,3105,31099,3080,352690,7216,247192,6178,157760,6152,105498,4960,44749,3629,25955,2856,60749,4022,42253,3540,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,83325,2920,21581,2544,9696,1984,9059,1956,11885,1891,2066,644,1727,565,9819,1747,9072,1749,61744,3593,43601,3353,26693,2649,18143,2262,8275,1579,4929,1147,9868,1486,6472,1358,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,18
