GEO_ID,B27001H_001E,B27001H_001M,B27001H_002E,B27001H_002M,B27001H_003E,B27001H_003M,B27001H_004E,B27001H_004M,B27001H_005E,B27001H_005M,B27001H_006E,B27001H_006M,B27001H_007E,B27001H_007M,B27001H_008E,B27001H_008M,B27001H_009E,B27001H_009M,B27001H_010E,B27001H_010M,B27001H_011E,B27001H_011M,B27001H_012E,B27001H_012M,B27001H_013E,B27001H_013M,B27001H_014E,B27001H_014M,B27001H_015E,B27001H_015M,B27001H_016E,B27001H_016M,B27001H_017E,B27001H_017M,B27001H_018E,B27001H_018M,B27001H_019E,B27001H_019M,B27001H_020E,B27001H_020M,B27001H_021E,B27001H_021M,B27001H_022E,B27001H_022M,B27001H_023E,B27001H_023M,B27001H_024E,B27001H_024M,B27001H_025E,B27001H_025M,B27001H_026E,B27001H_026M,B27001H_027E,B27001H_027M,B27001H_028E,B27001H_028M,NAME,B27001H_001EA,B27001H_001MA,B27001H_002EA,B27001H_002MA,B27001H_003EA,B27001H_003MA,B27001H_004MA,B27001H_004EA,B27001H_005MA,B27001H_005EA,B27001H_006EA,B27001H_006MA,B27001H_007EA,B27001H_007MA,B27001H_008EA,B27001H_008MA,B27001H_009MA,B27001H_009EA,B27001H_010MA,B27001H_010EA,B27001H_011EA,B27001H_011MA,B27001H_012EA,B27001H_012MA,B27001H_013EA,B27001H_013MA,B27001H_014EA,B27001H_014MA,B27001H_015MA,B27001H_015EA,B27001H_016MA,B27001H_016EA,B27001H_017EA,B27001H_017MA,B27001H_018EA,B27001H_018MA,B27001H_019EA,B27001H_019MA,B27001H_020MA,B27001H_020EA,B27001H_021MA,B27001H_021EA,B27001H_022MA,B27001H_022EA,B27001H_023EA,B27001H_023MA,B27001H_024EA,B27001H_024MA,B27001H_025EA,B27001H_025MA,B27001H_026MA,B27001H_026EA,B27001H_027MA,B27001H_027EA,B27001H_028EA,B27001H_028MA,state
0400000US01,3160194,2957,196959,2732,189761,3590,7198,1759,449248,2738,433719,3767,15529,2928,283918,2113,234620,5242,49298,4632,372935,2300,295099,5392,77836,4806,387301,2234,320911,5460,66390,5206,447996,1471,387292,4297,60704,4283,448838,484,409483,3732,39355,3730,338037,674,337252,796,785,429,234962,1007,234814,1048,148,137,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,440265,1761,31473,1172,29565,1347,1908,645,61650,1144,57449,1926,4201,1334,40057,1115,33821,1507,6236,1366,66302,1263,52095,2369,14207,2221,56276,1119,47373,1603,8903,1226,65232,439,55875,1438,9357,1400,68210,398,61204,1398,7006,1313,35227,264,34568,641,659,533,15838,322,15712,340,126,181,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3728129,3302,207673,3358,194816,4148,12857,2272,446524,3581,415201,4975,31323,3605,288815,1516,244435,3856,44380,3673,431730,1898,362529,5203,69201,5022,424746,1509,374977,4347,49769,4023,503518,1477,447152,3886,56366,3894,564782,676,513219,4126,51563,4113,494175,1002,490919,1469,3256,1209,366166,1006,364724,1116,1442,699,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2142224,1544,143625,2625,138406,2829,5219,1417,308307,2614,296175,3267,12132,2036,191187,1766,158426,3367,32761,3102,259479,2602,206771,4046,52708,4075,261904,2384,220775,4278,41129,3547,290634,1549,252132,3662,38502,3352,294256,573,267784,2818,26472,2768,230194,868,229860,904,334,269,162638,924,162279,967,359,257,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14638470,8773,757215,5326,729538,6389,27677,3625,1632045,5774,1566068,7592,65977,4802,1163121,4173,1034642,7963,128479,6550,1909295,4020,1648102,9608,261193,8637,1744993,3109,1572771,7293,172222,6478,2210294,2922,2014675,7131,195619,5759,2316168,2028,2155357,6614,160811,6446,1629417,1895,1620507,2974,8910,1778,1275922,2503,1272245,2628,3677,992,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3634012,3176,224801,2597,218094,2729,6707,1315,480982,2795,459675,4495,21307,3111,316859,2161,281125,3654,35734,3351,516062,2723,444878,5699,71184,5268,477720,2269,433730,4431,43990,3632,522155,1292,477502,3587,44653,3458,537079,928,502530,3392,34549,3183,339977,826,337897,1276,2080,770,218377,1031,217981,1024,396,219,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2431289,2970,119102,2077,115896,2268,3206,1055,325658,2243,316995,3097,8663,2109,208831,870,194669,2325,14162,2052,258862,836,232635,2682,26227,2773,272525,945,254752,2385,17773,2275,400031,1050,378381,2543,21650,2336,389903,920,372441,2164,17462,1974,250887,688,250063,826,824,375,205490,1173,205235,1209,255,203,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,586084,978,33779,1256,32885,1284,894,613,70076,1202,67473,1390,2603,890,48874,272,44621,1190,4253,1226,70409,550,61589,1897,8820,1801,64096,410,59392,1025,4704,1017,85887,263,78622,1527,7265,1488,91387,348,86320,1387,5067,1353,71975,269,71975,269,0,185,49601,455,49406,521,195,314,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,232246,800,12280,523,12280,523,0,198,11987,440,11846,496,141,197,29629,382,29025,464,604,338,73865,482,71898,751,1967,669,37200,264,36436,476,764,380,23393,249,22833,454,560,382,19951,113,19589,286,362,271,14753,143,14656,181,97,117,9188,352,9188,352,0,198,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10898742,7695,538148,6287,504201,7315,33947,3860,1216574,5654,1106640,9964,109934,9002,801985,2693,632665,7344,169320,7075,1170276,3873,890029,10621,280247,10453,1142316,2868,926606,9371,215710,8595,1531945,2295,1264000,9430,267945,9273,1687038,1713,1463949,9240,223089,8969,1533846,2262,1522086,2893,11760,1795,1276614,1987,1271551,2676,5063,1676,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
