GEO_ID,B17020H_001E,B17020H_001M,B17020H_002E,B17020H_002M,B17020H_003E,B17020H_003M,B17020H_004E,B17020H_004M,B17020H_005E,B17020H_005M,B17020H_006E,B17020H_006M,B17020H_007E,B17020H_007M,B17020H_008E,B17020H_008M,B17020H_009E,B17020H_009M,B17020H_010E,B17020H_010M,B17020H_011E,B17020H_011M,B17020H_012E,B17020H_012M,B17020H_013E,B17020H_013M,B17020H_014E,B17020H_014M,B17020H_015E,B17020H_015M,B17020H_016E,B17020H_016M,B17020H_017E,B17020H_017M,NAME,B17020H_001EA,B17020H_001MA,B17020H_002EA,B17020H_002MA,B17020H_003EA,B17020H_003MA,B17020H_004MA,B17020H_004EA,B17020H_005MA,B17020H_005EA,B17020H_006MA,B17020H_006EA,B17020H_007MA,B17020H_007EA,B17020H_008EA,B17020H_008MA,B17020H_009EA,B17020H_009MA,B17020H_010MA,B17020H_010EA,B17020H_011EA,B17020H_011MA,B17020H_012MA,B17020H_012EA,B17020H_013MA,B17020H_013EA,B17020H_014MA,B17020H_014EA,B17020H_015MA,B17020H_015EA,B17020H_016EA,B17020H_016MA,B17020H_017MA,B17020H_017EA,state
0400000US01,3137929,3452,424912,15852,36251,3594,36179,3662,34929,3577,243307,10139,50518,4062,17490,1947,6238,1079,2713017,16553,157366,4264,173596,5482,198870,5212,1470270,11973,501681,6122,157857,3779,53377,3245,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,446614,1136,30523,3935,2515,843,2325,631,2059,736,20160,2656,2854,889,191,145,419,205,416091,4186,28545,1434,27742,1942,28829,1914,252157,3508,63590,2099,11359,894,3869,944,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,3706108,3595,423031,16923,31793,4656,26814,3782,26114,3128,245691,10044,65847,4543,17328,2224,9444,1334,3283077,16733,171170,4995,186441,5356,201363,5415,1671904,11848,712805,7124,248031,4607,91363,4395,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,2121875,2425,308229,13581,28128,3265,26358,3162,28334,3455,175696,8456,32212,2883,11340,1509,6161,1142,1813646,13665,112629,4103,120593,5021,130408,4707,965306,9709,339573,4639,108351,2799,36786,2222,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,14578622,9497,1524613,27375,80597,5200,85639,6932,85026,5242,942449,18119,216747,7914,70426,4462,43729,3705,13054009,28913,666660,6036,702355,10408,739814,9554,7251217,22028,2532196,12264,790724,9050,371043,8673,California,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,3615653,2928,313853,12630,18173,2283,18702,2677,19020,2786,205448,8544,37140,3112,10055,1679,5315,999,3301800,13365,204707,3250,215297,4828,223160,4702,1892846,10758,562783,7090,144194,3494,58813,3512,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,2395725,3276,145639,8514,7708,1983,7959,1758,8978,1748,84386,5048,21381,2151,8920,1472,6307,1418,2250086,8815,110160,2957,138656,4005,166816,3936,1234388,6504,409803,6031,127982,3126,62281,3066,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,581033,1353,51600,5297,3491,1252,4040,1205,2582,832,30890,3287,6639,1442,2856,1046,1102,537,529433,5260,29964,1791,29515,2232,33077,1929,284723,3770,106511,2214,34151,1780,11492,1450,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,221686,1546,15287,2071,183,207,94,164,116,148,12924,1866,1608,665,297,303,65,108,206399,2695,12021,489,7560,911,4153,804,150331,2498,23508,1118,6017,846,2809,845,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,10837144,8988,1246403,32115,81182,6502,83264,6278,85413,5956,693221,19611,196089,7643,68476,4280,38758,3434,9590741,36482,446012,8685,489071,10958,539850,9709,4774620,23668,2171808,11874,818780,9943,350600,10081,Florida,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,12
