GEO_ID,B19081_001E,B19081_001M,B19081_002E,B19081_002M,B19081_003E,B19081_003M,B19081_004E,B19081_004M,B19081_005E,B19081_005M,B19081_006E,B19081_006M,NAME,B19081_001EA,B19081_001MA,B19081_002MA,B19081_002EA,B19081_003MA,B19081_003EA,B19081_004EA,B19081_004MA,B19081_005EA,B19081_005MA,B19081_006EA,B19081_006MA,state
0400000US01,9142,205,24679,390,43032,484,69786,787,150680,2600,255956,9137,Alabama,null,null,null,null,null,null,null,null,null,null,null,null,01
0400000US02,17950,867,44826,1692,71820,1872,107757,2425,203119,8406,326258,25601,Alaska,null,null,null,null,null,null,null,null,null,null,null,null,02
0400000US04,11108,266,30066,330,49927,487,78324,674,171088,2404,297981,6746,Arizona,null,null,null,null,null,null,null,null,null,null,null,null,04
0400000US05,9962,250,24932,464,41581,730,65540,1120,146449,4604,261821,16094,Arkansas,null,null,null,null,null,null,null,null,null,null,null,null,05
0400000US06,13190,117,35772,197,62428,300,100828,404,230758,1285,411902,4214,California,null,null,null,null,null,null,null,null,null,null,null,null,06
0400000US08,14379,289,37312,463,61474,585,94702,877,203607,3433,356366,11684,Colorado,null,null,null,null,null,null,null,null,null,null,null,null,08
0400000US09,14450,448,40217,697,70039,887,111294,1316,268738,5365,511719,16024,Connecticut,null,null,null,null,null,null,null,null,null,null,null,null,09
0400000US10,13777,764,36584,1024,59745,1554,92541,2176,191215,7492,317962,20564,Delaware,null,null,null,null,null,null,null,null,null,null,null,null,10
0400000US11,9290,950,35864,1870,71688,2615,119950,3474,280834,9536,487148,25989,District of Columbia,null,null,null,null,null,null,null,null,null,null,null,null,11
0400000US12,11022,154,28649,237,47561,315,74942,417,175375,1609,323954,5154,Florida,null,null,null,null,null,null,null,null,null,null,null,null,12
0400000US13,10545,205,29041,349,49285,444,78633,596,176598,2320,311462,8062,Georgia,null,null,null,null,null,null,null,null,null,null,null,null,13
0400000US15,15349,790,43045,1259,69415,1298,103161,1524,203363,6596,337084,22248,Hawaii,null,null,null,null,null,null,null,null,null,null,null,null,15
0400000US16,11899,608,29669,809,47954,1132,73006,1555,158046,6616,282551,21626,Idaho,null,null,null,null,null,null,null,null,null,null,null,null,16
0400000US17,12246,134,33817,265,57774,371,91112,519,201945,2296,359000,7739,Illinois,null,null,null,null,null,null,null,null,null,null,null,null,17
0400000US18,11862,229,30334,325,49361,388,74977,575,155575,2121,267316,6995,Indiana,null,null,null,null,null,null,null,null,null,null,null,null,18
0400000US19,13031,310,32861,480,53789,649,81183,771,167227,3454,290903,12150,Iowa,null,null,null,null,null,null,null,null,null,null,null,null,19
0400000US20,12675,319,32142,459,52924,702,81028,836,176456,3659,315661,12834,Kansas,null,null,null,null,null,null,null,null,null,null,null,null,20
0400000US21,9346,222,24980,372,43418,545,69318,693,148222,2336,252819,7251,Kentucky,null,null,null,null,null,null,null,null,null,null,null,null,21
0400000US22,9033,257,25168,466,44662,595,74448,914,165332,3158,286464,10004,Louisiana,null,null,null,null,null,null,null,null,null,null,null,null,22
0400000US23,11434,409,29304,769,49250,984,76855,1344,162366,6438,284930,21249,Maine,null,null,null,null,null,null,null,null,null,null,null,null,23
0400000US24,16748,366,44978,568,74401,717,114241,919,234714,2940,396992,9463,Maryland,null,null,null,null,null,null,null,null,null,null,null,null,24
0400000US25,13189,245,38574,517,69277,692,110953,863,245028,3094,436567,9861,Massachusetts,null,null,null,null,null,null,null,null,null,null,null,null,25
0400000US26,11352,166,29751,267,49800,340,77843,493,165223,1500,281928,4389,Michigan,null,null,null,null,null,null,null,null,null,null,null,null,26
0400000US27,14750,246,37609,422,61787,576,94054,762,200922,2861,355177,9180,Minnesota,null,null,null,null,null,null,null,null,null,null,null,null,27
0400000US28,8384,254,22858,434,39687,637,64596,950,138910,3427,236923,11826,Mississippi,null,null,null,null,null,null,null,null,null,null,null,null,28
0400000US29,10959,239,29017,348,48324,468,75448,654,162096,2396,282517,8009,Missouri,null,null,null,null,null,null,null,null,null,null,null,null,29
0400000US30,11130,571,28357,770,46442,1022,72383,1436,153233,4248,260991,13169,Montana,null,null,null,null,null,null,null,null,null,null,null,null,30
0400000US31,13386,385,32782,567,53114,654,80603,1018,161910,3366,272669,10336,Nebraska,null,null,null,null,null,null,null,null,null,null,null,null,31
0400000US32,12513,352,31734,554,51569,767,78243,870,161083,3488,274067,11472,Nevada,null,null,null,null,null,null,null,null,null,null,null,null,32
0400000US33,16891,652,40716,1037,66715,1278,100866,1586,207921,6062,355549,19249,New Hampshire,null,null,null,null,null,null,null,null,null,null,null,null,33
0400000US34,15029,273,41665,455,72381,515,114915,837,251284,3530,435484,11141,New Jersey,null,null,null,null,null,null,null,null,null,null,null,null,34
0400000US35,8938,421,25437,684,44929,852,72721,1304,155325,4328,264578,13341,New Mexico,null,null,null,null,null,null,null,null,null,null,null,null,35
0400000US36,11374,145,32698,249,58923,333,96165,496,233656,2640,442321,8913,New York,null,null,null,null,null,null,null,null,null,null,null,null,36
0400000US37,10851,175,27952,277,46677,400,73845,547,166170,2010,296642,6405,North Carolina,null,null,null,null,null,null,null,null,null,null,null,null,37
0400000US38,13532,769,35627,1035,58681,1244,89077,2095,198762,8321,368347,25863,North Dakota,null,null,null,null,null,null,null,null,null,null,null,null,38
0400000US39,10926,151,29102,222,49254,285,77313,441,164665,1747,283424,5265,Ohio,null,null,null,null,null,null,null,null,null,null,null,null,39
0400000US40,11017,224,28327,298,47651,380,74085,544,161838,2591,286321,8939,Oklahoma,null,null,null,null,null,null,null,null,null,null,null,null,40
0400000US41,11792,359,30825,458,51308,569,80022,733,172103,2805,301458,10100,Oregon,null,null,null,null,null,null,null,null,null,null,null,null,41
0400000US42,12120,146,31770,218,53701,352,84150,476,183821,1888,323908,6370,Pennsylvania,null,null,null,null,null,null,null,null,null,null,null,null,42
0400000US44,11215,675,31624,1012,55414,1300,89868,1792,197611,7080,343797,23483,Rhode Island,null,null,null,null,null,null,null,null,null,null,null,null,44
0400000US45,10183,264,26785,407,45236,502,71773,786,155537,2951,269830,9754,South Carolina,null,null,null,null,null,null,null,null,null,null,null,null,45
0400000US46,12376,602,31231,935,51096,1187,77475,1520,160721,6994,288702,22714,South Dakota,null,null,null,null,null,null,null,null,null,null,null,null,46
0400000US47,10080,214,26329,368,44635,477,71061,660,161567,2936,292452,9542,Tennessee,null,null,null,null,null,null,null,null,null,null,null,null,47
0400000US48,11873,122,31422,214,53559,306,85882,449,195048,1580,348337,4933,Texas,null,null,null,null,null,null,null,null,null,null,null,null,48
0400000US49,15853,485,39006,690,61004,735,89054,955,182147,3782,318270,12485,Utah,null,null,null,null,null,null,null,null,null,null,null,null,49
0400000US50,13086,702,33016,1156,54371,1255,82500,1717,166893,6726,285332,21283,Vermont,null,null,null,null,null,null,null,null,null,null,null,null,50
0400000US51,14276,252,38710,414,65299,550,102781,662,221221,2426,373882,7120,Virginia,null,null,null,null,null,null,null,null,null,null,null,null,51
0400000US53,13990,272,37237,451,61494,605,94349,803,199020,2673,340578,8776,Washington,null,null,null,null,null,null,null,null,null,null,null,null,53
0400000US54,9628,364,24318,531,41194,668,64922,908,134326,3742,221259,11598,West Virginia,null,null,null,null,null,null,null,null,null,null,null,null,54
0400000US55,13338,258,32677,322,53141,384,80927,557,164680,2503,281928,8193,Wisconsin,null,null,null,null,null,null,null,null,null,null,null,null,55
0400000US56,14405,689,34692,1399,57413,1804,87714,2231,167300,9090,273840,30245,Wyoming,null,null,null,null,null,null,null,null,null,null,null,null,56
0400000US72,2196,133,10198,209,19033,350,33331,537,85120,2303,157721,7952,Puerto Rico,null,null,null,null,null,null,null,null,null,null,null,null,72
